Device	Inserts (in millions)	Cost (in hours)
ECP_5050	20	0.000234
ECP_5050	30	0.003215
ECP_5050	40	0.005895
ECP_5050	50	0.007215
ECP_5050	60	0.009836
ECP_5050	70	0.012113
ECP_5050	80	0.013120
ECP_5050	90	0.017464
ECP_5050	100	0.018206
ECP_5050	110	0.020140
ECP_5050	120	0.024345
ECP_5050	130	0.025501
ECP_5050	140	0.027413
ECP_5050	150	0.034352
ECP_5050	160	0.036316
ECP_5050	170	0.036331
ECP_5050	180	0.036924
ECP_5050	190	0.041823
ECP_5050	200	0.047887
ECP_5050	210	0.049449
ECP_5050	220	0.049901
ECP_5050	230	0.051167
ECP_5050	240	0.055796
ECP_5050	250	0.061502
ECP_5050	260	0.064938
ECP_5050	270	0.066110
ECP_5050	280	0.066663
ECP_5050	290	0.067615
ECP_5050	300	0.071310
ECP_5050	310	0.077907
ECP_5050	320	0.084391
ECP_5050	330	0.089025
ECP_5050	340	0.091887
ECP_5050	350	0.094072
ECP_5050	360	0.095667
ECP_5050	370	0.097397
ECP_5050	380	0.100058
ECP_5050	390	0.104343
ECP_5050	400	0.111959
ECP_5050	410	0.119983
ECP_5050	420	0.124726
ECP_5050	430	0.127002
ECP_5050	440	0.128512
ECP_5050	450	0.129510
ECP_5050	460	0.130381
ECP_5050	470	0.131980
ECP_5050	480	0.135856
ECP_5050	490	0.143130
ECP_5050	500	0.151119
ECP_5050	510	0.157990
ECP_5050	520	0.163258
ECP_5050	530	0.166509
ECP_5050	540	0.168557
ECP_5050	550	0.169852
ECP_5050	560	0.170931
ECP_5050	570	0.171923
ECP_5050	580	0.173216
ECP_5050	590	0.176197
ECP_5050	600	0.180892
ECP_5050	610	0.187969
ECP_5050	620	0.201898
ECP_5050	630	0.214226
ECP_5050	640	0.221967
ECP_5050	650	0.226804
ECP_5050	660	0.229743
ECP_5050	670	0.231260
ECP_5050	680	0.232064
ECP_5050	690	0.232412
ECP_5050	700	0.232619
ECP_5050	710	0.232993
ECP_5050	720	0.233612
ECP_5050	730	0.234987
ECP_5050	740	0.237908
ECP_5050	750	0.243325
ECP_5050	760	0.250606
ECP_5050	770	0.259414
ECP_5050	780	0.268775
ECP_5050	790	0.277455
ECP_5050	800	0.284219
ECP_5050	810	0.289172
ECP_5050	820	0.292552
ECP_5050	830	0.294327
ECP_5050	840	0.295493
ECP_5050	850	0.296254
ECP_5050	860	0.296683
ECP_5050	870	0.297265
ECP_5050	880	0.297942
ECP_5050	890	0.299331
ECP_5050	900	0.301571
ECP_5050	910	0.304279
ECP_5050	920	0.308466
ECP_5050	930	0.314865
ECP_5050	940	0.336522
ECP_5050	950	0.349605
ECP_5050	960	0.360700
ECP_5050	970	0.368540
ECP_5050	980	0.373154
ECP_5050	990	0.375879
ECP_5050	1000	0.377740
ECP_5050	1010	0.378911
ECP_5050	1020	0.379907
ECP_5050	1030	0.380349
ECP_5050	1040	0.380800
ECP_5050	1050	0.381140
ECP_5050	1060	0.381323
ECP_5050	1070	0.381547
ECP_5050	1080	0.381913
ECP_5050	1090	0.382469
ECP_5050	1100	0.383548
ECP_5050	1110	0.385277
ECP_5050	1120	0.388367
ECP_5050	1130	0.392878
ECP_5050	1140	0.399632
ECP_5050	1150	0.408715
ECP_5050	1160	0.419145
ECP_5050	1170	0.431321
ECP_5050	1180	0.443442
ECP_5050	1190	0.454990
ECP_5050	1200	0.464009
ECP_5050	1210	0.471706
ECP_5050	1220	0.477434
ECP_5050	1230	0.482477
ECP_5050	1240	0.486832
ECP_5050	1250	0.490754
ECP_5050	1260	0.493841
ECP_5050	1270	0.496808
ECP_5050	1280	0.499302
ECP_5050	1290	0.501292
ECP_5050	1300	0.503206
ECP_5050	1310	0.505177
ECP_5050	1320	0.506692
ECP_5050	1330	0.508176
ECP_5050	1340	0.509652
ECP_5050	1350	0.511533
ECP_5050	1360	0.513404
ECP_5050	1370	0.515983
ECP_5050	1380	0.518928
ECP_5050	1390	0.523161
ECP_5050	1400	0.528720
ECP_5050	1410	0.541178
ECP_5050	1420	0.551399
ECP_5050	1430	0.560890
ECP_5050	1440	0.570303
ECP_5050	1450	0.579816
ECP_5050	1460	0.588622
ECP_5050	1470	0.596604
ECP_5050	1480	0.604858
ECP_5050	1490	0.611263
ECP_5050	1500	0.623118
