Device	Inserts (in millions)	Cost (in hours)
II_5050	30	0.402927
II_5050	40	0.402927
II_5050	50	0.402927
II_5050	60	0.978615
II_5050	70	0.978615
II_5050	80	0.978615
II_5050	90	0.978615
II_5050	100	1.801072
II_5050	110	1.801072
II_5050	120	1.801072
II_5050	130	1.801072
II_5050	140	1.801072
II_5050	150	1.801072
II_5050	160	2.976044
II_5050	170	2.976044
II_5050	180	2.976044
II_5050	190	2.976044
II_5050	200	2.976044
II_5050	210	2.976044
II_5050	220	2.976044
II_5050	230	2.976044
II_5050	240	2.976044
II_5050	250	4.654636
II_5050	260	4.654636
II_5050	270	4.654636
II_5050	280	4.654636
II_5050	290	4.654636
II_5050	300	4.654636
II_5050	310	4.654636
II_5050	320	4.654636
II_5050	330	4.654636
II_5050	340	4.654636
II_5050	350	4.654636
II_5050	360	4.654636
II_5050	370	4.654636
II_5050	380	7.052701
II_5050	390	7.052701
II_5050	400	7.052701
II_5050	410	7.052701
II_5050	420	7.052701
II_5050	430	7.052701
II_5050	440	7.052701
II_5050	450	7.052701
II_5050	460	7.052701
II_5050	470	7.052701
II_5050	480	7.052701
II_5050	490	7.052701
II_5050	500	7.052701
II_5050	510	7.052701
II_5050	520	7.052701
II_5050	530	7.052701
II_5050	540	7.052701
II_5050	550	7.052701
II_5050	560	10.478522
II_5050	570	10.478522
II_5050	580	10.478522
II_5050	590	10.478522
II_5050	600	10.478522
II_5050	610	10.478522
II_5050	620	10.478522
II_5050	630	10.478522
II_5050	640	10.478522
II_5050	650	10.478522
II_5050	660	10.478522
II_5050	670	10.478522
II_5050	680	10.478522
II_5050	690	10.478522
II_5050	700	10.478522
II_5050	710	10.478522
II_5050	720	10.478522
II_5050	730	10.478522
II_5050	740	10.478522
II_5050	750	10.478522
II_5050	760	10.478522
II_5050	770	10.478522
II_5050	780	10.478522
II_5050	790	10.478522
II_5050	800	10.478522
II_5050	810	10.478522
II_5050	820	15.372584
II_5050	830	15.372584
II_5050	840	15.372584
II_5050	850	15.372584
II_5050	860	15.372584
II_5050	870	15.372584
II_5050	880	15.372584
II_5050	890	15.372584
II_5050	900	15.372584
II_5050	910	15.372584
II_5050	920	15.372584
II_5050	930	15.372584
II_5050	940	15.372584
II_5050	950	15.372584
II_5050	960	15.372584
II_5050	970	15.372584
II_5050	980	15.372584
II_5050	990	15.372584
II_5050	1000	15.372584
II_5050	1010	15.372584
II_5050	1020	15.372584
II_5050	1030	15.372584
II_5050	1040	15.372584
II_5050	1050	15.372584
II_5050	1060	15.372584
II_5050	1070	15.372584
II_5050	1080	15.372584
II_5050	1090	15.372584
II_5050	1100	15.372584
II_5050	1110	15.372584
II_5050	1120	15.372584
II_5050	1130	15.372584
II_5050	1140	15.372584
II_5050	1150	15.372584
II_5050	1160	15.372584
II_5050	1170	15.372584
II_5050	1180	15.372584
II_5050	1190	22.364141
II_5050	1200	22.364141
II_5050	1210	22.364141
II_5050	1220	22.364141
II_5050	1230	22.364141
II_5050	1240	22.364141
II_5050	1250	22.364141
II_5050	1260	22.364141
II_5050	1270	22.364141
II_5050	1280	22.364141
II_5050	1290	22.364141
II_5050	1300	22.364141
II_5050	1310	22.364141
II_5050	1320	22.364141
II_5050	1330	22.364141
II_5050	1340	22.364141
II_5050	1350	22.364141
II_5050	1360	22.364141
II_5050	1370	22.364141
II_5050	1380	22.364141
II_5050	1390	22.364141
II_5050	1400	22.364141
II_5050	1410	22.364141
II_5050	1420	22.364141
II_5050	1430	22.364141
II_5050	1440	22.364141
II_5050	1450	22.364141
II_5050	1460	22.364141
II_5050	1470	22.364141
II_5050	1480	22.364141
II_5050	1490	22.364141
II_5050	1500	22.364141
