Device	Inserts (in millions)	Cost (in hours)
NV_P_2575	20	0.002860
NV_P_2575	30	0.237624
NV_P_2575	40	0.237624
NV_P_2575	50	0.244435
NV_P_2575	60	1.217818
NV_P_2575	70	1.221779
NV_P_2575	80	1.221779
NV_P_2575	90	1.221779
NV_P_2575	100	1.240250
NV_P_2575	110	1.465261
NV_P_2575	120	1.745612
NV_P_2575	130	1.749315
NV_P_2575	140	1.749315
NV_P_2575	150	1.749315
NV_P_2575	160	1.749709
NV_P_2575	170	1.789869
NV_P_2575	180	1.936860
NV_P_2575	190	2.202262
NV_P_2575	200	2.505351
NV_P_2575	210	2.530108
NV_P_2575	220	2.530108
NV_P_2575	230	2.530108
NV_P_2575	240	2.530108
NV_P_2575	250	2.530579
NV_P_2575	260	2.538761
NV_P_2575	270	2.634021
NV_P_2575	280	3.047464
NV_P_2575	290	3.581382
NV_P_2575	300	4.240418
NV_P_2575	310	5.050241
NV_P_2575	320	5.681911
NV_P_2575	330	5.778775
NV_P_2575	340	5.783802
NV_P_2575	350	5.783904
NV_P_2575	360	5.783904
NV_P_2575	370	5.783904
NV_P_2575	380	5.783904
NV_P_2575	390	5.784168
NV_P_2575	400	5.784713
NV_P_2575	410	5.787676
NV_P_2575	420	5.796695
NV_P_2575	430	5.826988
NV_P_2575	440	5.848062
NV_P_2575	450	5.899025
NV_P_2575	460	6.027133
NV_P_2575	470	6.273044
NV_P_2575	480	6.525965
NV_P_2575	490	6.812083
NV_P_2575	500	7.148694
NV_P_2575	510	7.367019
NV_P_2575	520	7.485119
NV_P_2575	530	7.546208
NV_P_2575	540	7.562166
NV_P_2575	550	7.565244
NV_P_2575	560	7.565534
NV_P_2575	570	7.565534
NV_P_2575	580	7.565534
NV_P_2575	590	7.565534
NV_P_2575	600	7.565804
NV_P_2575	610	7.607065
NV_P_2575	620	7.607841
NV_P_2575	630	7.610310
NV_P_2575	640	7.614946
NV_P_2575	650	7.625591
NV_P_2575	660	7.643613
NV_P_2575	670	7.668853
NV_P_2575	680	7.714430
NV_P_2575	690	7.795932
NV_P_2575	700	7.940146
NV_P_2575	710	8.103882
NV_P_2575	720	8.258382
NV_P_2575	730	8.452556
NV_P_2575	740	8.701607
NV_P_2575	750	8.978639
NV_P_2575	760	9.299918
NV_P_2575	770	9.644272
NV_P_2575	780	9.893379
NV_P_2575	790	10.025322
NV_P_2575	800	10.092068
NV_P_2575	810	10.135954
NV_P_2575	820	10.172090
NV_P_2575	830	10.198175
NV_P_2575	840	10.217464
NV_P_2575	850	10.225247
NV_P_2575	860	10.227355
NV_P_2575	870	10.288979
NV_P_2575	880	10.289315
NV_P_2575	890	10.289444
NV_P_2575	900	10.289671
NV_P_2575	910	10.289934
NV_P_2575	920	10.290365
NV_P_2575	930	10.291544
NV_P_2575	940	10.293519
NV_P_2575	950	10.297436
NV_P_2575	960	10.303433
NV_P_2575	970	10.315463
NV_P_2575	980	10.332135
NV_P_2575	990	10.354328
NV_P_2575	1000	10.445631
NV_P_2575	1010	10.485868
NV_P_2575	1020	10.554231
NV_P_2575	1030	10.649761
NV_P_2575	1040	10.764117
NV_P_2575	1050	10.901637
NV_P_2575	1060	11.084642
NV_P_2575	1070	11.321713
NV_P_2575	1080	11.622733
NV_P_2575	1090	11.962511
NV_P_2575	1100	12.330727
NV_P_2575	1110	12.797260
NV_P_2575	1120	13.403810
NV_P_2575	1130	14.078579
NV_P_2575	1140	14.688235
NV_P_2575	1150	15.206298
NV_P_2575	1160	15.699617
NV_P_2575	1170	16.185747
NV_P_2575	1180	16.602899
NV_P_2575	1190	16.915964
NV_P_2575	1200	17.150817
NV_P_2575	1210	17.337842
NV_P_2575	1220	17.471081
NV_P_2575	1230	17.577728
NV_P_2575	1240	17.663234
NV_P_2575	1250	17.820949
NV_P_2575	1260	17.868651
NV_P_2575	1270	17.896831
NV_P_2575	1280	17.912564
NV_P_2575	1290	17.921858
NV_P_2575	1300	17.926658
NV_P_2575	1310	17.928897
NV_P_2575	1320	17.930131
NV_P_2575	1330	17.930996
NV_P_2575	1340	17.932024
NV_P_2575	1350	17.932816
NV_P_2575	1360	17.934289
NV_P_2575	1370	18.030717
NV_P_2575	1380	18.034609
NV_P_2575	1390	18.040019
NV_P_2575	1400	18.050844
NV_P_2575	1410	18.063715
NV_P_2575	1420	18.083915
NV_P_2575	1430	18.111226
NV_P_2575	1440	18.148924
NV_P_2575	1450	18.191002
NV_P_2575	1460	18.242094
NV_P_2575	1470	18.311490
NV_P_2575	1480	18.397031
NV_P_2575	1490	18.491930
NV_P_2575	1500	18.716027
