Device	Inserts (in millions)	Cost (in hours)
NV_R_7525	20	0.001491
NV_R_7525	30	0.156724
NV_R_7525	40	0.156724
NV_R_7525	50	0.157219
NV_R_7525	60	0.384720
NV_R_7525	70	0.387457
NV_R_7525	80	0.387457
NV_R_7525	90	0.387457
NV_R_7525	100	0.399443
NV_R_7525	110	0.544846
NV_R_7525	120	0.732349
NV_R_7525	130	0.735497
NV_R_7525	140	0.735497
NV_R_7525	150	0.735497
NV_R_7525	160	0.735761
NV_R_7525	170	0.763070
NV_R_7525	180	0.855596
NV_R_7525	190	1.027647
NV_R_7525	200	1.234405
NV_R_7525	210	1.250811
NV_R_7525	220	1.250811
NV_R_7525	230	1.250811
NV_R_7525	240	1.250811
NV_R_7525	250	1.250849
NV_R_7525	260	1.252067
NV_R_7525	270	1.265502
NV_R_7525	280	1.332817
NV_R_7525	290	1.445752
NV_R_7525	300	1.591946
NV_R_7525	310	1.766600
NV_R_7525	320	1.962327
NV_R_7525	330	2.011297
NV_R_7525	340	2.014612
NV_R_7525	350	2.014659
NV_R_7525	360	2.014659
NV_R_7525	370	2.014659
NV_R_7525	380	2.014673
NV_R_7525	390	2.014758
NV_R_7525	400	2.015246
NV_R_7525	410	2.017095
NV_R_7525	420	2.022785
NV_R_7525	430	2.031693
NV_R_7525	440	2.045250
NV_R_7525	450	2.079211
NV_R_7525	460	2.161788
NV_R_7525	470	2.318954
NV_R_7525	480	2.481470
NV_R_7525	490	2.671424
NV_R_7525	500	2.897994
NV_R_7525	510	3.044699
NV_R_7525	520	3.123580
NV_R_7525	530	3.165552
NV_R_7525	540	3.176576
NV_R_7525	550	3.178514
NV_R_7525	560	3.178881
NV_R_7525	570	3.178881
NV_R_7525	580	3.178881
NV_R_7525	590	3.178940
NV_R_7525	600	3.179037
NV_R_7525	610	3.179240
NV_R_7525	620	3.180054
NV_R_7525	630	3.181782
NV_R_7525	640	3.184836
NV_R_7525	650	3.191924
NV_R_7525	660	3.202538
NV_R_7525	670	3.220695
NV_R_7525	680	3.249539
NV_R_7525	690	3.302202
NV_R_7525	700	3.395051
NV_R_7525	710	3.497952
NV_R_7525	720	3.596976
NV_R_7525	730	3.720831
NV_R_7525	740	3.881980
NV_R_7525	750	4.068471
NV_R_7525	760	4.286569
NV_R_7525	770	4.516598
NV_R_7525	780	4.687185
NV_R_7525	790	4.771418
NV_R_7525	800	4.816455
NV_R_7525	810	4.846787
NV_R_7525	820	4.871066
NV_R_7525	830	4.889157
NV_R_7525	840	4.901308
NV_R_7525	850	4.906684
NV_R_7525	860	4.908074
NV_R_7525	870	4.908831
NV_R_7525	880	4.909064
NV_R_7525	890	4.909088
NV_R_7525	900	4.909204
NV_R_7525	910	4.909460
NV_R_7525	920	4.909873
NV_R_7525	930	4.910701
NV_R_7525	940	4.912151
NV_R_7525	950	4.914796
NV_R_7525	960	4.918613
NV_R_7525	970	4.925850
NV_R_7525	980	4.936374
NV_R_7525	990	4.950640
NV_R_7525	1000	4.967247
NV_R_7525	1010	4.990037
NV_R_7525	1020	5.030817
NV_R_7525	1030	5.081412
NV_R_7525	1040	5.136098
NV_R_7525	1050	5.195181
NV_R_7525	1060	5.274513
NV_R_7525	1070	5.379775
NV_R_7525	1080	5.490092
NV_R_7525	1090	5.592211
NV_R_7525	1100	5.706974
NV_R_7525	1110	5.842385
NV_R_7525	1120	5.998112
NV_R_7525	1130	6.174324
NV_R_7525	1140	6.372686
NV_R_7525	1150	6.571457
NV_R_7525	1160	6.742125
NV_R_7525	1170	6.886028
NV_R_7525	1180	7.013773
NV_R_7525	1190	7.132363
NV_R_7525	1200	7.231016
NV_R_7525	1210	7.299373
NV_R_7525	1220	7.342354
NV_R_7525	1230	7.374340
NV_R_7525	1240	7.400368
NV_R_7525	1250	7.421686
NV_R_7525	1260	7.437990
NV_R_7525	1270	7.450162
NV_R_7525	1280	7.458751
NV_R_7525	1290	7.463254
NV_R_7525	1300	7.465574
NV_R_7525	1310	7.466824
NV_R_7525	1320	7.467641
NV_R_7525	1330	7.468003
NV_R_7525	1340	7.468191
NV_R_7525	1350	7.468323
NV_R_7525	1360	7.468570
NV_R_7525	1370	7.468882
NV_R_7525	1380	7.469519
NV_R_7525	1390	7.470535
NV_R_7525	1400	7.471847
NV_R_7525	1410	7.473975
NV_R_7525	1420	7.476767
NV_R_7525	1430	7.480612
NV_R_7525	1440	7.486327
NV_R_7525	1450	7.494121
NV_R_7525	1460	7.503590
NV_R_7525	1470	7.515412
NV_R_7525	1480	7.529381
NV_R_7525	1490	7.546502
NV_R_7525	1500	7.567551
