Device	Inserts (in millions)	Cost (in hours)
NV_S_5050	20	12.608261
NV_S_5050	30	1068.558072
NV_S_5050	40	1068.558072
NV_S_5050	50	1083.004147
NV_S_5050	60	7275.698900
NV_S_5050	70	7352.383839
NV_S_5050	80	7352.383839
NV_S_5050	90	7352.383839
NV_S_5050	100	7686.512871
NV_S_5050	110	11843.020067
NV_S_5050	120	16740.084686
NV_S_5050	130	16823.127418
NV_S_5050	140	16823.127418
NV_S_5050	150	16823.127418
NV_S_5050	160	16829.192202
NV_S_5050	170	17566.075979
NV_S_5050	180	20192.071496
NV_S_5050	190	25032.796853
NV_S_5050	200	30376.597608
NV_S_5050	210	30841.013516
NV_S_5050	220	30842.706730
NV_S_5050	230	30842.706730
NV_S_5050	240	30842.706730
NV_S_5050	250	30848.493573
NV_S_5050	260	30971.862706
NV_S_5050	270	32416.877445
NV_S_5050	280	39774.091267
NV_S_5050	290	52616.307036
NV_S_5050	300	68985.515191
NV_S_5050	310	87754.300229
NV_S_5050	320	108179.893634
NV_S_5050	330	113485.506761
NV_S_5050	340	113890.055663
NV_S_5050	350	113893.848585
NV_S_5050	360	113893.848585
NV_S_5050	370	113893.848585
NV_S_5050	380	113895.236502
NV_S_5050	390	113909.370550
NV_S_5050	400	113956.971589
NV_S_5050	410	114166.374751
NV_S_5050	420	114779.718918
NV_S_5050	430	115869.512272
NV_S_5050	440	117361.240566
NV_S_5050	450	121136.999379
NV_S_5050	460	130376.566972
NV_S_5050	470	147979.361845
NV_S_5050	480	165697.141271
NV_S_5050	490	186013.544458
NV_S_5050	500	209497.544950
NV_S_5050	510	225276.450702
NV_S_5050	520	234149.942382
NV_S_5050	530	238976.082264
NV_S_5050	540	240329.743262
NV_S_5050	550	240592.653682
NV_S_5050	560	240614.097280
NV_S_5050	570	240616.074088
NV_S_5050	580	240616.074088
NV_S_5050	590	240618.140021
NV_S_5050	600	240626.492404
NV_S_5050	610	240643.529362
NV_S_5050	620	240734.032686
NV_S_5050	630	240922.038661
NV_S_5050	640	241301.089811
NV_S_5050	650	242009.695156
NV_S_5050	660	243321.182468
NV_S_5050	670	245107.290541
NV_S_5050	680	248310.519445
NV_S_5050	690	254294.307728
NV_S_5050	700	264345.615457
NV_S_5050	710	276102.229177
NV_S_5050	720	287022.302647
NV_S_5050	730	300436.586645
NV_S_5050	740	318041.235137
NV_S_5050	750	338210.741466
NV_S_5050	760	361037.669214
NV_S_5050	770	385494.553144
NV_S_5050	780	403835.545841
NV_S_5050	790	413255.864742
NV_S_5050	800	418373.357969
NV_S_5050	810	421906.883952
NV_S_5050	820	424727.096573
NV_S_5050	830	426730.549837
NV_S_5050	840	428109.469050
NV_S_5050	850	428705.153374
NV_S_5050	860	428901.116409
NV_S_5050	870	428951.446828
NV_S_5050	880	428960.417847
NV_S_5050	890	428978.518846
NV_S_5050	900	428984.619561
NV_S_5050	910	429006.233417
NV_S_5050	920	429056.224265
NV_S_5050	930	429163.385974
NV_S_5050	940	429367.463662
NV_S_5050	950	429660.580140
NV_S_5050	960	430116.074850
NV_S_5050	970	430809.361172
NV_S_5050	980	431983.441370
NV_S_5050	990	433456.770052
NV_S_5050	1000	435343.460323
NV_S_5050	1010	438358.222172
NV_S_5050	1020	443251.268217
NV_S_5050	1030	449793.619019
NV_S_5050	1040	457144.092404
NV_S_5050	1050	466331.120153
NV_S_5050	1060	478709.596576
NV_S_5050	1070	495495.484224
NV_S_5050	1080	515334.979647
NV_S_5050	1090	537764.961352
NV_S_5050	1100	565013.208125
NV_S_5050	1110	599971.172600
NV_S_5050	1120	641708.777276
NV_S_5050	1130	691967.664388
NV_S_5050	1140	751062.889789
NV_S_5050	1150	812536.568580
NV_S_5050	1160	864553.669779
NV_S_5050	1170	908313.074458
NV_S_5050	1180	949402.362348
NV_S_5050	1190	987371.070651
NV_S_5050	1200	1020463.739833
NV_S_5050	1210	1045062.792441
NV_S_5050	1220	1061836.924436
NV_S_5050	1230	1074951.639378
NV_S_5050	1240	1086522.907140
NV_S_5050	1250	1095935.175781
NV_S_5050	1260	1103596.362657
NV_S_5050	1270	1109282.769232
NV_S_5050	1280	1113237.610767
NV_S_5050	1290	1115477.909872
NV_S_5050	1300	1116451.997359
NV_S_5050	1310	1116938.407864
NV_S_5050	1320	1117203.278005
NV_S_5050	1330	1117354.473915
NV_S_5050	1340	1117435.056982
NV_S_5050	1350	1117534.401917
NV_S_5050	1360	1117661.726157
NV_S_5050	1370	1117817.433907
NV_S_5050	1380	1118126.443415
NV_S_5050	1390	1118549.087924
NV_S_5050	1400	1119245.570262
NV_S_5050	1410	1120116.598792
NV_S_5050	1420	1121230.646749
NV_S_5050	1430	1122867.295488
NV_S_5050	1440	1125461.447948
NV_S_5050	1450	1128687.791043
NV_S_5050	1460	1132578.031073
NV_S_5050	1470	1137734.108396
NV_S_5050	1480	1143743.803565
NV_S_5050	1490	1151461.302035
NV_S_5050	1500	1161238.655696
