Device	Inserts (in millions)	Cost (in hours)
Intel900P_ECP_ClusterAbs_LeadAbs_Read	20	0.000230
Intel900P_ECP_ClusterAbs_LeadAbs_Read	30	0.002848
Intel900P_ECP_ClusterAbs_LeadAbs_Read	40	0.005228
Intel900P_ECP_ClusterAbs_LeadAbs_Read	50	0.006392
Intel900P_ECP_ClusterAbs_LeadAbs_Read	60	0.008665
Intel900P_ECP_ClusterAbs_LeadAbs_Read	70	0.010748
Intel900P_ECP_ClusterAbs_LeadAbs_Read	80	0.011676
Intel900P_ECP_ClusterAbs_LeadAbs_Read	90	0.015464
Intel900P_ECP_ClusterAbs_LeadAbs_Read	100	0.016133
Intel900P_ECP_ClusterAbs_LeadAbs_Read	110	0.017892
Intel900P_ECP_ClusterAbs_LeadAbs_Read	120	0.021548
Intel900P_ECP_ClusterAbs_LeadAbs_Read	130	0.022595
Intel900P_ECP_ClusterAbs_LeadAbs_Read	140	0.023812
Intel900P_ECP_ClusterAbs_LeadAbs_Read	150	0.029430
Intel900P_ECP_ClusterAbs_LeadAbs_Read	160	0.031556
Intel900P_ECP_ClusterAbs_LeadAbs_Read	170	0.031588
Intel900P_ECP_ClusterAbs_LeadAbs_Read	180	0.032146
Intel900P_ECP_ClusterAbs_LeadAbs_Read	190	0.036069
Intel900P_ECP_ClusterAbs_LeadAbs_Read	200	0.041081
Intel900P_ECP_ClusterAbs_LeadAbs_Read	210	0.042251
Intel900P_ECP_ClusterAbs_LeadAbs_Read	220	0.042503
Intel900P_ECP_ClusterAbs_LeadAbs_Read	230	0.043274
Intel900P_ECP_ClusterAbs_LeadAbs_Read	240	0.047056
Intel900P_ECP_ClusterAbs_LeadAbs_Read	250	0.052395
Intel900P_ECP_ClusterAbs_LeadAbs_Read	260	0.054287
Intel900P_ECP_ClusterAbs_LeadAbs_Read	270	0.054786
Intel900P_ECP_ClusterAbs_LeadAbs_Read	280	0.054993
Intel900P_ECP_ClusterAbs_LeadAbs_Read	290	0.055732
Intel900P_ECP_ClusterAbs_LeadAbs_Read	300	0.058541
Intel900P_ECP_ClusterAbs_LeadAbs_Read	310	0.063885
Intel900P_ECP_ClusterAbs_LeadAbs_Read	320	0.068908
Intel900P_ECP_ClusterAbs_LeadAbs_Read	330	0.072231
Intel900P_ECP_ClusterAbs_LeadAbs_Read	340	0.074000
Intel900P_ECP_ClusterAbs_LeadAbs_Read	350	0.075185
Intel900P_ECP_ClusterAbs_LeadAbs_Read	360	0.076011
Intel900P_ECP_ClusterAbs_LeadAbs_Read	370	0.077154
Intel900P_ECP_ClusterAbs_LeadAbs_Read	380	0.079543
Intel900P_ECP_ClusterAbs_LeadAbs_Read	390	0.083376
Intel900P_ECP_ClusterAbs_LeadAbs_Read	400	0.087093
Intel900P_ECP_ClusterAbs_LeadAbs_Read	410	0.090428
Intel900P_ECP_ClusterAbs_LeadAbs_Read	420	0.093820
Intel900P_ECP_ClusterAbs_LeadAbs_Read	430	0.096360
Intel900P_ECP_ClusterAbs_LeadAbs_Read	440	0.098351
Intel900P_ECP_ClusterAbs_LeadAbs_Read	450	0.099656
Intel900P_ECP_ClusterAbs_LeadAbs_Read	460	0.100820
Intel900P_ECP_ClusterAbs_LeadAbs_Read	470	0.103171
Intel900P_ECP_ClusterAbs_LeadAbs_Read	480	0.106525
Intel900P_ECP_ClusterAbs_LeadAbs_Read	490	0.111172
Intel900P_ECP_ClusterAbs_LeadAbs_Read	500	0.116653
Intel900P_ECP_ClusterAbs_LeadAbs_Read	510	0.121456
Intel900P_ECP_ClusterAbs_LeadAbs_Read	520	0.126426
Intel900P_ECP_ClusterAbs_LeadAbs_Read	530	0.129681
Intel900P_ECP_ClusterAbs_LeadAbs_Read	540	0.131718
Intel900P_ECP_ClusterAbs_LeadAbs_Read	550	0.132955
Intel900P_ECP_ClusterAbs_LeadAbs_Read	560	0.133746
Intel900P_ECP_ClusterAbs_LeadAbs_Read	570	0.134617
Intel900P_ECP_ClusterAbs_LeadAbs_Read	580	0.135557
Intel900P_ECP_ClusterAbs_LeadAbs_Read	590	0.137265
Intel900P_ECP_ClusterAbs_LeadAbs_Read	600	0.140505
Intel900P_ECP_ClusterAbs_LeadAbs_Read	610	0.145236
Intel900P_ECP_ClusterAbs_LeadAbs_Read	620	0.151702
Intel900P_ECP_ClusterAbs_LeadAbs_Read	630	0.158588
Intel900P_ECP_ClusterAbs_LeadAbs_Read	640	0.164645
Intel900P_ECP_ClusterAbs_LeadAbs_Read	650	0.169711
Intel900P_ECP_ClusterAbs_LeadAbs_Read	660	0.173040
Intel900P_ECP_ClusterAbs_LeadAbs_Read	670	0.175685
Intel900P_ECP_ClusterAbs_LeadAbs_Read	680	0.177460
Intel900P_ECP_ClusterAbs_LeadAbs_Read	690	0.178803
Intel900P_ECP_ClusterAbs_LeadAbs_Read	700	0.179742
Intel900P_ECP_ClusterAbs_LeadAbs_Read	710	0.180684
Intel900P_ECP_ClusterAbs_LeadAbs_Read	720	0.181914
Intel900P_ECP_ClusterAbs_LeadAbs_Read	730	0.183625
Intel900P_ECP_ClusterAbs_LeadAbs_Read	740	0.186053
Intel900P_ECP_ClusterAbs_LeadAbs_Read	750	0.190092
Intel900P_ECP_ClusterAbs_LeadAbs_Read	760	0.195433
Intel900P_ECP_ClusterAbs_LeadAbs_Read	770	0.207667
Intel900P_ECP_ClusterAbs_LeadAbs_Read	780	0.218731
Intel900P_ECP_ClusterAbs_LeadAbs_Read	790	0.225846
Intel900P_ECP_ClusterAbs_LeadAbs_Read	800	0.229618
Intel900P_ECP_ClusterAbs_LeadAbs_Read	810	0.231557
Intel900P_ECP_ClusterAbs_LeadAbs_Read	820	0.232610
Intel900P_ECP_ClusterAbs_LeadAbs_Read	830	0.233363
Intel900P_ECP_ClusterAbs_LeadAbs_Read	840	0.233960
Intel900P_ECP_ClusterAbs_LeadAbs_Read	850	0.234356
Intel900P_ECP_ClusterAbs_LeadAbs_Read	860	0.234684
Intel900P_ECP_ClusterAbs_LeadAbs_Read	870	0.235179
Intel900P_ECP_ClusterAbs_LeadAbs_Read	880	0.235859
Intel900P_ECP_ClusterAbs_LeadAbs_Read	890	0.236785
Intel900P_ECP_ClusterAbs_LeadAbs_Read	900	0.238579
Intel900P_ECP_ClusterAbs_LeadAbs_Read	910	0.241334
Intel900P_ECP_ClusterAbs_LeadAbs_Read	920	0.245858
Intel900P_ECP_ClusterAbs_LeadAbs_Read	930	0.251573
Intel900P_ECP_ClusterAbs_LeadAbs_Read	940	0.258997
Intel900P_ECP_ClusterAbs_LeadAbs_Read	950	0.267635
Intel900P_ECP_ClusterAbs_LeadAbs_Read	960	0.276837
Intel900P_ECP_ClusterAbs_LeadAbs_Read	970	0.285075
Intel900P_ECP_ClusterAbs_LeadAbs_Read	980	0.291315
Intel900P_ECP_ClusterAbs_LeadAbs_Read	990	0.296126
Intel900P_ECP_ClusterAbs_LeadAbs_Read	1000	0.299695
Intel900P_ECP_ClusterAbs_LeadAbs_Read	1010	0.302218
Intel900P_ECP_ClusterAbs_LeadAbs_Read	1020	0.304201
Intel900P_ECP_ClusterAbs_LeadAbs_Read	1030	0.305785
