Device	Inserts (in millions)	Cost (in hours)
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	20	0.000209
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	30	0.002851
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	40	0.005172
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	50	0.006398
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	60	0.008584
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	70	0.010747
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	80	0.011600
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	90	0.015474
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	100	0.016173
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	110	0.017810
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	120	0.021541
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	130	0.022638
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	140	0.023748
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	150	0.029406
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	160	0.031435
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	170	0.031463
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	180	0.031980
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	190	0.035819
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	200	0.040718
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	210	0.042149
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	220	0.042437
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	230	0.043384
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	240	0.047711
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	250	0.052201
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	260	0.053999
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	270	0.054716
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	280	0.054987
Intel900P_ECP_ClusterAbs_LeadAbs_Scan	290	0.055807
