Device	Inserts (in millions)	Cost (in hours)
Intel900P_ECP_ClusterAbs_LeadAvg_Read	20	0.000231
Intel900P_ECP_ClusterAbs_LeadAvg_Read	30	0.002848
Intel900P_ECP_ClusterAbs_LeadAvg_Read	40	0.005221
Intel900P_ECP_ClusterAbs_LeadAvg_Read	50	0.006399
Intel900P_ECP_ClusterAbs_LeadAvg_Read	60	0.008719
Intel900P_ECP_ClusterAbs_LeadAvg_Read	70	0.010746
Intel900P_ECP_ClusterAbs_LeadAvg_Read	80	0.011655
Intel900P_ECP_ClusterAbs_LeadAvg_Read	90	0.015474
Intel900P_ECP_ClusterAbs_LeadAvg_Read	100	0.016140
Intel900P_ECP_ClusterAbs_LeadAvg_Read	110	0.017823
Intel900P_ECP_ClusterAbs_LeadAvg_Read	120	0.021590
Intel900P_ECP_ClusterAbs_LeadAvg_Read	130	0.022622
Intel900P_ECP_ClusterAbs_LeadAvg_Read	140	0.023757
Intel900P_ECP_ClusterAbs_LeadAvg_Read	150	0.029809
Intel900P_ECP_ClusterAbs_LeadAvg_Read	160	0.031183
Intel900P_ECP_ClusterAbs_LeadAvg_Read	170	0.031199
Intel900P_ECP_ClusterAbs_LeadAvg_Read	180	0.031882
Intel900P_ECP_ClusterAbs_LeadAvg_Read	190	0.036321
Intel900P_ECP_ClusterAbs_LeadAvg_Read	200	0.040222
Intel900P_ECP_ClusterAbs_LeadAvg_Read	210	0.040676
Intel900P_ECP_ClusterAbs_LeadAvg_Read	220	0.040796
Intel900P_ECP_ClusterAbs_LeadAvg_Read	230	0.042080
Intel900P_ECP_ClusterAbs_LeadAvg_Read	240	0.047846
Intel900P_ECP_ClusterAbs_LeadAvg_Read	250	0.052765
Intel900P_ECP_ClusterAbs_LeadAvg_Read	260	0.053289
Intel900P_ECP_ClusterAbs_LeadAvg_Read	270	0.053295
Intel900P_ECP_ClusterAbs_LeadAvg_Read	280	0.053352
Intel900P_ECP_ClusterAbs_LeadAvg_Read	290	0.054332
Intel900P_ECP_ClusterAbs_LeadAvg_Read	300	0.058292
Intel900P_ECP_ClusterAbs_LeadAvg_Read	310	0.064045
Intel900P_ECP_ClusterAbs_LeadAvg_Read	320	0.066718
Intel900P_ECP_ClusterAbs_LeadAvg_Read	330	0.067263
Intel900P_ECP_ClusterAbs_LeadAvg_Read	340	0.067326
Intel900P_ECP_ClusterAbs_LeadAvg_Read	350	0.067542
Intel900P_ECP_ClusterAbs_LeadAvg_Read	360	0.068530
Intel900P_ECP_ClusterAbs_LeadAvg_Read	370	0.072244
Intel900P_ECP_ClusterAbs_LeadAvg_Read	380	0.079927
Intel900P_ECP_ClusterAbs_LeadAvg_Read	390	0.085602
Intel900P_ECP_ClusterAbs_LeadAvg_Read	400	0.086877
Intel900P_ECP_ClusterAbs_LeadAvg_Read	410	0.086913
Intel900P_ECP_ClusterAbs_LeadAvg_Read	420	0.086922
