Device	Inserts (in millions)	Cost (in hours)
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	20	0.000208
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	30	0.002849
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	40	0.005131
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	50	0.006399
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	60	0.008611
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	70	0.010750
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	80	0.011548
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	90	0.015512
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	100	0.016186
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	110	0.017849
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	120	0.021653
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	130	0.022697
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	140	0.023910
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	150	0.029718
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	160	0.031358
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	170	0.031430
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	180	0.031976
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	190	0.036163
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	200	0.040368
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	210	0.040882
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	220	0.041047
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	230	0.042182
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	240	0.047288
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	250	0.052702
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	260	0.053522
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	270	0.053555
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	280	0.053665
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	290	0.054647
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	300	0.058075
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	310	0.063629
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	320	0.066846
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	330	0.067720
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	340	0.067899
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	350	0.068147
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	360	0.069116
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	370	0.072430
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	380	0.079614
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	390	0.085479
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	400	0.087499
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	410	0.087589
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	420	0.087593
Intel900P_ECP_ClusterAbs_LeadAvg_Scan	430	0.087623
