Device	Inserts (in millions)	Cost (in hours)
Intel900P_ECP_ClusterAvg_LeadAbs_Read	30	0.003576
Intel900P_ECP_ClusterAvg_LeadAbs_Read	40	0.003576
Intel900P_ECP_ClusterAvg_LeadAbs_Read	50	0.003576
Intel900P_ECP_ClusterAvg_LeadAbs_Read	60	0.008388
Intel900P_ECP_ClusterAvg_LeadAbs_Read	70	0.008388
Intel900P_ECP_ClusterAvg_LeadAbs_Read	80	0.008388
Intel900P_ECP_ClusterAvg_LeadAbs_Read	90	0.014728
Intel900P_ECP_ClusterAvg_LeadAbs_Read	100	0.014781
Intel900P_ECP_ClusterAvg_LeadAbs_Read	110	0.014781
Intel900P_ECP_ClusterAvg_LeadAbs_Read	120	0.014781
Intel900P_ECP_ClusterAvg_LeadAbs_Read	130	0.016769
Intel900P_ECP_ClusterAvg_LeadAbs_Read	140	0.021030
Intel900P_ECP_ClusterAvg_LeadAbs_Read	150	0.022623
Intel900P_ECP_ClusterAvg_LeadAbs_Read	160	0.023813
Intel900P_ECP_ClusterAvg_LeadAbs_Read	170	0.025094
Intel900P_ECP_ClusterAvg_LeadAbs_Read	180	0.025561
Intel900P_ECP_ClusterAvg_LeadAbs_Read	190	0.026914
Intel900P_ECP_ClusterAvg_LeadAbs_Read	200	0.030591
Intel900P_ECP_ClusterAvg_LeadAbs_Read	210	0.032065
Intel900P_ECP_ClusterAvg_LeadAbs_Read	220	0.034197
Intel900P_ECP_ClusterAvg_LeadAbs_Read	230	0.035940
Intel900P_ECP_ClusterAvg_LeadAbs_Read	240	0.036739
Intel900P_ECP_ClusterAvg_LeadAbs_Read	250	0.038134
Intel900P_ECP_ClusterAvg_LeadAbs_Read	260	0.038745
Intel900P_ECP_ClusterAvg_LeadAbs_Read	270	0.040233
Intel900P_ECP_ClusterAvg_LeadAbs_Read	280	0.044999
Intel900P_ECP_ClusterAvg_LeadAbs_Read	290	0.045787
Intel900P_ECP_ClusterAvg_LeadAbs_Read	300	0.047204
Intel900P_ECP_ClusterAvg_LeadAbs_Read	310	0.049257
Intel900P_ECP_ClusterAvg_LeadAbs_Read	320	0.051528
Intel900P_ECP_ClusterAvg_LeadAbs_Read	330	0.053032
Intel900P_ECP_ClusterAvg_LeadAbs_Read	340	0.054342
Intel900P_ECP_ClusterAvg_LeadAbs_Read	350	0.055602
Intel900P_ECP_ClusterAvg_LeadAbs_Read	360	0.056083
Intel900P_ECP_ClusterAvg_LeadAbs_Read	370	0.056289
Intel900P_ECP_ClusterAvg_LeadAbs_Read	380	0.056725
Intel900P_ECP_ClusterAvg_LeadAbs_Read	390	0.056758
Intel900P_ECP_ClusterAvg_LeadAbs_Read	400	0.057432
Intel900P_ECP_ClusterAvg_LeadAbs_Read	410	0.063654
Intel900P_ECP_ClusterAvg_LeadAbs_Read	420	0.072201
Intel900P_ECP_ClusterAvg_LeadAbs_Read	430	0.077723
Intel900P_ECP_ClusterAvg_LeadAbs_Read	440	0.079679
Intel900P_ECP_ClusterAvg_LeadAbs_Read	450	0.080317
Intel900P_ECP_ClusterAvg_LeadAbs_Read	460	0.080527
Intel900P_ECP_ClusterAvg_LeadAbs_Read	470	0.080725
Intel900P_ECP_ClusterAvg_LeadAbs_Read	480	0.081103
Intel900P_ECP_ClusterAvg_LeadAbs_Read	490	0.081558
Intel900P_ECP_ClusterAvg_LeadAbs_Read	500	0.081913
Intel900P_ECP_ClusterAvg_LeadAbs_Read	510	0.082013
Intel900P_ECP_ClusterAvg_LeadAbs_Read	520	0.082028
Intel900P_ECP_ClusterAvg_LeadAbs_Read	530	0.082042
Intel900P_ECP_ClusterAvg_LeadAbs_Read	540	0.082197
Intel900P_ECP_ClusterAvg_LeadAbs_Read	550	0.083199
Intel900P_ECP_ClusterAvg_LeadAbs_Read	560	0.083841
Intel900P_ECP_ClusterAvg_LeadAbs_Read	570	0.087133
Intel900P_ECP_ClusterAvg_LeadAbs_Read	580	0.099935
Intel900P_ECP_ClusterAvg_LeadAbs_Read	590	0.115517
Intel900P_ECP_ClusterAvg_LeadAbs_Read	600	0.121205
Intel900P_ECP_ClusterAvg_LeadAbs_Read	610	0.123668
Intel900P_ECP_ClusterAvg_LeadAbs_Read	620	0.124572
Intel900P_ECP_ClusterAvg_LeadAbs_Read	630	0.124891
Intel900P_ECP_ClusterAvg_LeadAbs_Read	640	0.124951
Intel900P_ECP_ClusterAvg_LeadAbs_Read	650	0.124951
Intel900P_ECP_ClusterAvg_LeadAbs_Read	660	0.124956
Intel900P_ECP_ClusterAvg_LeadAbs_Read	670	0.124956
Intel900P_ECP_ClusterAvg_LeadAbs_Read	680	0.124956
Intel900P_ECP_ClusterAvg_LeadAbs_Read	690	0.124956
Intel900P_ECP_ClusterAvg_LeadAbs_Read	700	0.124956
Intel900P_ECP_ClusterAvg_LeadAbs_Read	710	0.124956
Intel900P_ECP_ClusterAvg_LeadAbs_Read	720	0.124956
Intel900P_ECP_ClusterAvg_LeadAbs_Read	730	0.124956
Intel900P_ECP_ClusterAvg_LeadAbs_Read	740	0.124956
Intel900P_ECP_ClusterAvg_LeadAbs_Read	750	0.124956
Intel900P_ECP_ClusterAvg_LeadAbs_Read	760	0.125054
Intel900P_ECP_ClusterAvg_LeadAbs_Read	770	0.126593
Intel900P_ECP_ClusterAvg_LeadAbs_Read	780	0.127540
Intel900P_ECP_ClusterAvg_LeadAbs_Read	790	0.135319
Intel900P_ECP_ClusterAvg_LeadAbs_Read	800	0.160035
Intel900P_ECP_ClusterAvg_LeadAbs_Read	810	0.172667
Intel900P_ECP_ClusterAvg_LeadAbs_Read	820	0.178832
Intel900P_ECP_ClusterAvg_LeadAbs_Read	830	0.181910
Intel900P_ECP_ClusterAvg_LeadAbs_Read	840	0.183954
Intel900P_ECP_ClusterAvg_LeadAbs_Read	850	0.185475
Intel900P_ECP_ClusterAvg_LeadAbs_Read	860	0.186664
Intel900P_ECP_ClusterAvg_LeadAbs_Read	870	0.187299
Intel900P_ECP_ClusterAvg_LeadAbs_Read	880	0.187627
Intel900P_ECP_ClusterAvg_LeadAbs_Read	890	0.187855
Intel900P_ECP_ClusterAvg_LeadAbs_Read	900	0.188021
Intel900P_ECP_ClusterAvg_LeadAbs_Read	910	0.188173
Intel900P_ECP_ClusterAvg_LeadAbs_Read	920	0.188276
Intel900P_ECP_ClusterAvg_LeadAbs_Read	930	0.188317
Intel900P_ECP_ClusterAvg_LeadAbs_Read	940	0.188326
Intel900P_ECP_ClusterAvg_LeadAbs_Read	950	0.188331
Intel900P_ECP_ClusterAvg_LeadAbs_Read	960	0.188336
Intel900P_ECP_ClusterAvg_LeadAbs_Read	970	0.188369
Intel900P_ECP_ClusterAvg_LeadAbs_Read	980	0.188424
Intel900P_ECP_ClusterAvg_LeadAbs_Read	990	0.188522
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1000	0.188627
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1010	0.188726
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1020	0.188790
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1030	0.188808
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1040	0.188819
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1050	0.189306
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1060	0.191356
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1070	0.192027
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1080	0.195634
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1090	0.208002
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1100	0.241926
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1110	0.255639
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1120	0.264287
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1130	0.269390
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1140	0.273168
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1150	0.275671
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1160	0.277132
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1170	0.277851
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1180	0.278525
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1190	0.278903
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1200	0.279148
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1210	0.279469
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1220	0.279787
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1230	0.279997
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1240	0.280132
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1250	0.280193
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1260	0.280226
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1270	0.280240
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1280	0.280249
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1290	0.280277
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1300	0.280316
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1310	0.280396
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1320	0.280431
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1330	0.280431
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1340	0.280431
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1350	0.280431
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1360	0.280438
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1370	0.280458
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1380	0.280501
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1390	0.280587
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1400	0.280736
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1410	0.281011
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1420	0.281362
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1430	0.281866
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1440	0.283176
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1450	0.285172
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1460	0.285640
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1470	0.286611
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1480	0.291638
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1490	0.303586
Intel900P_ECP_ClusterAvg_LeadAbs_Read	1500	0.355497
