Device	Inserts (in millions)	Cost (in hours)
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	30	0.003577
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	40	0.003577
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	50	0.003577
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	60	0.008388
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	70	0.008388
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	80	0.008388
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	90	0.014676
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	100	0.014783
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	110	0.014783
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	120	0.014783
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	130	0.016579
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	140	0.021643
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	150	0.022746
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	160	0.023790
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	170	0.024802
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	180	0.025073
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	190	0.026643
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	200	0.031261
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	210	0.033240
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	220	0.034552
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	230	0.035518
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	240	0.036444
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	250	0.037452
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	260	0.038037
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	270	0.039846
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	280	0.045027
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	290	0.047230
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	300	0.048711
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	310	0.050198
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	320	0.051007
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	330	0.052402
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	340	0.053107
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	350	0.054413
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	360	0.054888
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	370	0.055037
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	380	0.055423
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	390	0.056227
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	400	0.060986
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	410	0.069388
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	420	0.076497
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	430	0.078876
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	440	0.079260
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	450	0.079484
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	460	0.079580
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	470	0.079606
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	480	0.079675
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	490	0.079852
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	500	0.080066
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	510	0.080123
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	520	0.080133
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	530	0.080374
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	540	0.081673
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	550	0.104630
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	560	0.113678
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	570	0.129415
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	580	0.137417
Intel900P_ECP_ClusterAvg_LeadAbs_Scan	590	0.141658
