Device	Inserts (in millions)	Cost (in hours)
Intel900P_ECP_ClusterAvg_LeadAvg_Read	30	0.003579
Intel900P_ECP_ClusterAvg_LeadAvg_Read	40	0.003579
Intel900P_ECP_ClusterAvg_LeadAvg_Read	50	0.003579
Intel900P_ECP_ClusterAvg_LeadAvg_Read	60	0.008394
Intel900P_ECP_ClusterAvg_LeadAvg_Read	70	0.008394
Intel900P_ECP_ClusterAvg_LeadAvg_Read	80	0.008394
Intel900P_ECP_ClusterAvg_LeadAvg_Read	90	0.014707
Intel900P_ECP_ClusterAvg_LeadAvg_Read	100	0.014794
Intel900P_ECP_ClusterAvg_LeadAvg_Read	110	0.014794
Intel900P_ECP_ClusterAvg_LeadAvg_Read	120	0.014794
Intel900P_ECP_ClusterAvg_LeadAvg_Read	130	0.016865
Intel900P_ECP_ClusterAvg_LeadAvg_Read	140	0.021270
Intel900P_ECP_ClusterAvg_LeadAvg_Read	150	0.021471
Intel900P_ECP_ClusterAvg_LeadAvg_Read	160	0.023519
Intel900P_ECP_ClusterAvg_LeadAvg_Read	170	0.024594
Intel900P_ECP_ClusterAvg_LeadAvg_Read	180	0.025743
Intel900P_ECP_ClusterAvg_LeadAvg_Read	190	0.027577
Intel900P_ECP_ClusterAvg_LeadAvg_Read	200	0.032001
Intel900P_ECP_ClusterAvg_LeadAvg_Read	210	0.032035
Intel900P_ECP_ClusterAvg_LeadAvg_Read	220	0.032679
Intel900P_ECP_ClusterAvg_LeadAvg_Read	230	0.033242
Intel900P_ECP_ClusterAvg_LeadAvg_Read	240	0.033662
Intel900P_ECP_ClusterAvg_LeadAvg_Read	250	0.035815
Intel900P_ECP_ClusterAvg_LeadAvg_Read	260	0.038229
Intel900P_ECP_ClusterAvg_LeadAvg_Read	270	0.041250
Intel900P_ECP_ClusterAvg_LeadAvg_Read	280	0.042396
Intel900P_ECP_ClusterAvg_LeadAvg_Read	290	0.043835
Intel900P_ECP_ClusterAvg_LeadAvg_Read	300	0.047566
Intel900P_ECP_ClusterAvg_LeadAvg_Read	310	0.051245
Intel900P_ECP_ClusterAvg_LeadAvg_Read	320	0.052369
Intel900P_ECP_ClusterAvg_LeadAvg_Read	330	0.052633
Intel900P_ECP_ClusterAvg_LeadAvg_Read	340	0.053392
Intel900P_ECP_ClusterAvg_LeadAvg_Read	350	0.055286
Intel900P_ECP_ClusterAvg_LeadAvg_Read	360	0.057295
Intel900P_ECP_ClusterAvg_LeadAvg_Read	370	0.058032
Intel900P_ECP_ClusterAvg_LeadAvg_Read	380	0.058670
Intel900P_ECP_ClusterAvg_LeadAvg_Read	390	0.059105
