Device	Inserts (in millions)	Cost (in hours)
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	30	0.003576
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	40	0.003576
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	50	0.003579
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	60	0.008391
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	70	0.008391
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	80	0.008391
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	90	0.014704
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	100	0.014785
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	110	0.014785
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	120	0.014785
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	130	0.016957
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	140	0.021733
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	150	0.021940
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	160	0.023426
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	170	0.024502
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	180	0.024969
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	190	0.027473
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	200	0.032776
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	210	0.032835
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	220	0.033389
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	230	0.033777
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	240	0.034090
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	250	0.035000
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	260	0.037085
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	270	0.041592
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	280	0.042039
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	290	0.042691
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	300	0.048349
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	310	0.052693
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	320	0.053428
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	330	0.053469
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	340	0.053723
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	350	0.055018
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	360	0.056878
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	370	0.058385
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	380	0.059100
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	390	0.059443
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	400	0.059875
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	410	0.060631
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	420	0.060981
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	430	0.064264
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	440	0.071310
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	450	0.077797
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	460	0.084669
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	470	0.087532
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	480	0.088428
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	490	0.088511
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	500	0.088511
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	510	0.088511
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	520	0.088511
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	530	0.088511
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	540	0.088511
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	550	0.088511
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	560	0.088560
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	570	0.088809
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	580	0.113822
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	590	0.119328
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	600	0.122427
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	610	0.122624
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	620	0.122628
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	630	0.122759
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	640	0.123622
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	650	0.126846
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	660	0.132658
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	670	0.139757
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	680	0.154378
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	690	0.161719
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	700	0.166428
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	710	0.169263
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	720	0.170655
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	730	0.171290
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	740	0.171526
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	750	0.171584
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	760	0.171597
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	770	0.171602
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	780	0.171602
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	790	0.171602
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	800	0.203864
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	810	0.203864
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	820	0.203864
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	830	0.203864
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	840	0.203888
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	850	0.204085
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	860	0.204669
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	870	0.206574
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	880	0.211243
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	890	0.217313
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	900	0.220449
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	910	0.221099
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	920	0.221204
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	930	0.221210
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	940	0.221239
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	950	0.221383
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	960	0.278934
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	970	0.281462
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	980	0.287131
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	990	0.296346
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1000	0.308120
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1010	0.319358
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1020	0.328769
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1030	0.336033
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1040	0.341211
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1050	0.344861
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1060	0.347469
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1070	0.349389
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1080	0.350914
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1090	0.352010
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1100	0.352782
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1110	0.353249
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1120	0.353473
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1130	0.353554
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1140	0.401820
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1150	0.401832
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1160	0.401840
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1170	0.401840
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1180	0.401840
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1190	0.401840
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1200	0.401840
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1210	0.401840
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1220	0.401840
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1230	0.401840
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1240	0.401840
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1250	0.401857
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1260	0.401882
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1270	0.454303
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1280	0.454541
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1290	0.455124
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1300	0.457290
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1310	0.461285
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1320	0.467926
Intel900P_ECP_ClusterAvg_LeadAvg_Scan	1330	0.475115
