Device	Inserts (in millions)	Cost (in hours)
Intel900P_II_Read	30	0.402927
Intel900P_II_Read	40	0.402927
Intel900P_II_Read	50	0.402927
Intel900P_II_Read	60	0.978615
Intel900P_II_Read	70	0.978615
Intel900P_II_Read	80	0.978615
Intel900P_II_Read	90	0.978615
Intel900P_II_Read	100	1.801072
Intel900P_II_Read	110	1.801072
Intel900P_II_Read	120	1.801072
Intel900P_II_Read	130	1.801072
Intel900P_II_Read	140	1.801072
Intel900P_II_Read	150	1.801072
Intel900P_II_Read	160	2.976044
Intel900P_II_Read	170	2.976044
Intel900P_II_Read	180	2.976044
Intel900P_II_Read	190	2.976044
Intel900P_II_Read	200	2.976044
Intel900P_II_Read	210	2.976044
Intel900P_II_Read	220	2.976044
Intel900P_II_Read	230	2.976044
Intel900P_II_Read	240	2.976044
Intel900P_II_Read	250	4.654636
Intel900P_II_Read	260	4.654636
Intel900P_II_Read	270	4.654636
Intel900P_II_Read	280	4.654636
Intel900P_II_Read	290	4.654636
Intel900P_II_Read	300	4.654636
Intel900P_II_Read	310	4.654636
Intel900P_II_Read	320	4.654636
Intel900P_II_Read	330	4.654636
Intel900P_II_Read	340	4.654636
Intel900P_II_Read	350	4.654636
Intel900P_II_Read	360	4.654636
Intel900P_II_Read	370	4.654636
Intel900P_II_Read	380	7.052701
Intel900P_II_Read	390	7.052701
Intel900P_II_Read	400	7.052701
Intel900P_II_Read	410	7.052701
Intel900P_II_Read	420	7.052701
Intel900P_II_Read	430	7.052701
Intel900P_II_Read	440	7.052701
Intel900P_II_Read	450	7.052701
Intel900P_II_Read	460	7.052701
Intel900P_II_Read	470	7.052701
Intel900P_II_Read	480	7.052701
Intel900P_II_Read	490	7.052701
Intel900P_II_Read	500	7.052701
Intel900P_II_Read	510	7.052701
Intel900P_II_Read	520	7.052701
Intel900P_II_Read	530	7.052701
Intel900P_II_Read	540	7.052701
Intel900P_II_Read	550	7.052701
Intel900P_II_Read	560	10.478522
Intel900P_II_Read	570	10.478522
Intel900P_II_Read	580	10.478522
Intel900P_II_Read	590	10.478522
Intel900P_II_Read	600	10.478522
Intel900P_II_Read	610	10.478522
Intel900P_II_Read	620	10.478522
Intel900P_II_Read	630	10.478522
Intel900P_II_Read	640	10.478522
Intel900P_II_Read	650	10.478522
Intel900P_II_Read	660	10.478522
Intel900P_II_Read	670	10.478522
Intel900P_II_Read	680	10.478522
Intel900P_II_Read	690	10.478522
Intel900P_II_Read	700	10.478522
Intel900P_II_Read	710	10.478522
Intel900P_II_Read	720	10.478522
Intel900P_II_Read	730	10.478522
Intel900P_II_Read	740	10.478522
Intel900P_II_Read	750	10.478522
Intel900P_II_Read	760	10.478522
Intel900P_II_Read	770	10.478522
Intel900P_II_Read	780	10.478522
Intel900P_II_Read	790	10.478522
Intel900P_II_Read	800	10.478522
Intel900P_II_Read	810	10.478522
Intel900P_II_Read	820	15.372584
Intel900P_II_Read	830	15.372584
Intel900P_II_Read	840	15.372584
Intel900P_II_Read	850	15.372584
Intel900P_II_Read	860	15.372584
Intel900P_II_Read	870	15.372584
Intel900P_II_Read	880	15.372584
Intel900P_II_Read	890	15.372584
Intel900P_II_Read	900	15.372584
Intel900P_II_Read	910	15.372584
Intel900P_II_Read	920	15.372584
Intel900P_II_Read	930	15.372584
Intel900P_II_Read	940	15.372584
Intel900P_II_Read	950	15.372584
Intel900P_II_Read	960	15.372584
Intel900P_II_Read	970	15.372584
Intel900P_II_Read	980	15.372584
Intel900P_II_Read	990	15.372584
Intel900P_II_Read	1000	15.372584
Intel900P_II_Read	1010	15.372584
Intel900P_II_Read	1020	15.372584
Intel900P_II_Read	1030	15.372584
Intel900P_II_Read	1040	15.372584
Intel900P_II_Read	1050	15.372584
Intel900P_II_Read	1060	15.372584
Intel900P_II_Read	1070	15.372584
Intel900P_II_Read	1080	15.372584
Intel900P_II_Read	1090	15.372584
Intel900P_II_Read	1100	15.372584
Intel900P_II_Read	1110	15.372584
Intel900P_II_Read	1120	15.372584
Intel900P_II_Read	1130	15.372584
Intel900P_II_Read	1140	15.372584
Intel900P_II_Read	1150	15.372584
Intel900P_II_Read	1160	15.372584
Intel900P_II_Read	1170	15.372584
Intel900P_II_Read	1180	15.372584
Intel900P_II_Read	1190	22.364141
Intel900P_II_Read	1200	22.364141
Intel900P_II_Read	1210	22.364141
Intel900P_II_Read	1220	22.364141
Intel900P_II_Read	1230	22.364141
Intel900P_II_Read	1240	22.364141
Intel900P_II_Read	1250	22.364141
Intel900P_II_Read	1260	22.364141
Intel900P_II_Read	1270	22.364141
Intel900P_II_Read	1280	22.364141
Intel900P_II_Read	1290	22.364141
Intel900P_II_Read	1300	22.364141
Intel900P_II_Read	1310	22.364141
Intel900P_II_Read	1320	22.364141
Intel900P_II_Read	1330	22.364141
Intel900P_II_Read	1340	22.364141
Intel900P_II_Read	1350	22.364141
Intel900P_II_Read	1360	22.364141
Intel900P_II_Read	1370	22.364141
Intel900P_II_Read	1380	22.364141
Intel900P_II_Read	1390	22.364141
Intel900P_II_Read	1400	22.364141
Intel900P_II_Read	1410	22.364141
Intel900P_II_Read	1420	22.364141
Intel900P_II_Read	1430	22.364141
Intel900P_II_Read	1440	22.364141
Intel900P_II_Read	1450	22.364141
Intel900P_II_Read	1460	22.364141
Intel900P_II_Read	1470	22.364141
Intel900P_II_Read	1480	22.364141
Intel900P_II_Read	1490	22.364141
Intel900P_II_Read	1500	22.364141
