Device	Inserts (in millions)	Cost (in hours)
Intel900P_II_Scan	30	0.402927
Intel900P_II_Scan	40	0.402927
Intel900P_II_Scan	50	0.402927
Intel900P_II_Scan	60	0.978615
Intel900P_II_Scan	70	0.978615
Intel900P_II_Scan	80	0.978615
Intel900P_II_Scan	90	0.978615
Intel900P_II_Scan	100	1.801072
Intel900P_II_Scan	110	1.801072
Intel900P_II_Scan	120	1.801072
Intel900P_II_Scan	130	1.801072
Intel900P_II_Scan	140	1.801072
Intel900P_II_Scan	150	1.801072
Intel900P_II_Scan	160	2.976044
Intel900P_II_Scan	170	2.976044
Intel900P_II_Scan	180	2.976044
Intel900P_II_Scan	190	2.976044
Intel900P_II_Scan	200	2.976044
Intel900P_II_Scan	210	2.976044
Intel900P_II_Scan	220	2.976044
Intel900P_II_Scan	230	2.976044
Intel900P_II_Scan	240	2.976044
Intel900P_II_Scan	250	4.654636
Intel900P_II_Scan	260	4.654636
Intel900P_II_Scan	270	4.654636
Intel900P_II_Scan	280	4.654636
Intel900P_II_Scan	290	4.654636
Intel900P_II_Scan	300	4.654636
Intel900P_II_Scan	310	4.654636
Intel900P_II_Scan	320	4.654636
Intel900P_II_Scan	330	4.654636
Intel900P_II_Scan	340	4.654636
Intel900P_II_Scan	350	4.654636
Intel900P_II_Scan	360	4.654636
Intel900P_II_Scan	370	4.654636
Intel900P_II_Scan	380	7.052701
Intel900P_II_Scan	390	7.052701
Intel900P_II_Scan	400	7.052701
Intel900P_II_Scan	410	7.052701
Intel900P_II_Scan	420	7.052701
Intel900P_II_Scan	430	7.052701
Intel900P_II_Scan	440	7.052701
Intel900P_II_Scan	450	7.052701
Intel900P_II_Scan	460	7.052701
Intel900P_II_Scan	470	7.052701
Intel900P_II_Scan	480	7.052701
Intel900P_II_Scan	490	7.052701
Intel900P_II_Scan	500	7.052701
Intel900P_II_Scan	510	7.052701
Intel900P_II_Scan	520	7.052701
Intel900P_II_Scan	530	7.052701
Intel900P_II_Scan	540	7.052701
Intel900P_II_Scan	550	7.052701
Intel900P_II_Scan	560	10.478522
Intel900P_II_Scan	570	10.478522
Intel900P_II_Scan	580	10.478522
Intel900P_II_Scan	590	10.478522
Intel900P_II_Scan	600	10.478522
Intel900P_II_Scan	610	10.478522
Intel900P_II_Scan	620	10.478522
Intel900P_II_Scan	630	10.478522
Intel900P_II_Scan	640	10.478522
Intel900P_II_Scan	650	10.478522
Intel900P_II_Scan	660	10.478522
Intel900P_II_Scan	670	10.478522
Intel900P_II_Scan	680	10.478522
Intel900P_II_Scan	690	10.478522
Intel900P_II_Scan	700	10.478522
Intel900P_II_Scan	710	10.478522
Intel900P_II_Scan	720	10.478522
Intel900P_II_Scan	730	10.478522
Intel900P_II_Scan	740	10.478522
Intel900P_II_Scan	750	10.478522
Intel900P_II_Scan	760	10.478522
Intel900P_II_Scan	770	10.478522
Intel900P_II_Scan	780	10.478522
Intel900P_II_Scan	790	10.478522
Intel900P_II_Scan	800	10.478522
Intel900P_II_Scan	810	10.478522
Intel900P_II_Scan	820	15.378452
Intel900P_II_Scan	830	15.378452
Intel900P_II_Scan	840	15.378452
Intel900P_II_Scan	850	15.378452
Intel900P_II_Scan	860	15.378452
Intel900P_II_Scan	870	15.378452
Intel900P_II_Scan	880	15.378452
Intel900P_II_Scan	890	15.378452
Intel900P_II_Scan	900	15.378452
Intel900P_II_Scan	910	15.378452
Intel900P_II_Scan	920	15.378452
Intel900P_II_Scan	930	15.378452
Intel900P_II_Scan	940	15.378452
Intel900P_II_Scan	950	15.378452
Intel900P_II_Scan	960	15.378452
Intel900P_II_Scan	970	15.378452
Intel900P_II_Scan	980	15.378452
Intel900P_II_Scan	990	15.378452
Intel900P_II_Scan	1000	15.378452
Intel900P_II_Scan	1010	15.378452
Intel900P_II_Scan	1020	15.378452
Intel900P_II_Scan	1030	15.378452
Intel900P_II_Scan	1040	15.378452
Intel900P_II_Scan	1050	15.378452
Intel900P_II_Scan	1060	15.378452
Intel900P_II_Scan	1070	15.378452
Intel900P_II_Scan	1080	15.385012
Intel900P_II_Scan	1090	15.385012
Intel900P_II_Scan	1100	15.385012
Intel900P_II_Scan	1110	15.385012
Intel900P_II_Scan	1120	15.385012
Intel900P_II_Scan	1130	15.385012
Intel900P_II_Scan	1140	15.385012
Intel900P_II_Scan	1150	15.385012
Intel900P_II_Scan	1160	15.385012
Intel900P_II_Scan	1170	15.385012
Intel900P_II_Scan	1180	15.385012
Intel900P_II_Scan	1190	22.376570
Intel900P_II_Scan	1200	22.376570
Intel900P_II_Scan	1210	22.376570
Intel900P_II_Scan	1220	22.376570
Intel900P_II_Scan	1230	22.376570
Intel900P_II_Scan	1240	22.376570
Intel900P_II_Scan	1250	22.376570
Intel900P_II_Scan	1260	22.376570
Intel900P_II_Scan	1270	22.376570
Intel900P_II_Scan	1280	22.376570
Intel900P_II_Scan	1290	22.376570
Intel900P_II_Scan	1300	22.376570
Intel900P_II_Scan	1310	22.376570
Intel900P_II_Scan	1320	22.376570
Intel900P_II_Scan	1330	22.376570
