Device	Inserts (in millions)	Cost (in hours)
Intel900P_ReproPfiles_FlushRead	20	0.002862
Intel900P_ReproPfiles_FlushRead	30	0.237662
Intel900P_ReproPfiles_FlushRead	40	0.237662
Intel900P_ReproPfiles_FlushRead	50	0.241353
Intel900P_ReproPfiles_FlushRead	60	1.218042
Intel900P_ReproPfiles_FlushRead	70	1.222040
Intel900P_ReproPfiles_FlushRead	80	1.222040
Intel900P_ReproPfiles_FlushRead	90	1.222040
Intel900P_ReproPfiles_FlushRead	100	1.239862
Intel900P_ReproPfiles_FlushRead	110	1.462712
Intel900P_ReproPfiles_FlushRead	120	1.745857
Intel900P_ReproPfiles_FlushRead	130	1.749806
Intel900P_ReproPfiles_FlushRead	140	1.749806
Intel900P_ReproPfiles_FlushRead	150	1.749806
Intel900P_ReproPfiles_FlushRead	160	1.750166
Intel900P_ReproPfiles_FlushRead	170	1.790971
Intel900P_ReproPfiles_FlushRead	180	1.933307
Intel900P_ReproPfiles_FlushRead	190	2.196541
Intel900P_ReproPfiles_FlushRead	200	2.508091
Intel900P_ReproPfiles_FlushRead	210	2.530961
Intel900P_ReproPfiles_FlushRead	220	2.531007
Intel900P_ReproPfiles_FlushRead	230	2.531007
Intel900P_ReproPfiles_FlushRead	240	2.531007
Intel900P_ReproPfiles_FlushRead	250	2.531367
Intel900P_ReproPfiles_FlushRead	260	2.539003
Intel900P_ReproPfiles_FlushRead	270	2.630575
Intel900P_ReproPfiles_FlushRead	280	3.051239
Intel900P_ReproPfiles_FlushRead	290	3.561981
Intel900P_ReproPfiles_FlushRead	300	4.220577
Intel900P_ReproPfiles_FlushRead	310	5.037762
Intel900P_ReproPfiles_FlushRead	320	5.681797
Intel900P_ReproPfiles_FlushRead	330	5.781883
Intel900P_ReproPfiles_FlushRead	340	5.786553
Intel900P_ReproPfiles_FlushRead	350	5.786568
Intel900P_ReproPfiles_FlushRead	360	5.786568
Intel900P_ReproPfiles_FlushRead	370	5.786568
Intel900P_ReproPfiles_FlushRead	380	5.786568
Intel900P_ReproPfiles_FlushRead	390	5.786610
Intel900P_ReproPfiles_FlushRead	400	5.787277
Intel900P_ReproPfiles_FlushRead	410	5.790645
Intel900P_ReproPfiles_FlushRead	420	5.800722
Intel900P_ReproPfiles_FlushRead	430	5.814477
Intel900P_ReproPfiles_FlushRead	440	5.834705
Intel900P_ReproPfiles_FlushRead	450	5.884607
Intel900P_ReproPfiles_FlushRead	460	6.013138
Intel900P_ReproPfiles_FlushRead	470	6.255947
Intel900P_ReproPfiles_FlushRead	480	6.505324
Intel900P_ReproPfiles_FlushRead	490	6.789720
Intel900P_ReproPfiles_FlushRead	500	7.129626
Intel900P_ReproPfiles_FlushRead	510	7.352230
Intel900P_ReproPfiles_FlushRead	520	7.469506
Intel900P_ReproPfiles_FlushRead	530	7.534167
Intel900P_ReproPfiles_FlushRead	540	7.550437
Intel900P_ReproPfiles_FlushRead	550	7.553256
Intel900P_ReproPfiles_FlushRead	560	7.553619
Intel900P_ReproPfiles_FlushRead	570	7.553619
Intel900P_ReproPfiles_FlushRead	580	7.553619
Intel900P_ReproPfiles_FlushRead	590	7.553675
Intel900P_ReproPfiles_FlushRead	600	7.553703
Intel900P_ReproPfiles_FlushRead	610	7.554048
Intel900P_ReproPfiles_FlushRead	620	7.554825
Intel900P_ReproPfiles_FlushRead	630	7.557383
Intel900P_ReproPfiles_FlushRead	640	7.562145
Intel900P_ReproPfiles_FlushRead	650	7.573530
Intel900P_ReproPfiles_FlushRead	660	7.591352
Intel900P_ReproPfiles_FlushRead	670	7.615618
Intel900P_ReproPfiles_FlushRead	680	7.660683
Intel900P_ReproPfiles_FlushRead	690	7.743348
Intel900P_ReproPfiles_FlushRead	700	7.885673
Intel900P_ReproPfiles_FlushRead	710	8.045377
Intel900P_ReproPfiles_FlushRead	720	8.199334
Intel900P_ReproPfiles_FlushRead	730	8.389438
Intel900P_ReproPfiles_FlushRead	740	8.632947
Intel900P_ReproPfiles_FlushRead	750	8.911830
Intel900P_ReproPfiles_FlushRead	760	9.237135
Intel900P_ReproPfiles_FlushRead	770	9.589777
Intel900P_ReproPfiles_FlushRead	780	9.839973
Intel900P_ReproPfiles_FlushRead	790	9.970010
Intel900P_ReproPfiles_FlushRead	800	10.035788
Intel900P_ReproPfiles_FlushRead	810	10.082779
Intel900P_ReproPfiles_FlushRead	820	10.119166
Intel900P_ReproPfiles_FlushRead	830	10.145762
Intel900P_ReproPfiles_FlushRead	840	10.165118
Intel900P_ReproPfiles_FlushRead	850	10.172969
Intel900P_ReproPfiles_FlushRead	860	10.175046
Intel900P_ReproPfiles_FlushRead	870	10.176119
Intel900P_ReproPfiles_FlushRead	880	10.176378
Intel900P_ReproPfiles_FlushRead	890	10.176498
Intel900P_ReproPfiles_FlushRead	900	10.176628
Intel900P_ReproPfiles_FlushRead	910	10.176751
Intel900P_ReproPfiles_FlushRead	920	10.177029
Intel900P_ReproPfiles_FlushRead	930	10.178333
Intel900P_ReproPfiles_FlushRead	940	10.180515
Intel900P_ReproPfiles_FlushRead	950	10.184631
Intel900P_ReproPfiles_FlushRead	960	10.190709
Intel900P_ReproPfiles_FlushRead	970	10.200668
Intel900P_ReproPfiles_FlushRead	980	10.218606
Intel900P_ReproPfiles_FlushRead	990	10.242387
Intel900P_ReproPfiles_FlushRead	1000	10.270583
Intel900P_ReproPfiles_FlushRead	1010	10.312796
Intel900P_ReproPfiles_FlushRead	1020	10.381319
Intel900P_ReproPfiles_FlushRead	1030	10.473250
Intel900P_ReproPfiles_FlushRead	1040	10.582319
Intel900P_ReproPfiles_FlushRead	1050	10.716577
Intel900P_ReproPfiles_FlushRead	1060	10.893024
Intel900P_ReproPfiles_FlushRead	1070	11.130066
Intel900P_ReproPfiles_FlushRead	1080	11.425725
Intel900P_ReproPfiles_FlushRead	1090	11.750072
Intel900P_ReproPfiles_FlushRead	1100	12.132536
Intel900P_ReproPfiles_FlushRead	1110	12.601130
Intel900P_ReproPfiles_FlushRead	1120	13.211527
Intel900P_ReproPfiles_FlushRead	1130	13.895022
Intel900P_ReproPfiles_FlushRead	1140	14.511625
Intel900P_ReproPfiles_FlushRead	1150	15.032332
Intel900P_ReproPfiles_FlushRead	1160	15.525414
Intel900P_ReproPfiles_FlushRead	1170	16.008032
Intel900P_ReproPfiles_FlushRead	1180	16.428924
Intel900P_ReproPfiles_FlushRead	1190	16.748038
Intel900P_ReproPfiles_FlushRead	1200	16.991926
Intel900P_ReproPfiles_FlushRead	1210	17.172825
Intel900P_ReproPfiles_FlushRead	1220	17.309250
Intel900P_ReproPfiles_FlushRead	1230	17.417447
Intel900P_ReproPfiles_FlushRead	1240	17.505906
Intel900P_ReproPfiles_FlushRead	1250	17.574908
Intel900P_ReproPfiles_FlushRead	1260	17.622770
Intel900P_ReproPfiles_FlushRead	1270	17.651497
Intel900P_ReproPfiles_FlushRead	1280	17.667131
Intel900P_ReproPfiles_FlushRead	1290	17.677146
Intel900P_ReproPfiles_FlushRead	1300	17.682949
Intel900P_ReproPfiles_FlushRead	1310	17.684770
Intel900P_ReproPfiles_FlushRead	1320	17.685847
Intel900P_ReproPfiles_FlushRead	1330	17.686875
Intel900P_ReproPfiles_FlushRead	1340	17.687422
Intel900P_ReproPfiles_FlushRead	1350	17.688706
Intel900P_ReproPfiles_FlushRead	1360	17.690281
Intel900P_ReproPfiles_FlushRead	1370	17.692760
Intel900P_ReproPfiles_FlushRead	1380	17.696804
Intel900P_ReproPfiles_FlushRead	1390	17.702193
Intel900P_ReproPfiles_FlushRead	1400	17.710744
Intel900P_ReproPfiles_FlushRead	1410	17.723331
Intel900P_ReproPfiles_FlushRead	1420	17.742972
Intel900P_ReproPfiles_FlushRead	1430	17.773799
Intel900P_ReproPfiles_FlushRead	1440	17.814422
Intel900P_ReproPfiles_FlushRead	1450	17.856223
Intel900P_ReproPfiles_FlushRead	1460	17.907434
Intel900P_ReproPfiles_FlushRead	1470	17.974283
Intel900P_ReproPfiles_FlushRead	1480	18.058245
Intel900P_ReproPfiles_FlushRead	1490	18.156084
