Device	Inserts (in millions)	Cost (in hours)
Intel900P_ReproPfiles_FlushScan	20	0.002489
Intel900P_ReproPfiles_FlushScan	30	0.235532
Intel900P_ReproPfiles_FlushScan	40	0.235532
Intel900P_ReproPfiles_FlushScan	50	0.239491
Intel900P_ReproPfiles_FlushScan	60	1.212771
Intel900P_ReproPfiles_FlushScan	70	1.216755
Intel900P_ReproPfiles_FlushScan	80	1.216755
Intel900P_ReproPfiles_FlushScan	90	1.216755
Intel900P_ReproPfiles_FlushScan	100	1.234551
Intel900P_ReproPfiles_FlushScan	110	1.458449
Intel900P_ReproPfiles_FlushScan	120	1.739043
Intel900P_ReproPfiles_FlushScan	130	1.742760
Intel900P_ReproPfiles_FlushScan	140	1.742760
Intel900P_ReproPfiles_FlushScan	150	1.742760
Intel900P_ReproPfiles_FlushScan	160	1.742880
Intel900P_ReproPfiles_FlushScan	170	1.785528
Intel900P_ReproPfiles_FlushScan	180	1.927139
Intel900P_ReproPfiles_FlushScan	190	2.196874
Intel900P_ReproPfiles_FlushScan	200	2.502451
Intel900P_ReproPfiles_FlushScan	210	2.526436
Intel900P_ReproPfiles_FlushScan	220	2.526436
Intel900P_ReproPfiles_FlushScan	230	2.526436
Intel900P_ReproPfiles_FlushScan	240	2.526436
Intel900P_ReproPfiles_FlushScan	250	2.526672
Intel900P_ReproPfiles_FlushScan	260	2.535900
Intel900P_ReproPfiles_FlushScan	270	2.636994
Intel900P_ReproPfiles_FlushScan	280	3.041580
Intel900P_ReproPfiles_FlushScan	290	3.566083
Intel900P_ReproPfiles_FlushScan	300	4.234256
Intel900P_ReproPfiles_FlushScan	310	5.052870
Intel900P_ReproPfiles_FlushScan	320	5.679302
Intel900P_ReproPfiles_FlushScan	330	5.780233
Intel900P_ReproPfiles_FlushScan	340	5.785373
Intel900P_ReproPfiles_FlushScan	350	5.785443
Intel900P_ReproPfiles_FlushScan	360	5.785443
Intel900P_ReproPfiles_FlushScan	370	5.785443
Intel900P_ReproPfiles_FlushScan	380	5.785443
Intel900P_ReproPfiles_FlushScan	390	5.785550
Intel900P_ReproPfiles_FlushScan	400	5.786490
Intel900P_ReproPfiles_FlushScan	410	5.789520
Intel900P_ReproPfiles_FlushScan	420	5.798795
Intel900P_ReproPfiles_FlushScan	430	5.812697
Intel900P_ReproPfiles_FlushScan	440	5.831591
Intel900P_ReproPfiles_FlushScan	450	5.883975
Intel900P_ReproPfiles_FlushScan	460	6.012841
Intel900P_ReproPfiles_FlushScan	470	6.257059
Intel900P_ReproPfiles_FlushScan	480	6.506874
Intel900P_ReproPfiles_FlushScan	490	6.798179
Intel900P_ReproPfiles_FlushScan	500	7.132583
Intel900P_ReproPfiles_FlushScan	510	7.355761
Intel900P_ReproPfiles_FlushScan	520	7.474160
Intel900P_ReproPfiles_FlushScan	530	7.538645
Intel900P_ReproPfiles_FlushScan	540	7.554829
Intel900P_ReproPfiles_FlushScan	550	7.557752
Intel900P_ReproPfiles_FlushScan	560	7.558213
Intel900P_ReproPfiles_FlushScan	570	7.558213
Intel900P_ReproPfiles_FlushScan	580	7.558213
