Device	Inserts (in millions)	Cost (in hours)
Intel900P_ReproRead_FlushRead	20	0.001555
Intel900P_ReproRead_FlushRead	30	0.156693
Intel900P_ReproRead_FlushRead	40	0.156693
Intel900P_ReproRead_FlushRead	50	0.157126
Intel900P_ReproRead_FlushRead	60	0.384464
Intel900P_ReproRead_FlushRead	70	0.387357
Intel900P_ReproRead_FlushRead	80	0.387357
Intel900P_ReproRead_FlushRead	90	0.387357
Intel900P_ReproRead_FlushRead	100	0.399589
Intel900P_ReproRead_FlushRead	110	0.547454
Intel900P_ReproRead_FlushRead	120	0.732464
Intel900P_ReproRead_FlushRead	130	0.735191
Intel900P_ReproRead_FlushRead	140	0.735191
Intel900P_ReproRead_FlushRead	150	0.735191
Intel900P_ReproRead_FlushRead	160	0.735427
Intel900P_ReproRead_FlushRead	170	0.762865
Intel900P_ReproRead_FlushRead	180	0.857971
Intel900P_ReproRead_FlushRead	190	1.033546
Intel900P_ReproRead_FlushRead	200	1.234320
Intel900P_ReproRead_FlushRead	210	1.250007
Intel900P_ReproRead_FlushRead	220	1.250068
Intel900P_ReproRead_FlushRead	230	1.250068
Intel900P_ReproRead_FlushRead	240	1.250068
Intel900P_ReproRead_FlushRead	250	1.250088
Intel900P_ReproRead_FlushRead	260	1.250974
Intel900P_ReproRead_FlushRead	270	1.264822
Intel900P_ReproRead_FlushRead	280	1.332249
Intel900P_ReproRead_FlushRead	290	1.451164
Intel900P_ReproRead_FlushRead	300	1.601557
Intel900P_ReproRead_FlushRead	310	1.770512
Intel900P_ReproRead_FlushRead	320	1.960020
Intel900P_ReproRead_FlushRead	330	2.010015
Intel900P_ReproRead_FlushRead	340	2.013289
Intel900P_ReproRead_FlushRead	350	2.013311
Intel900P_ReproRead_FlushRead	360	2.013311
Intel900P_ReproRead_FlushRead	370	2.013311
Intel900P_ReproRead_FlushRead	380	2.013311
Intel900P_ReproRead_FlushRead	390	2.013324
Intel900P_ReproRead_FlushRead	400	2.013659
Intel900P_ReproRead_FlushRead	410	2.015343
Intel900P_ReproRead_FlushRead	420	2.021134
Intel900P_ReproRead_FlushRead	430	2.030705
Intel900P_ReproRead_FlushRead	440	2.044411
Intel900P_ReproRead_FlushRead	450	2.077988
Intel900P_ReproRead_FlushRead	460	2.163104
Intel900P_ReproRead_FlushRead	470	2.324489
Intel900P_ReproRead_FlushRead	480	2.488441
Intel900P_ReproRead_FlushRead	490	2.680712
Intel900P_ReproRead_FlushRead	500	2.901484
Intel900P_ReproRead_FlushRead	510	3.045651
Intel900P_ReproRead_FlushRead	520	3.122557
Intel900P_ReproRead_FlushRead	530	3.163949
Intel900P_ReproRead_FlushRead	540	3.174449
Intel900P_ReproRead_FlushRead	550	3.176562
Intel900P_ReproRead_FlushRead	560	3.176802
Intel900P_ReproRead_FlushRead	570	3.176802
Intel900P_ReproRead_FlushRead	580	3.176822
Intel900P_ReproRead_FlushRead	590	3.176822
Intel900P_ReproRead_FlushRead	600	3.176862
Intel900P_ReproRead_FlushRead	610	3.176944
Intel900P_ReproRead_FlushRead	620	3.177317
Intel900P_ReproRead_FlushRead	630	3.178764
Intel900P_ReproRead_FlushRead	640	3.182467
Intel900P_ReproRead_FlushRead	650	3.189723
Intel900P_ReproRead_FlushRead	660	3.201076
Intel900P_ReproRead_FlushRead	670	3.217407
Intel900P_ReproRead_FlushRead	680	3.247673
Intel900P_ReproRead_FlushRead	690	3.303735
Intel900P_ReproRead_FlushRead	700	3.396968
Intel900P_ReproRead_FlushRead	710	3.502753
Intel900P_ReproRead_FlushRead	720	3.603935
Intel900P_ReproRead_FlushRead	730	3.737276
Intel900P_ReproRead_FlushRead	740	3.897686
Intel900P_ReproRead_FlushRead	750	4.082847
Intel900P_ReproRead_FlushRead	760	4.293406
Intel900P_ReproRead_FlushRead	770	4.521791
Intel900P_ReproRead_FlushRead	780	4.685655
Intel900P_ReproRead_FlushRead	790	4.771949
Intel900P_ReproRead_FlushRead	800	4.814602
Intel900P_ReproRead_FlushRead	810	4.845161
Intel900P_ReproRead_FlushRead	820	4.868554
Intel900P_ReproRead_FlushRead	830	4.885835
Intel900P_ReproRead_FlushRead	840	4.898160
Intel900P_ReproRead_FlushRead	850	4.903286
Intel900P_ReproRead_FlushRead	860	4.904923
Intel900P_ReproRead_FlushRead	870	4.905410
Intel900P_ReproRead_FlushRead	880	4.905582
Intel900P_ReproRead_FlushRead	890	4.905608
Intel900P_ReproRead_FlushRead	900	4.905638
Intel900P_ReproRead_FlushRead	910	4.905784
Intel900P_ReproRead_FlushRead	920	4.906063
