Device	Inserts (in millions)	Cost (in hours)
Intel900P_ReproRead_FlushScan	20	0.001831
Intel900P_ReproRead_FlushScan	30	0.154573
Intel900P_ReproRead_FlushScan	40	0.154573
Intel900P_ReproRead_FlushScan	50	0.154949
Intel900P_ReproRead_FlushScan	60	0.379828
Intel900P_ReproRead_FlushScan	70	0.382117
Intel900P_ReproRead_FlushScan	80	0.382117
Intel900P_ReproRead_FlushScan	90	0.382117
Intel900P_ReproRead_FlushScan	100	0.394543
Intel900P_ReproRead_FlushScan	110	0.541110
Intel900P_ReproRead_FlushScan	120	0.723086
Intel900P_ReproRead_FlushScan	130	0.725290
Intel900P_ReproRead_FlushScan	140	0.725290
Intel900P_ReproRead_FlushScan	150	0.725290
Intel900P_ReproRead_FlushScan	160	0.725447
Intel900P_ReproRead_FlushScan	170	0.753007
Intel900P_ReproRead_FlushScan	180	0.846515
Intel900P_ReproRead_FlushScan	190	1.020044
Intel900P_ReproRead_FlushScan	200	1.218761
Intel900P_ReproRead_FlushScan	210	1.233296
Intel900P_ReproRead_FlushScan	220	1.233326
Intel900P_ReproRead_FlushScan	230	1.233326
Intel900P_ReproRead_FlushScan	240	1.233326
Intel900P_ReproRead_FlushScan	250	1.233326
Intel900P_ReproRead_FlushScan	260	1.234397
Intel900P_ReproRead_FlushScan	270	1.248209
Intel900P_ReproRead_FlushScan	280	1.316278
Intel900P_ReproRead_FlushScan	290	1.432363
Intel900P_ReproRead_FlushScan	300	1.583043
Intel900P_ReproRead_FlushScan	310	1.754075
Intel900P_ReproRead_FlushScan	320	1.946270
Intel900P_ReproRead_FlushScan	330	1.993927
Intel900P_ReproRead_FlushScan	340	1.997286
Intel900P_ReproRead_FlushScan	350	1.997298
Intel900P_ReproRead_FlushScan	360	1.997298
Intel900P_ReproRead_FlushScan	370	1.997298
Intel900P_ReproRead_FlushScan	380	1.997298
Intel900P_ReproRead_FlushScan	390	1.997337
Intel900P_ReproRead_FlushScan	400	1.997718
Intel900P_ReproRead_FlushScan	410	1.999409
Intel900P_ReproRead_FlushScan	420	2.005010
