Device	Inserts (in millions)	Cost (in hours)
Intel900P_ReproScan_FlushRead	20	12.832380
Intel900P_ReproScan_FlushRead	30	1068.451218
Intel900P_ReproScan_FlushRead	40	1068.451218
Intel900P_ReproScan_FlushRead	50	1084.520650
Intel900P_ReproScan_FlushRead	60	7277.207282
Intel900P_ReproScan_FlushRead	70	7352.819243
Intel900P_ReproScan_FlushRead	80	7352.819243
Intel900P_ReproScan_FlushRead	90	7352.819243
Intel900P_ReproScan_FlushRead	100	7673.182553
Intel900P_ReproScan_FlushRead	110	11764.877896
Intel900P_ReproScan_FlushRead	120	16749.867028
Intel900P_ReproScan_FlushRead	130	16827.949243
Intel900P_ReproScan_FlushRead	140	16827.949243
Intel900P_ReproScan_FlushRead	150	16827.949243
Intel900P_ReproScan_FlushRead	160	16836.032430
Intel900P_ReproScan_FlushRead	170	17525.759685
Intel900P_ReproScan_FlushRead	180	20088.330952
Intel900P_ReproScan_FlushRead	190	24988.981935
Intel900P_ReproScan_FlushRead	200	30403.006252
Intel900P_ReproScan_FlushRead	210	30856.527545
Intel900P_ReproScan_FlushRead	220	30857.370405
Intel900P_ReproScan_FlushRead	230	30857.370405
Intel900P_ReproScan_FlushRead	240	30857.370405
Intel900P_ReproScan_FlushRead	250	30858.338896
Intel900P_ReproScan_FlushRead	260	30982.439193
Intel900P_ReproScan_FlushRead	270	32333.028654
Intel900P_ReproScan_FlushRead	280	39399.063805
Intel900P_ReproScan_FlushRead	290	52044.645008
Intel900P_ReproScan_FlushRead	300	68601.288802
Intel900P_ReproScan_FlushRead	310	87528.100940
Intel900P_ReproScan_FlushRead	320	108368.744488
Intel900P_ReproScan_FlushRead	330	113593.826023
Intel900P_ReproScan_FlushRead	340	113947.848421
Intel900P_ReproScan_FlushRead	350	113949.114837
Intel900P_ReproScan_FlushRead	360	113949.114837
Intel900P_ReproScan_FlushRead	370	113949.114837
Intel900P_ReproScan_FlushRead	380	113950.500091
Intel900P_ReproScan_FlushRead	390	113956.161844
Intel900P_ReproScan_FlushRead	400	114002.395826
Intel900P_ReproScan_FlushRead	410	114189.730377
Intel900P_ReproScan_FlushRead	420	114824.251615
Intel900P_ReproScan_FlushRead	430	115803.251291
Intel900P_ReproScan_FlushRead	440	117216.431938
Intel900P_ReproScan_FlushRead	450	120955.943821
Intel900P_ReproScan_FlushRead	460	130205.819661
Intel900P_ReproScan_FlushRead	470	147445.575226
Intel900P_ReproScan_FlushRead	480	165148.509576
Intel900P_ReproScan_FlushRead	490	185729.955987
Intel900P_ReproScan_FlushRead	500	209786.556634
Intel900P_ReproScan_FlushRead	510	225401.729376
Intel900P_ReproScan_FlushRead	520	234211.392302
Intel900P_ReproScan_FlushRead	530	239147.088869
Intel900P_ReproScan_FlushRead	540	240464.804765
Intel900P_ReproScan_FlushRead	550	240689.484680
Intel900P_ReproScan_FlushRead	560	240710.959821
Intel900P_ReproScan_FlushRead	570	240712.948791
Intel900P_ReproScan_FlushRead	580	240712.948791
Intel900P_ReproScan_FlushRead	590	240717.057673
Intel900P_ReproScan_FlushRead	600	240723.355577
Intel900P_ReproScan_FlushRead	610	240742.489002
Intel900P_ReproScan_FlushRead	620	240800.723095
Intel900P_ReproScan_FlushRead	630	240990.842668
Intel900P_ReproScan_FlushRead	640	241392.386432
Intel900P_ReproScan_FlushRead	650	242199.957389
Intel900P_ReproScan_FlushRead	660	243320.393644
Intel900P_ReproScan_FlushRead	670	245169.426440
Intel900P_ReproScan_FlushRead	680	248281.627443
Intel900P_ReproScan_FlushRead	690	254251.637707
Intel900P_ReproScan_FlushRead	700	264437.776952
Intel900P_ReproScan_FlushRead	710	275535.678416
Intel900P_ReproScan_FlushRead	720	286383.634809
Intel900P_ReproScan_FlushRead	730	300129.214192
Intel900P_ReproScan_FlushRead	740	317264.985631
Intel900P_ReproScan_FlushRead	750	337762.800978
Intel900P_ReproScan_FlushRead	760	360840.438045
Intel900P_ReproScan_FlushRead	770	386029.343551
Intel900P_ReproScan_FlushRead	780	404115.899281
Intel900P_ReproScan_FlushRead	790	413567.695388
Intel900P_ReproScan_FlushRead	800	418454.732277
Intel900P_ReproScan_FlushRead	810	421864.840577
Intel900P_ReproScan_FlushRead	820	424665.025327
Intel900P_ReproScan_FlushRead	830	426886.537096
Intel900P_ReproScan_FlushRead	840	428242.873181
Intel900P_ReproScan_FlushRead	850	428832.967089
Intel900P_ReproScan_FlushRead	860	429017.132494
Intel900P_ReproScan_FlushRead	870	429091.060751
Intel900P_ReproScan_FlushRead	880	429111.957715
Intel900P_ReproScan_FlushRead	890	429117.987178
Intel900P_ReproScan_FlushRead	900	429124.105462
Intel900P_ReproScan_FlushRead	910	429142.654127
Intel900P_ReproScan_FlushRead	920	429183.278376
Intel900P_ReproScan_FlushRead	930	429233.724957
Intel900P_ReproScan_FlushRead	940	429447.392074
Intel900P_ReproScan_FlushRead	950	429737.149602
Intel900P_ReproScan_FlushRead	960	430153.618216
Intel900P_ReproScan_FlushRead	970	430918.836990
Intel900P_ReproScan_FlushRead	980	432202.372691
Intel900P_ReproScan_FlushRead	990	433733.075732
Intel900P_ReproScan_FlushRead	1000	435579.039124
Intel900P_ReproScan_FlushRead	1010	438242.275720
Intel900P_ReproScan_FlushRead	1020	443029.535498
Intel900P_ReproScan_FlushRead	1030	449561.740082
Intel900P_ReproScan_FlushRead	1040	456683.466900
Intel900P_ReproScan_FlushRead	1050	465769.950536
Intel900P_ReproScan_FlushRead	1060	477948.236811
Intel900P_ReproScan_FlushRead	1070	494659.239243
Intel900P_ReproScan_FlushRead	1080	514264.869468
Intel900P_ReproScan_FlushRead	1090	535974.701823
Intel900P_ReproScan_FlushRead	1100	563767.086300
Intel900P_ReproScan_FlushRead	1110	598064.660506
Intel900P_ReproScan_FlushRead	1120	640023.199459
Intel900P_ReproScan_FlushRead	1130	690971.718471
Intel900P_ReproScan_FlushRead	1140	750480.647952
Intel900P_ReproScan_FlushRead	1150	811869.419343
Intel900P_ReproScan_FlushRead	1160	864990.568627
Intel900P_ReproScan_FlushRead	1170	908847.248274
Intel900P_ReproScan_FlushRead	1180	949553.535156
Intel900P_ReproScan_FlushRead	1190	990166.912384
Intel900P_ReproScan_FlushRead	1200	1023569.115111
Intel900P_ReproScan_FlushRead	1210	1048660.610453
Intel900P_ReproScan_FlushRead	1220	1065283.499750
Intel900P_ReproScan_FlushRead	1230	1078150.002110
Intel900P_ReproScan_FlushRead	1240	1089301.885402
Intel900P_ReproScan_FlushRead	1250	1098780.481679
Intel900P_ReproScan_FlushRead	1260	1106517.544615
Intel900P_ReproScan_FlushRead	1270	1112441.642836
Intel900P_ReproScan_FlushRead	1280	1116486.199229
Intel900P_ReproScan_FlushRead	1290	1118730.539972
Intel900P_ReproScan_FlushRead	1300	1119748.516381
Intel900P_ReproScan_FlushRead	1310	1120221.855602
Intel900P_ReproScan_FlushRead	1320	1120535.197622
Intel900P_ReproScan_FlushRead	1330	1120646.372526
Intel900P_ReproScan_FlushRead	1340	1120744.876683
Intel900P_ReproScan_FlushRead	1350	1120798.972487
Intel900P_ReproScan_FlushRead	1360	1120889.915367
Intel900P_ReproScan_FlushRead	1370	1121045.694680
Intel900P_ReproScan_FlushRead	1380	1121243.880316
Intel900P_ReproScan_FlushRead	1390	1121527.092895
Intel900P_ReproScan_FlushRead	1400	1122191.138955
Intel900P_ReproScan_FlushRead	1410	1123175.234276
Intel900P_ReproScan_FlushRead	1420	1124388.618635
Intel900P_ReproScan_FlushRead	1430	1126302.343054
Intel900P_ReproScan_FlushRead	1440	1128772.173320
Intel900P_ReproScan_FlushRead	1450	1132061.090939
Intel900P_ReproScan_FlushRead	1460	1136619.022663
Intel900P_ReproScan_FlushRead	1470	1141804.091677
Intel900P_ReproScan_FlushRead	1480	1147867.016612
Intel900P_ReproScan_FlushRead	1490	1155440.030381
Intel900P_ReproScan_FlushRead	1500	1164922.176592
