Device	Inserts (in millions)	Cost (in hours)
Intel900P_ReproScan_FlushScan	20	11.719839
Intel900P_ReproScan_FlushScan	30	1068.424757
Intel900P_ReproScan_FlushScan	40	1068.424757
Intel900P_ReproScan_FlushScan	50	1083.230435
Intel900P_ReproScan_FlushScan	60	7286.008973
Intel900P_ReproScan_FlushScan	70	7351.883005
Intel900P_ReproScan_FlushScan	80	7351.883005
Intel900P_ReproScan_FlushScan	90	7351.883005
Intel900P_ReproScan_FlushScan	100	7669.233363
Intel900P_ReproScan_FlushScan	110	11791.024240
Intel900P_ReproScan_FlushScan	120	16760.974375
Intel900P_ReproScan_FlushScan	130	16825.200690
Intel900P_ReproScan_FlushScan	140	16825.200690
Intel900P_ReproScan_FlushScan	150	16825.200690
Intel900P_ReproScan_FlushScan	160	16827.886810
Intel900P_ReproScan_FlushScan	170	17573.299565
Intel900P_ReproScan_FlushScan	180	20113.755984
Intel900P_ReproScan_FlushScan	190	25031.927228
Intel900P_ReproScan_FlushScan	200	30429.257184
Intel900P_ReproScan_FlushScan	210	30848.647528
Intel900P_ReproScan_FlushScan	220	30848.647528
Intel900P_ReproScan_FlushScan	230	30848.647528
Intel900P_ReproScan_FlushScan	240	30848.647528
Intel900P_ReproScan_FlushScan	250	30850.579267
Intel900P_ReproScan_FlushScan	260	30959.934840
Intel900P_ReproScan_FlushScan	270	32402.315479
Intel900P_ReproScan_FlushScan	280	39560.462939
Intel900P_ReproScan_FlushScan	290	52285.319888
Intel900P_ReproScan_FlushScan	300	68814.197889
Intel900P_ReproScan_FlushScan	310	87559.426489
Intel900P_ReproScan_FlushScan	320	108220.236860
Intel900P_ReproScan_FlushScan	330	113552.994117
Intel900P_ReproScan_FlushScan	340	113937.625342
Intel900P_ReproScan_FlushScan	350	113938.890595
Intel900P_ReproScan_FlushScan	360	113938.890595
Intel900P_ReproScan_FlushScan	370	113938.890595
Intel900P_ReproScan_FlushScan	380	113938.890595
Intel900P_ReproScan_FlushScan	390	113945.963041
Intel900P_ReproScan_FlushScan	400	113983.521545
Intel900P_ReproScan_FlushScan	410	114176.905822
Intel900P_ReproScan_FlushScan	420	114763.074450
Intel900P_ReproScan_FlushScan	430	115804.393719
Intel900P_ReproScan_FlushScan	440	117236.959269
Intel900P_ReproScan_FlushScan	450	121141.902054
Intel900P_ReproScan_FlushScan	460	130413.401111
Intel900P_ReproScan_FlushScan	470	147722.976546
Intel900P_ReproScan_FlushScan	480	165139.112825
Intel900P_ReproScan_FlushScan	490	185577.690973
Intel900P_ReproScan_FlushScan	500	209415.944255
Intel900P_ReproScan_FlushScan	510	225398.346790
Intel900P_ReproScan_FlushScan	520	234282.314714
Intel900P_ReproScan_FlushScan	530	239102.711757
Intel900P_ReproScan_FlushScan	540	240430.152421
Intel900P_ReproScan_FlushScan	550	240666.474115
Intel900P_ReproScan_FlushScan	560	240691.842054
Intel900P_ReproScan_FlushScan	570	240691.842054
Intel900P_ReproScan_FlushScan	580	240691.842054
Intel900P_ReproScan_FlushScan	590	240691.842054
Intel900P_ReproScan_FlushScan	600	240693.940289
Intel900P_ReproScan_FlushScan	610	240712.993679
Intel900P_ReproScan_FlushScan	620	240777.658178
Intel900P_ReproScan_FlushScan	630	240967.878515
Intel900P_ReproScan_FlushScan	640	241324.803241
Intel900P_ReproScan_FlushScan	650	242103.586699
Intel900P_ReproScan_FlushScan	660	243248.968334
Intel900P_ReproScan_FlushScan	670	245088.907741
Intel900P_ReproScan_FlushScan	680	248339.008922
Intel900P_ReproScan_FlushScan	690	254125.904073
Intel900P_ReproScan_FlushScan	700	264606.783807
Intel900P_ReproScan_FlushScan	710	275920.193679
Intel900P_ReproScan_FlushScan	720	286520.609811
Intel900P_ReproScan_FlushScan	730	300538.933919
Intel900P_ReproScan_FlushScan	740	317839.546956
Intel900P_ReproScan_FlushScan	750	338085.874370
Intel900P_ReproScan_FlushScan	760	360749.915285
Intel900P_ReproScan_FlushScan	770	385593.795301
Intel900P_ReproScan_FlushScan	780	403516.353128
Intel900P_ReproScan_FlushScan	790	413223.024122
Intel900P_ReproScan_FlushScan	800	418383.727043
Intel900P_ReproScan_FlushScan	810	421660.371695
Intel900P_ReproScan_FlushScan	820	424576.060433
Intel900P_ReproScan_FlushScan	830	426681.307025
Intel900P_ReproScan_FlushScan	840	428229.126402
Intel900P_ReproScan_FlushScan	850	428821.818252
Intel900P_ReproScan_FlushScan	860	429006.064965
Intel900P_ReproScan_FlushScan	870	429082.925438
Intel900P_ReproScan_FlushScan	880	429097.898759
Intel900P_ReproScan_FlushScan	890	429097.898759
Intel900P_ReproScan_FlushScan	900	429110.136444
Intel900P_ReproScan_FlushScan	910	429116.314991
Intel900P_ReproScan_FlushScan	920	429160.078509
Intel900P_ReproScan_FlushScan	930	429245.385480
Intel900P_ReproScan_FlushScan	940	429392.050229
Intel900P_ReproScan_FlushScan	950	429675.297704
Intel900P_ReproScan_FlushScan	960	430078.513380
Intel900P_ReproScan_FlushScan	970	430840.633026
Intel900P_ReproScan_FlushScan	980	431984.941170
Intel900P_ReproScan_FlushScan	990	433655.951832
Intel900P_ReproScan_FlushScan	1000	435512.204183
Intel900P_ReproScan_FlushScan	1010	438431.031919
Intel900P_ReproScan_FlushScan	1020	442921.782405
Intel900P_ReproScan_FlushScan	1030	449457.595698
Intel900P_ReproScan_FlushScan	1040	456755.177095
Intel900P_ReproScan_FlushScan	1050	465467.776219
Intel900P_ReproScan_FlushScan	1060	477964.612265
Intel900P_ReproScan_FlushScan	1070	494992.441289
Intel900P_ReproScan_FlushScan	1080	514669.133278
Intel900P_ReproScan_FlushScan	1090	536921.599174
Intel900P_ReproScan_FlushScan	1100	564857.863979
Intel900P_ReproScan_FlushScan	1110	599023.769353
Intel900P_ReproScan_FlushScan	1120	640752.991185
Intel900P_ReproScan_FlushScan	1130	691028.082007
Intel900P_ReproScan_FlushScan	1140	750032.964760
Intel900P_ReproScan_FlushScan	1150	810020.555990
Intel900P_ReproScan_FlushScan	1160	863498.272641
Intel900P_ReproScan_FlushScan	1170	907404.840430
Intel900P_ReproScan_FlushScan	1180	948328.906855
Intel900P_ReproScan_FlushScan	1190	987765.808138
Intel900P_ReproScan_FlushScan	1200	1021136.097370
Intel900P_ReproScan_FlushScan	1210	1046118.723542
Intel900P_ReproScan_FlushScan	1220	1064013.311540
Intel900P_ReproScan_FlushScan	1230	1077554.051644
Intel900P_ReproScan_FlushScan	1240	1088905.820060
Intel900P_ReproScan_FlushScan	1250	1098577.412196
Intel900P_ReproScan_FlushScan	1260	1106339.601358
Intel900P_ReproScan_FlushScan	1270	1112604.706417
Intel900P_ReproScan_FlushScan	1280	1116512.449344
Intel900P_ReproScan_FlushScan	1290	1118679.689038
Intel900P_ReproScan_FlushScan	1300	1119762.625682
Intel900P_ReproScan_FlushScan	1310	1120292.740004
Intel900P_ReproScan_FlushScan	1320	1120592.910096
Intel900P_ReproScan_FlushScan	1330	1120744.167804
Intel900P_ReproScan_FlushScan	1340	1120829.285395
Intel900P_ReproScan_FlushScan	1350	1120878.925230
Intel900P_ReproScan_FlushScan	1360	1120951.691240
Intel900P_ReproScan_FlushScan	1370	1121079.854969
Intel900P_ReproScan_FlushScan	1380	1121278.160086
Intel900P_ReproScan_FlushScan	1390	1121566.018936
Intel900P_ReproScan_FlushScan	1400	1122080.309339
Intel900P_ReproScan_FlushScan	1410	1122880.632085
Intel900P_ReproScan_FlushScan	1420	1124079.810813
Intel900P_ReproScan_FlushScan	1430	1125893.134712
Intel900P_ReproScan_FlushScan	1440	1128334.120374
Intel900P_ReproScan_FlushScan	1450	1131594.071423
Intel900P_ReproScan_FlushScan	1460	1135922.590402
Intel900P_ReproScan_FlushScan	1470	1140843.965602
Intel900P_ReproScan_FlushScan	1480	1147021.168959
Intel900P_ReproScan_FlushScan	1490	1154514.849553
Intel900P_ReproScan_FlushScan	1500	1163966.955374
