Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	20	0.000396
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	30	0.004809
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	40	0.008810
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	50	0.010802
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	60	0.014610
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	70	0.018124
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	80	0.019649
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	90	0.026161
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	100	0.027237
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	110	0.030202
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	120	0.036519
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	130	0.038152
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	140	0.040168
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	150	0.050353
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	160	0.052734
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	170	0.052754
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	180	0.053785
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	190	0.061460
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	200	0.069861
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	210	0.071877
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	220	0.072160
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	230	0.073774
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	240	0.081054
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	250	0.087940
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	260	0.091262
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	270	0.092671
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	280	0.093098
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	290	0.094655
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	300	0.100499
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	310	0.109807
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	320	0.119079
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	330	0.124920
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	340	0.128289
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	350	0.130496
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	360	0.131543
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	370	0.132484
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	380	0.134998
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	390	0.139929
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	400	0.152494
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	410	0.167086
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	420	0.180384
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	430	0.188722
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	440	0.195368
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	450	0.198672
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	460	0.200127
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	470	0.202856
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	480	0.208367
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	490	0.217383
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	500	0.228196
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	510	0.251401
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	520	0.267215
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	530	0.273498
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	540	0.275479
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	550	0.276191
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	560	0.276437
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	570	0.277252
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	580	0.279794
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	590	0.286335
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	600	0.300856
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	610	0.323688
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	620	0.354069
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	630	0.381636
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	640	0.398916
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	650	0.411224
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	660	0.419070
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	670	0.424090
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	680	0.427009
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	690	0.427600
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	700	0.428316
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	710	0.429287
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	720	0.431209
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	730	0.434445
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	740	0.440483
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	750	0.449798
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	760	0.462148
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	770	0.509512
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	780	0.556628
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	790	0.585009
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	800	0.600438
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	810	0.608845
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	820	0.613942
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	830	0.616806
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	840	0.618589
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	850	0.619854
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	860	0.620995
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	870	0.621675
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	880	0.621996
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	890	0.623570
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	900	0.626715
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	910	0.633697
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	920	0.645915
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	930	0.668173
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	940	0.696804
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	950	0.728567
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	960	0.761069
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	970	0.790187
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	980	0.814895
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	990	0.830773
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1000	0.841949
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1010	0.849392
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1020	0.853552
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1030	0.857287
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1040	0.859635
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1050	0.861626
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1060	0.862887
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1070	0.864059
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1080	0.864876
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1090	0.865618
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1100	0.866842
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1110	0.868662
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1120	0.871712
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1130	0.876511
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1140	0.883686
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1150	0.893308
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1160	1.000864
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1170	1.068294
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1180	1.116951
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1190	1.153139
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1200	1.174554
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1210	1.187584
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1220	1.194501
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1230	1.198032
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1240	1.200103
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1250	1.201007
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1260	1.201949
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1270	1.202582
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1280	1.203027
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1290	1.203572
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1300	1.204128
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1310	1.204732
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1320	1.205357
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1330	1.206236
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1340	1.207601
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1350	1.209982
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1360	1.213424
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1370	1.220212
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1380	1.229037
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1390	1.242968
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1400	1.260390
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1410	1.284476
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1420	1.316852
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1430	1.361179
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1440	1.400054
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1450	1.438027
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1460	1.477034
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1470	1.513273
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1480	1.543031
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1490	1.564931
IntelMEM_ECP_ClusterAbs_LeadAbs_Read	1500	1.658312
