Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	20	0.000416
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	30	0.004809
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	40	0.008665
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	50	0.010814
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	60	0.014505
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	70	0.018145
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	80	0.019644
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	90	0.026062
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	100	0.027303
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	110	0.030140
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	120	0.036358
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	130	0.038228
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	140	0.040142
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	150	0.049705
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	160	0.053185
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	170	0.053255
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	180	0.054222
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	190	0.060736
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	200	0.069297
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	210	0.071387
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	220	0.071677
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	230	0.073217
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	240	0.079807
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	250	0.087711
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	260	0.091308
IntelMEM_ECP_ClusterAbs_LeadAbs_Scan	270	0.092327
