Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	20	0.000374
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	30	0.004809
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	40	0.008737
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	50	0.010797
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	60	0.014587
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	70	0.018141
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	80	0.019675
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	90	0.026099
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	100	0.027259
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	110	0.030024
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	120	0.036415
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	130	0.038116
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	140	0.040227
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	150	0.050039
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	160	0.053079
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	170	0.053092
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	180	0.053916
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	190	0.060833
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	200	0.068220
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	210	0.069157
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	220	0.069298
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	230	0.070865
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	240	0.079618
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	250	0.089144
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	260	0.090574
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	270	0.090610
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	280	0.090708
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	290	0.091901
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	300	0.097777
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	310	0.107531
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	320	0.113195
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	330	0.114296
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	340	0.114478
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	350	0.114841
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	360	0.116217
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	370	0.121270
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	380	0.133203
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	390	0.144593
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	400	0.154316
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	410	0.154724
IntelMEM_ECP_ClusterAbs_LeadAvg_Read	420	0.154757
