Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	20	0.000468
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	30	0.004806
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	40	0.008834
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	50	0.010807
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	60	0.014702
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	70	0.018131
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	80	0.019760
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	90	0.026149
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	100	0.027229
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	110	0.030285
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	120	0.036414
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	130	0.038147
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	140	0.040306
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	150	0.050136
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	160	0.052970
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	170	0.053005
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	180	0.054001
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	190	0.061008
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	200	0.068021
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	210	0.069030
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	220	0.069309
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	230	0.071218
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	240	0.080180
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	250	0.089138
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	260	0.090436
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	270	0.090450
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	280	0.090603
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	290	0.092101
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	300	0.098084
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	310	0.107497
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	320	0.112881
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	330	0.114119
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	340	0.114347
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	350	0.114860
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	360	0.116416
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	370	0.121984
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	380	0.134084
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	390	0.146359
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	400	0.153435
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	410	0.153732
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	420	0.153748
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	430	0.153981
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	440	0.154819
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	450	0.159227
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	460	0.171399
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	470	0.195352
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	480	0.225613
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	490	0.247368
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	500	0.254899
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	510	0.256241
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	520	0.256708
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	530	0.257088
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	540	0.257602
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	550	0.258904
IntelMEM_ECP_ClusterAbs_LeadAvg_Scan	560	0.261955
