Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	30	0.006040
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	40	0.006040
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	50	0.006045
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	60	0.014166
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	70	0.014166
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	80	0.014166
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	90	0.024806
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	100	0.024964
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	110	0.024964
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	120	0.024964
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	130	0.028170
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	140	0.033944
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	150	0.037731
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	160	0.041343
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	170	0.043488
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	180	0.044350
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	190	0.045536
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	200	0.049679
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	210	0.053038
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	220	0.056211
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	230	0.060653
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	240	0.064711
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	250	0.066468
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	260	0.067173
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	270	0.068657
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	280	0.073514
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	290	0.076225
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	300	0.079332
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	310	0.082004
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	320	0.085564
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	330	0.090677
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	340	0.093002
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	350	0.096265
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	360	0.097443
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	370	0.098353
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	380	0.099865
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	390	0.100024
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	400	0.100046
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	410	0.100107
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	420	0.103556
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	430	0.118074
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	440	0.143219
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	450	0.156759
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	460	0.159780
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	470	0.160819
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	480	0.161596
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	490	0.161631
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	500	0.161678
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	510	0.161939
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	520	0.162854
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	530	0.164000
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	540	0.164580
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	550	0.164736
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	560	0.164799
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	570	0.166413
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	580	0.167687
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	590	0.173805
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	600	0.195646
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	610	0.261565
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	620	0.278485
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	630	0.285602
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	640	0.290204
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	650	0.292534
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	660	0.293625
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	670	0.294802
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	680	0.295950
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	690	0.296403
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	700	0.296529
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	710	0.296543
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	720	0.296557
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	730	0.296557
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	740	0.296557
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	750	0.296604
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	760	0.296759
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	770	0.297209
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	780	0.297943
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	790	0.299168
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	800	0.301972
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	810	0.303115
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	820	0.317855
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	830	0.412337
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	840	0.460721
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	850	0.483354
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	860	0.494121
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	870	0.501337
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	880	0.505811
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	890	0.508514
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	900	0.510185
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	910	0.511188
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	920	0.512151
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	930	0.512858
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	940	0.513647
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	950	0.514251
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	960	0.514639
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	970	0.514806
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	980	0.514873
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	990	0.514910
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	1000	0.514997
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	1010	0.515330
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	1020	0.515613
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	1030	0.517067
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	1040	0.517454
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	1050	0.517777
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	1060	0.518240
IntelMEM_ECP_ClusterAvg_LeadAbs_Read	1070	0.519138
