Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	30	0.006036
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	40	0.006036
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	50	0.006036
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	60	0.014160
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	70	0.014160
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	80	0.014160
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	90	0.024848
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	100	0.024950
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	110	0.024950
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	120	0.024950
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	130	0.028092
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	140	0.034919
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	150	0.037839
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	160	0.041104
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	170	0.042775
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	180	0.043173
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	190	0.045426
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	200	0.051619
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	210	0.054233
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	220	0.057297
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	230	0.060906
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	240	0.063440
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	250	0.064490
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	260	0.065172
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	270	0.068086
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	280	0.075483
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	290	0.077439
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	300	0.079152
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	310	0.082946
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	320	0.087012
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	330	0.089970
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	340	0.092408
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	350	0.093275
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	360	0.094096
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	370	0.095309
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	380	0.096964
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	390	0.096973
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	400	0.097139
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	410	0.101279
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	420	0.115790
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	430	0.127834
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	440	0.146608
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	450	0.150074
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	460	0.152516
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	470	0.153509
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	480	0.153938
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	490	0.154554
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	500	0.155065
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	510	0.155097
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	520	0.155097
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	530	0.155097
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	540	0.155458
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	550	0.156067
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	560	0.158664
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	570	0.254056
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	580	0.259331
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	590	0.290941
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	600	0.333690
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	610	0.353760
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	620	0.366037
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	630	0.373335
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	640	0.378694
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	650	0.382734
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	660	0.385106
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	670	0.386465
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	680	0.387061
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	690	0.387209
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	700	0.387209
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	710	0.387224
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	720	0.387224
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	730	0.509086
IntelMEM_ECP_ClusterAvg_LeadAbs_Scan	740	0.509086
