Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	30	0.006037
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	40	0.006037
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	50	0.006037
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	60	0.014160
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	70	0.014160
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	80	0.014160
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	90	0.024786
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	100	0.024955
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	110	0.024955
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	120	0.024955
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	130	0.028565
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	140	0.035795
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	150	0.035925
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	160	0.038802
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	170	0.042407
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	180	0.043655
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	190	0.046895
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	200	0.053820
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	210	0.053843
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	220	0.054473
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	230	0.056231
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	240	0.056944
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	250	0.058600
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	260	0.063686
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	270	0.071369
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	280	0.072961
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	290	0.074457
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	300	0.080986
IntelMEM_ECP_ClusterAvg_LeadAvg_Read	310	0.087180
