Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	30	0.006036
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	40	0.006036
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	50	0.006036
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	60	0.014160
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	70	0.014160
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	80	0.014160
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	90	0.024785
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	100	0.024948
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	110	0.024948
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	120	0.024948
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	130	0.028581
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	140	0.037109
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	150	0.037199
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	160	0.039055
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	170	0.040861
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	180	0.041849
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	190	0.046125
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	200	0.055799
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	210	0.055807
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	220	0.056402
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	230	0.057158
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	240	0.057600
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	250	0.058783
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	260	0.061638
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	270	0.069129
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	280	0.070326
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	290	0.072285
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	300	0.080656
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	310	0.088721
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	320	0.091027
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	330	0.091223
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	340	0.091537
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	350	0.092718
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	360	0.095019
IntelMEM_ECP_ClusterAvg_LeadAvg_Scan	370	0.097437
