Device	Inserts (in millions)	Cost (in hours)
IntelMEM_II_Read	30	1.214470
IntelMEM_II_Read	40	1.214470
IntelMEM_II_Read	50	1.214470
IntelMEM_II_Read	60	2.949614
IntelMEM_II_Read	70	2.949614
IntelMEM_II_Read	80	2.949614
IntelMEM_II_Read	90	2.949614
IntelMEM_II_Read	100	5.428495
IntelMEM_II_Read	110	5.428495
IntelMEM_II_Read	120	5.428495
IntelMEM_II_Read	130	5.428495
IntelMEM_II_Read	140	5.428495
IntelMEM_II_Read	150	5.428495
IntelMEM_II_Read	160	8.969866
IntelMEM_II_Read	170	8.969866
IntelMEM_II_Read	180	8.969866
IntelMEM_II_Read	190	8.969866
IntelMEM_II_Read	200	8.969866
IntelMEM_II_Read	210	8.969866
IntelMEM_II_Read	220	8.969866
IntelMEM_II_Read	230	8.969866
IntelMEM_II_Read	240	8.969866
IntelMEM_II_Read	250	14.029163
IntelMEM_II_Read	260	14.029163
IntelMEM_II_Read	270	14.029163
IntelMEM_II_Read	280	14.029163
IntelMEM_II_Read	290	14.029163
IntelMEM_II_Read	300	14.029163
IntelMEM_II_Read	310	14.029163
IntelMEM_II_Read	320	14.029163
IntelMEM_II_Read	330	14.029163
IntelMEM_II_Read	340	14.029163
IntelMEM_II_Read	350	14.029163
IntelMEM_II_Read	360	14.029163
IntelMEM_II_Read	370	14.029163
IntelMEM_II_Read	380	21.256876
IntelMEM_II_Read	390	21.256876
IntelMEM_II_Read	400	21.256876
IntelMEM_II_Read	410	21.256876
IntelMEM_II_Read	420	21.256876
IntelMEM_II_Read	430	21.256876
IntelMEM_II_Read	440	21.256876
IntelMEM_II_Read	450	21.256876
IntelMEM_II_Read	460	21.256876
IntelMEM_II_Read	470	21.256876
IntelMEM_II_Read	480	21.256876
IntelMEM_II_Read	490	21.256876
IntelMEM_II_Read	500	21.256876
IntelMEM_II_Read	510	21.256876
IntelMEM_II_Read	520	21.256876
IntelMEM_II_Read	530	21.256876
IntelMEM_II_Read	540	21.256876
IntelMEM_II_Read	550	21.256876
IntelMEM_II_Read	560	31.582229
IntelMEM_II_Read	570	31.582229
IntelMEM_II_Read	580	31.582229
