Device	Inserts (in millions)	Cost (in hours)
IntelMEM_II_Scan	30	1.214470
IntelMEM_II_Scan	40	1.214470
IntelMEM_II_Scan	50	1.214470
IntelMEM_II_Scan	60	2.949614
IntelMEM_II_Scan	70	2.949614
IntelMEM_II_Scan	80	2.949614
IntelMEM_II_Scan	90	2.949614
IntelMEM_II_Scan	100	5.428495
IntelMEM_II_Scan	110	5.428495
IntelMEM_II_Scan	120	5.428495
IntelMEM_II_Scan	130	5.428495
IntelMEM_II_Scan	140	5.428495
IntelMEM_II_Scan	150	5.428495
IntelMEM_II_Scan	160	8.969866
IntelMEM_II_Scan	170	8.969866
IntelMEM_II_Scan	180	8.969866
IntelMEM_II_Scan	190	8.969866
IntelMEM_II_Scan	200	8.969866
IntelMEM_II_Scan	210	8.969866
IntelMEM_II_Scan	220	8.969866
IntelMEM_II_Scan	230	8.969866
IntelMEM_II_Scan	240	8.969866
IntelMEM_II_Scan	250	14.029163
IntelMEM_II_Scan	260	14.029163
IntelMEM_II_Scan	270	14.029163
IntelMEM_II_Scan	280	14.029163
IntelMEM_II_Scan	290	14.029163
IntelMEM_II_Scan	300	14.029163
IntelMEM_II_Scan	310	14.029163
IntelMEM_II_Scan	320	14.029163
IntelMEM_II_Scan	330	14.029163
IntelMEM_II_Scan	340	14.029163
IntelMEM_II_Scan	350	14.029163
IntelMEM_II_Scan	360	14.029163
IntelMEM_II_Scan	370	14.029163
IntelMEM_II_Scan	380	21.256876
IntelMEM_II_Scan	390	21.256876
IntelMEM_II_Scan	400	21.256876
IntelMEM_II_Scan	410	21.256876
IntelMEM_II_Scan	420	21.256876
IntelMEM_II_Scan	430	21.256876
IntelMEM_II_Scan	440	21.256876
IntelMEM_II_Scan	450	21.256876
IntelMEM_II_Scan	460	21.256876
IntelMEM_II_Scan	470	21.256876
IntelMEM_II_Scan	480	21.256876
IntelMEM_II_Scan	490	21.256876
IntelMEM_II_Scan	500	21.256876
IntelMEM_II_Scan	510	21.256876
IntelMEM_II_Scan	520	21.256876
IntelMEM_II_Scan	530	21.256876
IntelMEM_II_Scan	540	21.256876
IntelMEM_II_Scan	550	21.256876
IntelMEM_II_Scan	560	31.582229
IntelMEM_II_Scan	570	31.582229
IntelMEM_II_Scan	580	31.582229
IntelMEM_II_Scan	590	31.582229
IntelMEM_II_Scan	600	31.582229
IntelMEM_II_Scan	610	31.582229
IntelMEM_II_Scan	620	31.582229
IntelMEM_II_Scan	630	31.582229
IntelMEM_II_Scan	640	31.582229
IntelMEM_II_Scan	650	31.582229
IntelMEM_II_Scan	660	31.582229
IntelMEM_II_Scan	670	31.582229
IntelMEM_II_Scan	680	31.582229
IntelMEM_II_Scan	690	31.582229
IntelMEM_II_Scan	700	31.582229
IntelMEM_II_Scan	710	31.582229
IntelMEM_II_Scan	720	31.582229
IntelMEM_II_Scan	730	31.582229
IntelMEM_II_Scan	740	31.582229
IntelMEM_II_Scan	750	31.582229
IntelMEM_II_Scan	760	31.582229
IntelMEM_II_Scan	770	31.582229
IntelMEM_II_Scan	780	31.582229
IntelMEM_II_Scan	790	31.582229
IntelMEM_II_Scan	800	31.582229
IntelMEM_II_Scan	810	31.582229
IntelMEM_II_Scan	820	46.342727
IntelMEM_II_Scan	830	46.342727
IntelMEM_II_Scan	840	46.342727
IntelMEM_II_Scan	850	46.342727
IntelMEM_II_Scan	860	46.342727
IntelMEM_II_Scan	870	46.342727
IntelMEM_II_Scan	880	46.342727
IntelMEM_II_Scan	890	46.342727
IntelMEM_II_Scan	900	46.342727
IntelMEM_II_Scan	910	46.342727
IntelMEM_II_Scan	920	46.342727
IntelMEM_II_Scan	930	46.342727
IntelMEM_II_Scan	940	46.342727
IntelMEM_II_Scan	950	46.342727
IntelMEM_II_Scan	960	46.342727
IntelMEM_II_Scan	970	46.342727
IntelMEM_II_Scan	980	46.342727
IntelMEM_II_Scan	990	46.342727
IntelMEM_II_Scan	1000	46.342727
IntelMEM_II_Scan	1010	46.342727
IntelMEM_II_Scan	1020	46.342727
IntelMEM_II_Scan	1030	46.342727
IntelMEM_II_Scan	1040	46.342727
IntelMEM_II_Scan	1050	46.342727
IntelMEM_II_Scan	1060	46.342727
IntelMEM_II_Scan	1070	46.342727
IntelMEM_II_Scan	1080	46.358622
IntelMEM_II_Scan	1090	46.358622
IntelMEM_II_Scan	1100	46.358622
IntelMEM_II_Scan	1110	46.358622
IntelMEM_II_Scan	1120	46.358622
IntelMEM_II_Scan	1130	46.358622
IntelMEM_II_Scan	1140	46.358622
IntelMEM_II_Scan	1150	46.358622
IntelMEM_II_Scan	1160	46.358622
IntelMEM_II_Scan	1170	46.358622
IntelMEM_II_Scan	1180	46.358622
IntelMEM_II_Scan	1190	67.431016
IntelMEM_II_Scan	1200	67.431016
IntelMEM_II_Scan	1210	67.431016
IntelMEM_II_Scan	1220	67.431016
IntelMEM_II_Scan	1230	67.431016
IntelMEM_II_Scan	1240	67.431016
IntelMEM_II_Scan	1250	67.431016
IntelMEM_II_Scan	1260	67.431016
IntelMEM_II_Scan	1270	67.431016
IntelMEM_II_Scan	1280	67.431016
IntelMEM_II_Scan	1290	67.431016
IntelMEM_II_Scan	1300	67.431016
IntelMEM_II_Scan	1310	67.431016
IntelMEM_II_Scan	1320	67.431016
IntelMEM_II_Scan	1330	67.431016
IntelMEM_II_Scan	1340	67.431016
IntelMEM_II_Scan	1350	67.431016
IntelMEM_II_Scan	1360	67.431016
IntelMEM_II_Scan	1370	67.431016
IntelMEM_II_Scan	1380	67.431016
IntelMEM_II_Scan	1390	67.431016
IntelMEM_II_Scan	1400	67.431016
IntelMEM_II_Scan	1410	67.431016
IntelMEM_II_Scan	1420	67.431016
IntelMEM_II_Scan	1430	67.431016
IntelMEM_II_Scan	1440	67.431016
IntelMEM_II_Scan	1450	67.466242
IntelMEM_II_Scan	1460	67.466242
IntelMEM_II_Scan	1470	67.466242
IntelMEM_II_Scan	1480	67.466242
IntelMEM_II_Scan	1490	67.466242
IntelMEM_II_Scan	1500	67.504220
