Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ReproPfiles_FlushRead	20	0.004800
IntelMEM_ReproPfiles_FlushRead	30	0.420329
IntelMEM_ReproPfiles_FlushRead	40	0.420329
IntelMEM_ReproPfiles_FlushRead	50	0.440772
IntelMEM_ReproPfiles_FlushRead	60	4.027695
IntelMEM_ReproPfiles_FlushRead	70	4.035636
IntelMEM_ReproPfiles_FlushRead	80	4.035636
IntelMEM_ReproPfiles_FlushRead	90	4.035636
IntelMEM_ReproPfiles_FlushRead	100	4.068997
IntelMEM_ReproPfiles_FlushRead	110	4.462273
IntelMEM_ReproPfiles_FlushRead	120	4.961840
IntelMEM_ReproPfiles_FlushRead	130	4.969585
IntelMEM_ReproPfiles_FlushRead	140	4.969585
IntelMEM_ReproPfiles_FlushRead	150	4.969585
IntelMEM_ReproPfiles_FlushRead	160	4.970568
IntelMEM_ReproPfiles_FlushRead	170	5.046692
IntelMEM_ReproPfiles_FlushRead	180	5.297628
IntelMEM_ReproPfiles_FlushRead	190	5.763370
IntelMEM_ReproPfiles_FlushRead	200	6.306971
IntelMEM_ReproPfiles_FlushRead	210	6.351416
IntelMEM_ReproPfiles_FlushRead	220	6.351497
IntelMEM_ReproPfiles_FlushRead	230	6.351497
IntelMEM_ReproPfiles_FlushRead	240	6.351497
IntelMEM_ReproPfiles_FlushRead	250	6.352627
IntelMEM_ReproPfiles_FlushRead	260	6.398391
IntelMEM_ReproPfiles_FlushRead	270	6.803146
IntelMEM_ReproPfiles_FlushRead	280	8.453002
IntelMEM_ReproPfiles_FlushRead	290	10.318360
IntelMEM_ReproPfiles_FlushRead	300	12.827144
IntelMEM_ReproPfiles_FlushRead	310	15.862918
IntelMEM_ReproPfiles_FlushRead	320	18.032905
IntelMEM_ReproPfiles_FlushRead	330	18.298127
IntelMEM_ReproPfiles_FlushRead	340	18.309920
IntelMEM_ReproPfiles_FlushRead	350	18.310038
IntelMEM_ReproPfiles_FlushRead	360	18.310038
IntelMEM_ReproPfiles_FlushRead	370	18.310038
IntelMEM_ReproPfiles_FlushRead	380	18.310765
IntelMEM_ReproPfiles_FlushRead	390	18.310868
IntelMEM_ReproPfiles_FlushRead	400	18.311807
IntelMEM_ReproPfiles_FlushRead	410	18.317174
IntelMEM_ReproPfiles_FlushRead	420	18.332817
IntelMEM_ReproPfiles_FlushRead	430	18.357458
IntelMEM_ReproPfiles_FlushRead	440	18.393333
IntelMEM_ReproPfiles_FlushRead	450	18.487917
IntelMEM_ReproPfiles_FlushRead	460	18.719833
