Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ReproPfiles_FlushScan	20	0.005188
IntelMEM_ReproPfiles_FlushScan	30	0.402134
IntelMEM_ReproPfiles_FlushScan	40	0.402134
IntelMEM_ReproPfiles_FlushScan	50	0.430456
IntelMEM_ReproPfiles_FlushScan	60	3.980995
IntelMEM_ReproPfiles_FlushScan	70	3.990198
IntelMEM_ReproPfiles_FlushScan	80	3.990198
IntelMEM_ReproPfiles_FlushScan	90	3.990198
IntelMEM_ReproPfiles_FlushScan	100	4.021609
IntelMEM_ReproPfiles_FlushScan	110	4.398296
IntelMEM_ReproPfiles_FlushScan	120	4.895491
IntelMEM_ReproPfiles_FlushScan	130	4.904345
IntelMEM_ReproPfiles_FlushScan	140	4.904345
IntelMEM_ReproPfiles_FlushScan	150	4.904345
IntelMEM_ReproPfiles_FlushScan	160	4.904971
IntelMEM_ReproPfiles_FlushScan	170	4.977112
IntelMEM_ReproPfiles_FlushScan	180	5.228901
IntelMEM_ReproPfiles_FlushScan	190	5.699612
IntelMEM_ReproPfiles_FlushScan	200	6.244839
IntelMEM_ReproPfiles_FlushScan	210	6.291350
IntelMEM_ReproPfiles_FlushScan	220	6.291432
IntelMEM_ReproPfiles_FlushScan	230	6.291432
IntelMEM_ReproPfiles_FlushScan	240	6.291432
IntelMEM_ReproPfiles_FlushScan	250	6.292981
IntelMEM_ReproPfiles_FlushScan	260	6.328378
IntelMEM_ReproPfiles_FlushScan	270	6.707776
IntelMEM_ReproPfiles_FlushScan	280	8.327066
IntelMEM_ReproPfiles_FlushScan	290	10.265744
IntelMEM_ReproPfiles_FlushScan	300	12.731575
IntelMEM_ReproPfiles_FlushScan	310	15.793303
IntelMEM_ReproPfiles_FlushScan	320	17.986649
IntelMEM_ReproPfiles_FlushScan	330	18.249949
IntelMEM_ReproPfiles_FlushScan	340	18.261395
IntelMEM_ReproPfiles_FlushScan	350	18.261459
IntelMEM_ReproPfiles_FlushScan	360	18.261459
IntelMEM_ReproPfiles_FlushScan	370	18.261459
IntelMEM_ReproPfiles_FlushScan	380	18.261459
IntelMEM_ReproPfiles_FlushScan	390	18.261534
IntelMEM_ReproPfiles_FlushScan	400	18.263832
IntelMEM_ReproPfiles_FlushScan	410	18.269739
IntelMEM_ReproPfiles_FlushScan	420	18.286247
IntelMEM_ReproPfiles_FlushScan	430	18.311035
IntelMEM_ReproPfiles_FlushScan	440	18.346588
IntelMEM_ReproPfiles_FlushScan	450	18.434539
IntelMEM_ReproPfiles_FlushScan	460	18.656468
IntelMEM_ReproPfiles_FlushScan	470	19.090081
IntelMEM_ReproPfiles_FlushScan	480	19.526928
IntelMEM_ReproPfiles_FlushScan	490	20.041161
IntelMEM_ReproPfiles_FlushScan	500	20.648802
IntelMEM_ReproPfiles_FlushScan	510	21.043100
IntelMEM_ReproPfiles_FlushScan	520	21.254415
IntelMEM_ReproPfiles_FlushScan	530	21.364559
IntelMEM_ReproPfiles_FlushScan	540	21.395448
IntelMEM_ReproPfiles_FlushScan	550	21.401432
IntelMEM_ReproPfiles_FlushScan	560	21.402247
IntelMEM_ReproPfiles_FlushScan	570	21.402290
IntelMEM_ReproPfiles_FlushScan	580	21.402290
IntelMEM_ReproPfiles_FlushScan	590	21.402343
IntelMEM_ReproPfiles_FlushScan	600	21.402501
IntelMEM_ReproPfiles_FlushScan	610	21.402704
