Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ReproRead_FlushRead	20	0.001361
IntelMEM_ReproRead_FlushRead	30	0.136709
IntelMEM_ReproRead_FlushRead	40	0.136709
IntelMEM_ReproRead_FlushRead	50	0.137074
IntelMEM_ReproRead_FlushRead	60	0.336822
IntelMEM_ReproRead_FlushRead	70	0.338685
IntelMEM_ReproRead_FlushRead	80	0.338685
IntelMEM_ReproRead_FlushRead	90	0.338685
IntelMEM_ReproRead_FlushRead	100	0.349849
IntelMEM_ReproRead_FlushRead	110	0.478373
IntelMEM_ReproRead_FlushRead	120	0.640415
IntelMEM_ReproRead_FlushRead	130	0.642763
IntelMEM_ReproRead_FlushRead	140	0.642763
IntelMEM_ReproRead_FlushRead	150	0.642763
IntelMEM_ReproRead_FlushRead	160	0.642877
IntelMEM_ReproRead_FlushRead	170	0.667336
IntelMEM_ReproRead_FlushRead	180	0.748902
IntelMEM_ReproRead_FlushRead	190	0.903481
IntelMEM_ReproRead_FlushRead	200	1.079624
IntelMEM_ReproRead_FlushRead	210	1.092321
IntelMEM_ReproRead_FlushRead	220	1.092321
IntelMEM_ReproRead_FlushRead	230	1.092321
IntelMEM_ReproRead_FlushRead	240	1.092321
IntelMEM_ReproRead_FlushRead	250	1.092347
IntelMEM_ReproRead_FlushRead	260	1.093295
IntelMEM_ReproRead_FlushRead	270	1.105609
IntelMEM_ReproRead_FlushRead	280	1.165172
IntelMEM_ReproRead_FlushRead	290	1.266700
IntelMEM_ReproRead_FlushRead	300	1.398559
IntelMEM_ReproRead_FlushRead	310	1.547851
IntelMEM_ReproRead_FlushRead	320	1.717054
IntelMEM_ReproRead_FlushRead	330	1.759489
IntelMEM_ReproRead_FlushRead	340	1.761618
IntelMEM_ReproRead_FlushRead	350	1.761637
IntelMEM_ReproRead_FlushRead	360	1.761637
IntelMEM_ReproRead_FlushRead	370	1.761637
IntelMEM_ReproRead_FlushRead	380	1.761637
IntelMEM_ReproRead_FlushRead	390	1.761674
IntelMEM_ReproRead_FlushRead	400	1.762038
IntelMEM_ReproRead_FlushRead	410	1.763431
IntelMEM_ReproRead_FlushRead	420	1.768448
IntelMEM_ReproRead_FlushRead	430	1.776454
IntelMEM_ReproRead_FlushRead	440	1.788337
IntelMEM_ReproRead_FlushRead	450	1.818539
IntelMEM_ReproRead_FlushRead	460	1.893067
IntelMEM_ReproRead_FlushRead	470	2.032624
IntelMEM_ReproRead_FlushRead	480	2.175189
IntelMEM_ReproRead_FlushRead	490	2.341843
IntelMEM_ReproRead_FlushRead	500	2.537685
IntelMEM_ReproRead_FlushRead	510	2.664882
IntelMEM_ReproRead_FlushRead	520	2.731756
IntelMEM_ReproRead_FlushRead	530	2.768282
IntelMEM_ReproRead_FlushRead	540	2.777255
IntelMEM_ReproRead_FlushRead	550	2.778978
IntelMEM_ReproRead_FlushRead	560	2.779103
IntelMEM_ReproRead_FlushRead	570	2.779103
IntelMEM_ReproRead_FlushRead	580	2.779103
IntelMEM_ReproRead_FlushRead	590	2.779103
IntelMEM_ReproRead_FlushRead	600	2.779137
IntelMEM_ReproRead_FlushRead	610	2.779258
IntelMEM_ReproRead_FlushRead	620	2.779939
IntelMEM_ReproRead_FlushRead	630	2.781446
IntelMEM_ReproRead_FlushRead	640	2.784356
IntelMEM_ReproRead_FlushRead	650	2.790327
IntelMEM_ReproRead_FlushRead	660	2.800080
IntelMEM_ReproRead_FlushRead	670	2.814620
IntelMEM_ReproRead_FlushRead	680	2.840950
IntelMEM_ReproRead_FlushRead	690	2.888350
IntelMEM_ReproRead_FlushRead	700	2.971009
IntelMEM_ReproRead_FlushRead	710	3.063245
IntelMEM_ReproRead_FlushRead	720	3.151051
IntelMEM_ReproRead_FlushRead	730	3.263949
IntelMEM_ReproRead_FlushRead	740	3.402895
IntelMEM_ReproRead_FlushRead	750	3.564060
IntelMEM_ReproRead_FlushRead	760	3.751666
IntelMEM_ReproRead_FlushRead	770	3.951802
IntelMEM_ReproRead_FlushRead	780	4.097232
IntelMEM_ReproRead_FlushRead	790	4.173107
IntelMEM_ReproRead_FlushRead	800	4.209770
IntelMEM_ReproRead_FlushRead	810	4.236372
IntelMEM_ReproRead_FlushRead	820	4.256058
IntelMEM_ReproRead_FlushRead	830	4.272500
IntelMEM_ReproRead_FlushRead	840	4.283194
IntelMEM_ReproRead_FlushRead	850	4.287672
IntelMEM_ReproRead_FlushRead	860	4.289035
IntelMEM_ReproRead_FlushRead	870	4.289398
IntelMEM_ReproRead_FlushRead	880	4.289444
IntelMEM_ReproRead_FlushRead	890	4.289466
IntelMEM_ReproRead_FlushRead	900	4.289520
IntelMEM_ReproRead_FlushRead	910	4.289638
IntelMEM_ReproRead_FlushRead	920	4.289931
IntelMEM_ReproRead_FlushRead	930	4.290619
IntelMEM_ReproRead_FlushRead	940	4.291823
IntelMEM_ReproRead_FlushRead	950	4.294581
IntelMEM_ReproRead_FlushRead	960	4.297679
IntelMEM_ReproRead_FlushRead	970	4.303564
IntelMEM_ReproRead_FlushRead	980	4.312618
IntelMEM_ReproRead_FlushRead	990	4.324600
IntelMEM_ReproRead_FlushRead	1000	4.338872
IntelMEM_ReproRead_FlushRead	1010	4.360833
IntelMEM_ReproRead_FlushRead	1020	4.395425
IntelMEM_ReproRead_FlushRead	1030	4.441997
IntelMEM_ReproRead_FlushRead	1040	4.490639
IntelMEM_ReproRead_FlushRead	1050	4.540842
IntelMEM_ReproRead_FlushRead	1060	4.610550
IntelMEM_ReproRead_FlushRead	1070	4.704687
IntelMEM_ReproRead_FlushRead	1080	4.800048
IntelMEM_ReproRead_FlushRead	1090	4.892724
IntelMEM_ReproRead_FlushRead	1100	4.995009
