Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ReproRead_FlushScan	20	0.001379
IntelMEM_ReproRead_FlushScan	30	0.118435
IntelMEM_ReproRead_FlushScan	40	0.118435
IntelMEM_ReproRead_FlushScan	50	0.118694
IntelMEM_ReproRead_FlushScan	60	0.291125
IntelMEM_ReproRead_FlushScan	70	0.292919
IntelMEM_ReproRead_FlushScan	80	0.292919
IntelMEM_ReproRead_FlushScan	90	0.292919
IntelMEM_ReproRead_FlushScan	100	0.302171
IntelMEM_ReproRead_FlushScan	110	0.413176
IntelMEM_ReproRead_FlushScan	120	0.553867
IntelMEM_ReproRead_FlushScan	130	0.556021
IntelMEM_ReproRead_FlushScan	140	0.556021
IntelMEM_ReproRead_FlushScan	150	0.556021
IntelMEM_ReproRead_FlushScan	160	0.556177
IntelMEM_ReproRead_FlushScan	170	0.576591
IntelMEM_ReproRead_FlushScan	180	0.647449
IntelMEM_ReproRead_FlushScan	190	0.778692
IntelMEM_ReproRead_FlushScan	200	0.932701
IntelMEM_ReproRead_FlushScan	210	0.945429
IntelMEM_ReproRead_FlushScan	220	0.945452
IntelMEM_ReproRead_FlushScan	230	0.945452
IntelMEM_ReproRead_FlushScan	240	0.945452
IntelMEM_ReproRead_FlushScan	250	0.945491
IntelMEM_ReproRead_FlushScan	260	0.946208
IntelMEM_ReproRead_FlushScan	270	0.956194
IntelMEM_ReproRead_FlushScan	280	1.007060
IntelMEM_ReproRead_FlushScan	290	1.100543
IntelMEM_ReproRead_FlushScan	300	1.228211
IntelMEM_ReproRead_FlushScan	310	1.377739
IntelMEM_ReproRead_FlushScan	320	1.550315
IntelMEM_ReproRead_FlushScan	330	1.594442
IntelMEM_ReproRead_FlushScan	340	1.597200
IntelMEM_ReproRead_FlushScan	350	1.597219
IntelMEM_ReproRead_FlushScan	360	1.597219
IntelMEM_ReproRead_FlushScan	370	1.597219
IntelMEM_ReproRead_FlushScan	380	1.597229
IntelMEM_ReproRead_FlushScan	390	1.597274
IntelMEM_ReproRead_FlushScan	400	1.597597
IntelMEM_ReproRead_FlushScan	410	1.598846
IntelMEM_ReproRead_FlushScan	420	1.603884
IntelMEM_ReproRead_FlushScan	430	1.612458
IntelMEM_ReproRead_FlushScan	440	1.625068
IntelMEM_ReproRead_FlushScan	450	1.654469
IntelMEM_ReproRead_FlushScan	460	1.728982
IntelMEM_ReproRead_FlushScan	470	1.869589
IntelMEM_ReproRead_FlushScan	480	2.012516
IntelMEM_ReproRead_FlushScan	490	2.182815
IntelMEM_ReproRead_FlushScan	500	2.380435
IntelMEM_ReproRead_FlushScan	510	2.507648
IntelMEM_ReproRead_FlushScan	520	2.577875
IntelMEM_ReproRead_FlushScan	530	2.614331
IntelMEM_ReproRead_FlushScan	540	2.624298
IntelMEM_ReproRead_FlushScan	550	2.625899
IntelMEM_ReproRead_FlushScan	560	2.626126
IntelMEM_ReproRead_FlushScan	570	2.626140
IntelMEM_ReproRead_FlushScan	580	2.626140
IntelMEM_ReproRead_FlushScan	590	2.626140
IntelMEM_ReproRead_FlushScan	600	2.626174
IntelMEM_ReproRead_FlushScan	610	2.626358
IntelMEM_ReproRead_FlushScan	620	2.626710
IntelMEM_ReproRead_FlushScan	630	2.627965
IntelMEM_ReproRead_FlushScan	640	2.631097
IntelMEM_ReproRead_FlushScan	650	2.637203
IntelMEM_ReproRead_FlushScan	660	2.647186
IntelMEM_ReproRead_FlushScan	670	2.662581
IntelMEM_ReproRead_FlushScan	680	2.688173
IntelMEM_ReproRead_FlushScan	690	2.736288
IntelMEM_ReproRead_FlushScan	700	2.819537
IntelMEM_ReproRead_FlushScan	710	2.912298
IntelMEM_ReproRead_FlushScan	720	3.000183
IntelMEM_ReproRead_FlushScan	730	3.112751
IntelMEM_ReproRead_FlushScan	740	3.255738
IntelMEM_ReproRead_FlushScan	750	3.418094
IntelMEM_ReproRead_FlushScan	760	3.605327
IntelMEM_ReproRead_FlushScan	770	3.806474
IntelMEM_ReproRead_FlushScan	780	3.955471
IntelMEM_ReproRead_FlushScan	790	4.032094
IntelMEM_ReproRead_FlushScan	800	4.071313
IntelMEM_ReproRead_FlushScan	810	4.098552
IntelMEM_ReproRead_FlushScan	820	4.120013
IntelMEM_ReproRead_FlushScan	830	4.136652
IntelMEM_ReproRead_FlushScan	840	4.147009
IntelMEM_ReproRead_FlushScan	850	4.151492
IntelMEM_ReproRead_FlushScan	860	4.152654
IntelMEM_ReproRead_FlushScan	870	4.153236
IntelMEM_ReproRead_FlushScan	880	4.153344
IntelMEM_ReproRead_FlushScan	890	4.153414
IntelMEM_ReproRead_FlushScan	900	4.153414
IntelMEM_ReproRead_FlushScan	910	4.153440
IntelMEM_ReproRead_FlushScan	920	4.153664
IntelMEM_ReproRead_FlushScan	930	4.154156
IntelMEM_ReproRead_FlushScan	940	4.155643
IntelMEM_ReproRead_FlushScan	950	4.157879
IntelMEM_ReproRead_FlushScan	960	4.161255
IntelMEM_ReproRead_FlushScan	970	4.167129
IntelMEM_ReproRead_FlushScan	980	4.177022
IntelMEM_ReproRead_FlushScan	990	4.189648
IntelMEM_ReproRead_FlushScan	1000	4.204103
IntelMEM_ReproRead_FlushScan	1010	4.225565
IntelMEM_ReproRead_FlushScan	1020	4.259462
IntelMEM_ReproRead_FlushScan	1030	4.304900
IntelMEM_ReproRead_FlushScan	1040	4.354760
IntelMEM_ReproRead_FlushScan	1050	4.405987
IntelMEM_ReproRead_FlushScan	1060	4.478128
