Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ReproScan_FlushRead	20	19.627813
IntelMEM_ReproScan_FlushRead	30	1824.401874
IntelMEM_ReproScan_FlushRead	40	1824.401874
IntelMEM_ReproScan_FlushRead	50	1837.011029
IntelMEM_ReproScan_FlushRead	60	12431.754690
IntelMEM_ReproScan_FlushRead	70	12554.063538
IntelMEM_ReproScan_FlushRead	80	12554.063538
IntelMEM_ReproScan_FlushRead	90	12554.063538
IntelMEM_ReproScan_FlushRead	100	13104.992441
IntelMEM_ReproScan_FlushRead	110	20116.833872
IntelMEM_ReproScan_FlushRead	120	28603.949512
IntelMEM_ReproScan_FlushRead	130	28729.608197
IntelMEM_ReproScan_FlushRead	140	28729.608197
IntelMEM_ReproScan_FlushRead	150	28729.608197
IntelMEM_ReproScan_FlushRead	160	28742.300215
IntelMEM_ReproScan_FlushRead	170	30012.724795
IntelMEM_ReproScan_FlushRead	180	34319.841140
IntelMEM_ReproScan_FlushRead	190	42666.859508
IntelMEM_ReproScan_FlushRead	200	51944.398007
IntelMEM_ReproScan_FlushRead	210	52671.669934
IntelMEM_ReproScan_FlushRead	220	52671.669934
IntelMEM_ReproScan_FlushRead	230	52671.669934
IntelMEM_ReproScan_FlushRead	240	52671.669934
IntelMEM_ReproScan_FlushRead	250	52678.238192
IntelMEM_ReproScan_FlushRead	260	52858.204272
IntelMEM_ReproScan_FlushRead	270	55384.191467
IntelMEM_ReproScan_FlushRead	280	67707.305958
IntelMEM_ReproScan_FlushRead	290	89037.846862
IntelMEM_ReproScan_FlushRead	300	117583.640349
IntelMEM_ReproScan_FlushRead	310	149475.855035
IntelMEM_ReproScan_FlushRead	320	184956.215604
IntelMEM_ReproScan_FlushRead	330	193908.626514
IntelMEM_ReproScan_FlushRead	340	194477.212677
IntelMEM_ReproScan_FlushRead	350	194485.872465
IntelMEM_ReproScan_FlushRead	360	194485.872465
IntelMEM_ReproScan_FlushRead	370	194485.872465
IntelMEM_ReproScan_FlushRead	380	194485.872465
IntelMEM_ReproScan_FlushRead	390	194495.492556
IntelMEM_ReproScan_FlushRead	400	194554.725592
IntelMEM_ReproScan_FlushRead	410	194859.565531
IntelMEM_ReproScan_FlushRead	420	195934.365429
IntelMEM_ReproScan_FlushRead	430	197673.833148
IntelMEM_ReproScan_FlushRead	440	200202.872913
IntelMEM_ReproScan_FlushRead	450	206598.826770
IntelMEM_ReproScan_FlushRead	460	222591.163962
IntelMEM_ReproScan_FlushRead	470	252128.085387
IntelMEM_ReproScan_FlushRead	480	281997.093919
IntelMEM_ReproScan_FlushRead	490	316819.214350
IntelMEM_ReproScan_FlushRead	500	357813.583479
IntelMEM_ReproScan_FlushRead	510	384487.053019
IntelMEM_ReproScan_FlushRead	520	399686.471587
IntelMEM_ReproScan_FlushRead	530	408187.975495
IntelMEM_ReproScan_FlushRead	540	410472.878146
IntelMEM_ReproScan_FlushRead	550	410843.582415
IntelMEM_ReproScan_FlushRead	560	410890.166994
IntelMEM_ReproScan_FlushRead	570	410890.166994
IntelMEM_ReproScan_FlushRead	580	410890.166994
IntelMEM_ReproScan_FlushRead	590	410897.203282
IntelMEM_ReproScan_FlushRead	600	410904.324043
IntelMEM_ReproScan_FlushRead	610	410933.291434
IntelMEM_ReproScan_FlushRead	620	411069.224979
IntelMEM_ReproScan_FlushRead	630	411382.929442
IntelMEM_ReproScan_FlushRead	640	411996.260825
IntelMEM_ReproScan_FlushRead	650	413267.341546
IntelMEM_ReproScan_FlushRead	660	415358.540973
IntelMEM_ReproScan_FlushRead	670	418614.440337
IntelMEM_ReproScan_FlushRead	680	423810.759261
IntelMEM_ReproScan_FlushRead	690	434014.566076
IntelMEM_ReproScan_FlushRead	700	451967.170699
IntelMEM_ReproScan_FlushRead	710	471429.699348
IntelMEM_ReproScan_FlushRead	720	489810.284734
IntelMEM_ReproScan_FlushRead	730	513152.275957
IntelMEM_ReproScan_FlushRead	740	542338.485647
IntelMEM_ReproScan_FlushRead	750	576326.662611
IntelMEM_ReproScan_FlushRead	760	615961.090414
IntelMEM_ReproScan_FlushRead	770	658251.981732
IntelMEM_ReproScan_FlushRead	780	689489.337229
IntelMEM_ReproScan_FlushRead	790	706038.762490
IntelMEM_ReproScan_FlushRead	800	714493.998033
IntelMEM_ReproScan_FlushRead	810	720386.272023
IntelMEM_ReproScan_FlushRead	820	724961.662184
IntelMEM_ReproScan_FlushRead	830	728628.216950
IntelMEM_ReproScan_FlushRead	840	731109.386314
IntelMEM_ReproScan_FlushRead	850	732047.562528
IntelMEM_ReproScan_FlushRead	860	732347.017518
IntelMEM_ReproScan_FlushRead	870	732458.134698
IntelMEM_ReproScan_FlushRead	880	732483.696316
IntelMEM_ReproScan_FlushRead	890	732488.878521
IntelMEM_ReproScan_FlushRead	900	732509.774982
IntelMEM_ReproScan_FlushRead	910	732520.336619
IntelMEM_ReproScan_FlushRead	920	732605.602393
IntelMEM_ReproScan_FlushRead	930	732778.015942
IntelMEM_ReproScan_FlushRead	940	733000.886155
IntelMEM_ReproScan_FlushRead	950	733500.928486
IntelMEM_ReproScan_FlushRead	960	734256.159896
IntelMEM_ReproScan_FlushRead	970	735483.886302
IntelMEM_ReproScan_FlushRead	980	737669.621987
IntelMEM_ReproScan_FlushRead	990	740230.983467
IntelMEM_ReproScan_FlushRead	1000	743319.199249
IntelMEM_ReproScan_FlushRead	1010	748175.228187
IntelMEM_ReproScan_FlushRead	1020	756631.165784
IntelMEM_ReproScan_FlushRead	1030	767628.175170
IntelMEM_ReproScan_FlushRead	1040	780464.353439
IntelMEM_ReproScan_FlushRead	1050	795695.902338
IntelMEM_ReproScan_FlushRead	1060	816865.592332
IntelMEM_ReproScan_FlushRead	1070	845922.138701
IntelMEM_ReproScan_FlushRead	1080	878907.432388
IntelMEM_ReproScan_FlushRead	1090	917246.368916
IntelMEM_ReproScan_FlushRead	1100	963946.243516
IntelMEM_ReproScan_FlushRead	1110	1023031.701243
IntelMEM_ReproScan_FlushRead	1120	1094371.639929
IntelMEM_ReproScan_FlushRead	1130	1182144.109075
IntelMEM_ReproScan_FlushRead	1140	1283638.133807
IntelMEM_ReproScan_FlushRead	1150	1386533.174954
IntelMEM_ReproScan_FlushRead	1160	1475447.721357
IntelMEM_ReproScan_FlushRead	1170	1549526.395520
IntelMEM_ReproScan_FlushRead	1180	1619498.486983
IntelMEM_ReproScan_FlushRead	1190	1686497.189598
IntelMEM_ReproScan_FlushRead	1200	1744674.505199
IntelMEM_ReproScan_FlushRead	1210	1786325.640645
IntelMEM_ReproScan_FlushRead	1220	1814731.284554
IntelMEM_ReproScan_FlushRead	1230	1837382.019522
IntelMEM_ReproScan_FlushRead	1240	1856215.469588
IntelMEM_ReproScan_FlushRead	1250	1872954.532140
IntelMEM_ReproScan_FlushRead	1260	1886372.121991
IntelMEM_ReproScan_FlushRead	1270	1896487.036552
IntelMEM_ReproScan_FlushRead	1280	1903348.882358
IntelMEM_ReproScan_FlushRead	1290	1907187.969920
IntelMEM_ReproScan_FlushRead	1300	1908709.550646
IntelMEM_ReproScan_FlushRead	1310	1909584.757606
IntelMEM_ReproScan_FlushRead	1320	1909991.923134
IntelMEM_ReproScan_FlushRead	1330	1910242.401401
IntelMEM_ReproScan_FlushRead	1340	1910402.920192
IntelMEM_ReproScan_FlushRead	1350	1910510.745010
IntelMEM_ReproScan_FlushRead	1360	1910673.725108
IntelMEM_ReproScan_FlushRead	1370	1911001.890388
IntelMEM_ReproScan_FlushRead	1380	1911387.649761
IntelMEM_ReproScan_FlushRead	1390	1911997.979360
IntelMEM_ReproScan_FlushRead	1400	1912923.759019
IntelMEM_ReproScan_FlushRead	1410	1914362.955458
IntelMEM_ReproScan_FlushRead	1420	1916467.074315
IntelMEM_ReproScan_FlushRead	1430	1919563.301678
IntelMEM_ReproScan_FlushRead	1440	1923697.396849
IntelMEM_ReproScan_FlushRead	1450	1929344.817737
IntelMEM_ReproScan_FlushRead	1460	1936460.927410
IntelMEM_ReproScan_FlushRead	1470	1945129.128686
IntelMEM_ReproScan_FlushRead	1480	1955505.782311
IntelMEM_ReproScan_FlushRead	1490	1967875.788476
IntelMEM_ReproScan_FlushRead	1500	1983755.453407
