Device	Inserts (in millions)	Cost (in hours)
IntelMEM_ReproScan_FlushScan	20	23.445470
IntelMEM_ReproScan_FlushScan	30	1824.258856
IntelMEM_ReproScan_FlushScan	40	1824.258856
IntelMEM_ReproScan_FlushScan	50	1848.960599
IntelMEM_ReproScan_FlushScan	60	12417.338170
IntelMEM_ReproScan_FlushScan	70	12553.073065
IntelMEM_ReproScan_FlushScan	80	12553.073065
IntelMEM_ReproScan_FlushScan	90	12553.073065
IntelMEM_ReproScan_FlushScan	100	13116.518656
IntelMEM_ReproScan_FlushScan	110	20119.792710
IntelMEM_ReproScan_FlushScan	120	28597.360200
IntelMEM_ReproScan_FlushScan	130	28726.863877
IntelMEM_ReproScan_FlushScan	140	28726.863877
IntelMEM_ReproScan_FlushScan	150	28726.863877
IntelMEM_ReproScan_FlushScan	160	28736.095502
IntelMEM_ReproScan_FlushScan	170	29940.976753
IntelMEM_ReproScan_FlushScan	180	34346.403435
IntelMEM_ReproScan_FlushScan	190	42709.471685
IntelMEM_ReproScan_FlushScan	200	51923.272275
IntelMEM_ReproScan_FlushScan	210	52671.548641
IntelMEM_ReproScan_FlushScan	220	52671.548641
IntelMEM_ReproScan_FlushScan	230	52671.548641
IntelMEM_ReproScan_FlushScan	240	52671.548641
IntelMEM_ReproScan_FlushScan	250	52674.856179
IntelMEM_ReproScan_FlushScan	260	52790.232858
IntelMEM_ReproScan_FlushScan	270	55241.569378
IntelMEM_ReproScan_FlushScan	280	67614.244178
IntelMEM_ReproScan_FlushScan	290	89160.158688
IntelMEM_ReproScan_FlushScan	300	117540.852892
IntelMEM_ReproScan_FlushScan	310	149837.603628
IntelMEM_ReproScan_FlushScan	320	184960.950704
IntelMEM_ReproScan_FlushScan	330	193804.148421
IntelMEM_ReproScan_FlushScan	340	194461.214170
IntelMEM_ReproScan_FlushScan	350	194472.027248
IntelMEM_ReproScan_FlushScan	360	194472.027248
IntelMEM_ReproScan_FlushScan	370	194472.027248
IntelMEM_ReproScan_FlushScan	380	194472.027248
IntelMEM_ReproScan_FlushScan	390	194476.872098
IntelMEM_ReproScan_FlushScan	400	194540.862608
IntelMEM_ReproScan_FlushScan	410	194805.486350
IntelMEM_ReproScan_FlushScan	420	195917.173412
IntelMEM_ReproScan_FlushScan	430	197650.911461
IntelMEM_ReproScan_FlushScan	440	200069.333189
IntelMEM_ReproScan_FlushScan	450	206617.831805
IntelMEM_ReproScan_FlushScan	460	222333.583834
IntelMEM_ReproScan_FlushScan	470	251780.098076
IntelMEM_ReproScan_FlushScan	480	282360.031211
IntelMEM_ReproScan_FlushScan	490	317576.206376
IntelMEM_ReproScan_FlushScan	500	357827.889456
IntelMEM_ReproScan_FlushScan	510	384802.502211
IntelMEM_ReproScan_FlushScan	520	399946.914064
IntelMEM_ReproScan_FlushScan	530	408119.013074
IntelMEM_ReproScan_FlushScan	540	410388.374846
IntelMEM_ReproScan_FlushScan	550	410811.194035
IntelMEM_ReproScan_FlushScan	560	410851.101118
IntelMEM_ReproScan_FlushScan	570	410854.492434
IntelMEM_ReproScan_FlushScan	580	410854.492434
IntelMEM_ReproScan_FlushScan	590	410854.492434
IntelMEM_ReproScan_FlushScan	600	410861.616456
IntelMEM_ReproScan_FlushScan	610	410886.932205
IntelMEM_ReproScan_FlushScan	620	411011.690810
IntelMEM_ReproScan_FlushScan	630	411268.885794
