Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	20	0.000002
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	30	0.000024
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	40	0.000043
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	50	0.000054
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	60	0.000072
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	70	0.000091
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	80	0.000098
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	90	0.000131
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	100	0.000136
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	110	0.000149
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	120	0.000181
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	130	0.000191
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	140	0.000198
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	150	0.000247
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	160	0.000265
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	170	0.000266
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	180	0.000269
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	190	0.000301
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	200	0.000345
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	210	0.000361
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	220	0.000364
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	230	0.000369
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	240	0.000396
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	250	0.000437
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	260	0.000459
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	270	0.000470
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	280	0.000474
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	290	0.000479
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	300	0.000498
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	310	0.000536
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	320	0.000574
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	330	0.000607
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	340	0.000634
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	350	0.000654
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	360	0.000665
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	370	0.000673
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	380	0.000683
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	390	0.000703
RAMDISK_ECP_ClusterAbs_LeadAbs_Read	400	0.000724
