Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	20	0.000002
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	30	0.000024
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	40	0.000044
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	50	0.000054
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	60	0.000073
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	70	0.000091
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	80	0.000098
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	90	0.000130
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	100	0.000136
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	110	0.000151
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	120	0.000182
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	130	0.000191
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	140	0.000201
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	150	0.000250
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	160	0.000264
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	170	0.000264
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	180	0.000270
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	190	0.000305
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	200	0.000346
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	210	0.000355
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	220	0.000359
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	230	0.000366
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	240	0.000402
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	250	0.000443
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	260	0.000456
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	270	0.000460
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	280	0.000463
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	290	0.000470
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	300	0.000497
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	310	0.000545
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	320	0.000593
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	330	0.000622
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	340	0.000632
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	350	0.000637
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	360	0.000640
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	370	0.000645
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	380	0.000661
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	390	0.000694
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	400	0.000731
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	410	0.000772
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	420	0.000803
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	430	0.000815
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	440	0.000822
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	450	0.000827
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	460	0.000834
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	470	0.000849
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	480	0.000882
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	490	0.000937
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	500	0.001001
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	510	0.001053
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	520	0.001070
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	530	0.001074
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	540	0.001076
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	550	0.001076
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	560	0.001077
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	570	0.001080
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	580	0.001090
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	590	0.001115
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	600	0.001164
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	610	0.001231
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	620	0.001304
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	630	0.001364
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	640	0.001399
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	650	0.001421
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	660	0.001432
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	670	0.001438
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	680	0.001441
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	690	0.001443
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	700	0.001446
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	710	0.001451
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	720	0.001462
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	730	0.001483
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	740	0.001523
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	750	0.001603
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	760	0.001719
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	770	0.001775
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	780	0.001808
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	790	0.001826
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	800	0.001841
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	810	0.001850
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	820	0.001857
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	830	0.001863
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	840	0.001866
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	850	0.001868
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	860	0.001872
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	870	0.001877
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	880	0.001889
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	890	0.001908
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	900	0.001938
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	910	0.001983
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	920	0.002039
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	930	0.002105
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	940	0.002193
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	950	0.002290
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	960	0.002358
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	970	0.002410
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	980	0.002445
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	990	0.002470
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1000	0.002493
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1010	0.002511
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1020	0.002527
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1030	0.002543
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1040	0.002555
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1050	0.002565
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1060	0.002574
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1070	0.002582
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1080	0.002590
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1090	0.002598
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1100	0.002993
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1110	0.003008
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1120	0.003029
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1130	0.003056
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1140	0.003095
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1150	0.003147
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1160	0.003212
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1170	0.003281
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1180	0.003344
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1190	0.003401
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1200	0.003445
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1210	0.003480
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1220	0.003510
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1230	0.003533
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1240	0.003551
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1250	0.003565
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1260	0.003580
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1270	0.003593
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1280	0.003605
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1290	0.003614
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1300	0.003624
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1310	0.004087
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1320	0.004095
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1330	0.004102
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1340	0.004111
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1350	0.004121
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1360	0.004134
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1370	0.004152
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1380	0.004176
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1390	0.004207
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1400	0.004253
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1410	0.004327
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1420	0.004457
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1430	0.004565
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1440	0.004657
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1450	0.004738
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1460	0.004805
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1470	0.004860
RAMDISK_ECP_ClusterAbs_LeadAbs_Scan	1480	0.004904
