Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	20	0.000002
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	30	0.000024
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	40	0.000043
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	50	0.000054
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	60	0.000073
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	70	0.000091
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	80	0.000098
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	90	0.000130
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	100	0.000136
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	110	0.000150
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	120	0.000182
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	130	0.000191
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	140	0.000201
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	150	0.000249
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	160	0.000264
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	170	0.000264
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	180	0.000270
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	190	0.000304
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	200	0.000338
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	210	0.000344
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	220	0.000346
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	230	0.000357
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	240	0.000401
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	250	0.000443
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	260	0.000450
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	270	0.000450
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	280	0.000452
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	290	0.000460
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	300	0.000492
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	310	0.000537
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	320	0.000562
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	330	0.000569
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	340	0.000570
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	350	0.000574
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	360	0.000584
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	370	0.000616
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	380	0.000677
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	390	0.000721
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	400	0.000733
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	410	0.000734
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	420	0.000734
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	430	0.000735
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	440	0.000739
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	450	0.000753
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	460	0.000790
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	470	0.000855
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	480	0.000923
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	490	0.000967
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	500	0.000983
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	510	0.000986
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	520	0.000987
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	530	0.000988
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	540	0.000991
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	550	0.000999
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	560	0.001018
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	570	0.001058
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	580	0.001124
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	590	0.001240
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	600	0.001283
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	610	0.001294
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	620	0.001295
RAMDISK_ECP_ClusterAbs_LeadAvg_Read	630	0.001295
