Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	20	0.000002
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	30	0.000024
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	40	0.000044
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	50	0.000054
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	60	0.000074
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	70	0.000091
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	80	0.000098
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	90	0.000131
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	100	0.000136
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	110	0.000151
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	120	0.000183
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	130	0.000191
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	140	0.000199
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	150	0.000248
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	160	0.000265
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	170	0.000265
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	180	0.000269
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	190	0.000303
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	200	0.000339
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	210	0.000345
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	220	0.000346
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	230	0.000353
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	240	0.000398
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	250	0.000443
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	260	0.000452
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	270	0.000452
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	280	0.000453
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	290	0.000458
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	300	0.000488
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	310	0.000535
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	320	0.000563
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	330	0.000573
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	340	0.000577
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	350	0.000579
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	360	0.000586
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	370	0.000608
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	380	0.000665
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	390	0.000716
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	400	0.000736
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	410	0.000739
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	420	0.000741
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	430	0.000744
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	440	0.000747
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	450	0.000756
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	460	0.000782
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	470	0.000839
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	480	0.000912
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	490	0.000965
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	500	0.000986
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	510	0.000990
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	520	0.000993
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	530	0.000995
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	540	0.000998
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	550	0.001005
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	560	0.001018
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	570	0.001047
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	580	0.001102
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	590	0.001209
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	600	0.001279
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	610	0.001300
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	620	0.001302
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	630	0.001302
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	640	0.001302
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	650	0.001303
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	660	0.001304
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	670	0.001306
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	680	0.001313
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	690	0.001329
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	700	0.001361
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	710	0.001415
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	720	0.001488
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	730	0.001569
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	740	0.001632
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	750	0.001671
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	760	0.001689
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	770	0.001696
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	780	0.001698
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	790	0.001700
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	800	0.001701
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	810	0.001703
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	820	0.001706
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	830	0.001711
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	840	0.001721
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	850	0.001737
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	860	0.001765
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	870	0.001809
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	880	0.001917
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	890	0.002057
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	900	0.002144
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	910	0.002196
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	920	0.002218
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	930	0.002225
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	940	0.002227
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	950	0.002228
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	960	0.002228
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	970	0.002228
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	980	0.002228
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	990	0.002228
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	1000	0.002229
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	1010	0.002230
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	1020	0.002571
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	1030	0.002578
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	1040	0.002591
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	1050	0.002616
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	1060	0.002653
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	1070	0.002705
RAMDISK_ECP_ClusterAbs_LeadAvg_Scan	1080	0.002779
