Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	30	0.000030
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	40	0.000030
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	50	0.000030
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	60	0.000071
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	70	0.000071
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	80	0.000071
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	90	0.000124
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	100	0.000125
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	110	0.000125
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	120	0.000125
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	130	0.000140
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	140	0.000174
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	150	0.000196
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	160	0.000206
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	170	0.000212
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	180	0.000214
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	190	0.000226
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	200	0.000254
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	210	0.000267
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	220	0.000290
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	230	0.000305
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	240	0.000320
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	250	0.000326
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	260	0.000329
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	270	0.000340
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	280	0.000373
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	290	0.000384
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	300	0.000398
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	310	0.000414
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	320	0.000436
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	330	0.000451
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	340	0.000466
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	350	0.000473
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	360	0.000476
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	370	0.000479
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	380	0.000486
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	390	0.000486
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	400	0.000487
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	410	0.000513
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	420	0.000583
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	430	0.000638
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	440	0.000675
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	450	0.000681
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	460	0.000688
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	470	0.000694
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	480	0.000699
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	490	0.000701
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	500	0.000702
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	510	0.000702
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	520	0.000702
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	530	0.000702
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	540	0.000702
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	550	0.000705
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	560	0.000715
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	570	0.000719
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	580	0.000803
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	590	0.000939
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	600	0.000996
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	610	0.001024
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	620	0.001041
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	630	0.001049
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	640	0.001053
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	650	0.001053
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	660	0.001054
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	670	0.001054
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	680	0.001055
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	690	0.001056
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	700	0.001057
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	710	0.001058
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	720	0.001058
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	730	0.001058
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	740	0.001058
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	750	0.001058
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	760	0.001058
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	770	0.001061
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	780	0.001077
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	790	0.001086
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	800	0.001175
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	810	0.001373
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	820	0.001460
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	830	0.001499
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	840	0.001524
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	850	0.001541
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	860	0.001552
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	870	0.001561
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	880	0.001568
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	890	0.001573
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	900	0.001575
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	910	0.001576
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	920	0.001576
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	930	0.001577
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	940	0.001578
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	950	0.001579
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	960	0.001580
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	970	0.001581
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	980	0.001584
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	990	0.001586
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1000	0.001588
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1010	0.001590
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1020	0.001593
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1030	0.001597
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1040	0.001600
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1050	0.001602
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1060	0.001608
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1070	0.001625
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1080	0.001634
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1090	0.001646
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1100	0.001690
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1110	0.001762
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1120	0.001966
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1130	0.002068
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1140	0.002161
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1150	0.002231
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1160	0.002277
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1170	0.002309
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1180	0.002329
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1190	0.002342
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1200	0.002351
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1210	0.002356
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1220	0.002360
RAMDISK_ECP_ClusterAvg_LeadAbs_Read	1230	0.002363
