Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	30	0.000030
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	40	0.000030
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	50	0.000030
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	60	0.000071
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	70	0.000071
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	80	0.000071
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	90	0.000124
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	100	0.000125
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	110	0.000125
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	120	0.000125
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	130	0.000142
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	140	0.000171
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	150	0.000187
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	160	0.000203
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	170	0.000214
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	180	0.000219
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	190	0.000231
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	200	0.000255
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	210	0.000266
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	220	0.000285
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	230	0.000298
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	240	0.000315
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	250	0.000324
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	260	0.000332
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	270	0.000344
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	280	0.000374
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	290	0.000384
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	300	0.000392
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	310	0.000413
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	320	0.000429
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	330	0.000443
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	340	0.000456
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	350	0.000467
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	360	0.000477
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	370	0.000480
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	380	0.000482
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	390	0.000482
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	400	0.000483
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	410	0.000515
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	420	0.000591
RAMDISK_ECP_ClusterAvg_LeadAbs_Scan	430	0.000649
