Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	30	0.000030
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	40	0.000030
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	50	0.000030
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	60	0.000071
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	70	0.000071
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	80	0.000071
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	90	0.000124
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	100	0.000125
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	110	0.000125
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	120	0.000125
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	130	0.000143
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	140	0.000181
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	150	0.000182
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	160	0.000195
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	170	0.000206
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	180	0.000217
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	190	0.000234
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	200	0.000272
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	210	0.000273
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	220	0.000276
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	230	0.000281
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	240	0.000286
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	250	0.000299
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	260	0.000315
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	270	0.000347
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	280	0.000361
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	290	0.000369
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	300	0.000403
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	310	0.000436
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	320	0.000445
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	330	0.000447
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	340	0.000451
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	350	0.000464
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	360	0.000478
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	370	0.000489
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	380	0.000499
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	390	0.000503
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	400	0.000504
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	410	0.000506
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	420	0.000509
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	430	0.000549
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	440	0.000621
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	450	0.000689
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	460	0.000716
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	470	0.000727
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	480	0.000734
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	490	0.000735
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	500	0.000735
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	510	0.000735
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	520	0.000735
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	530	0.000735
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	540	0.000735
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	550	0.000735
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	560	0.000735
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	570	0.000738
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	580	0.000765
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	590	0.000828
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	600	0.000838
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	610	0.000839
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	620	0.000840
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	630	0.000843
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	640	0.000855
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	650	0.000894
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	660	0.000958
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	670	0.001089
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	680	0.001165
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	690	0.001205
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	700	0.001223
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	710	0.001228
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	720	0.001229
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	730	0.001229
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	740	0.001229
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	750	0.001229
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	760	0.001229
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	770	0.001229
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	780	0.001230
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	790	0.001232
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	800	0.001234
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	810	0.001237
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	820	0.001240
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	830	0.001242
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	840	0.001243
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	850	0.001246
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	860	0.001258
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	870	0.001291
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	880	0.001338
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	890	0.001360
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	900	0.001362
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	910	0.001362
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	920	0.001362
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	930	0.001366
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	940	0.001377
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	950	0.001404
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	960	0.001452
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	970	0.001515
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	980	0.001702
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	990	0.001793
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	1000	0.001863
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	1010	0.001913
RAMDISK_ECP_ClusterAvg_LeadAvg_Read	1020	0.001945
