Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	30	0.000030
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	40	0.000030
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	50	0.000030
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	60	0.000071
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	70	0.000071
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	80	0.000071
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	90	0.000124
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	100	0.000125
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	110	0.000125
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	120	0.000125
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	130	0.000143
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	140	0.000183
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	150	0.000183
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	160	0.000194
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	170	0.000208
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	180	0.000214
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	190	0.000233
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	200	0.000275
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	210	0.000275
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	220	0.000278
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	230	0.000282
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	240	0.000288
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	250	0.000296
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	260	0.000308
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	270	0.000350
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	280	0.000359
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	290	0.000364
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	300	0.000401
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	310	0.000439
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	320	0.000449
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	330	0.000451
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	340	0.000454
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	350	0.000463
RAMDISK_ECP_ClusterAvg_LeadAvg_Scan	360	0.000473
