Device	Inserts (in millions)	Cost (in hours)
RAMDISK_II_Read	30	0.003453
RAMDISK_II_Read	40	0.003453
RAMDISK_II_Read	50	0.003453
RAMDISK_II_Read	60	0.008386
RAMDISK_II_Read	70	0.008386
RAMDISK_II_Read	80	0.008386
RAMDISK_II_Read	90	0.008386
RAMDISK_II_Read	100	0.015434
RAMDISK_II_Read	110	0.015434
RAMDISK_II_Read	120	0.015434
RAMDISK_II_Read	130	0.015434
RAMDISK_II_Read	140	0.015434
RAMDISK_II_Read	150	0.015434
RAMDISK_II_Read	160	0.025503
RAMDISK_II_Read	170	0.025503
RAMDISK_II_Read	180	0.025503
RAMDISK_II_Read	190	0.025503
RAMDISK_II_Read	200	0.025503
RAMDISK_II_Read	210	0.025503
RAMDISK_II_Read	220	0.025503
RAMDISK_II_Read	230	0.025503
RAMDISK_II_Read	240	0.025503
RAMDISK_II_Read	250	0.039887
RAMDISK_II_Read	260	0.039887
RAMDISK_II_Read	270	0.039887
RAMDISK_II_Read	280	0.039887
RAMDISK_II_Read	290	0.039887
RAMDISK_II_Read	300	0.039887
RAMDISK_II_Read	310	0.039887
RAMDISK_II_Read	320	0.039887
RAMDISK_II_Read	330	0.039887
RAMDISK_II_Read	340	0.039887
RAMDISK_II_Read	350	0.039887
RAMDISK_II_Read	360	0.039887
RAMDISK_II_Read	370	0.039887
RAMDISK_II_Read	380	0.060437
RAMDISK_II_Read	390	0.060437
RAMDISK_II_Read	400	0.060437
RAMDISK_II_Read	410	0.060437
RAMDISK_II_Read	420	0.060437
RAMDISK_II_Read	430	0.060437
RAMDISK_II_Read	440	0.060437
RAMDISK_II_Read	450	0.060437
RAMDISK_II_Read	460	0.060437
RAMDISK_II_Read	470	0.060437
RAMDISK_II_Read	480	0.060437
RAMDISK_II_Read	490	0.060437
RAMDISK_II_Read	500	0.060437
RAMDISK_II_Read	510	0.060437
RAMDISK_II_Read	520	0.060437
RAMDISK_II_Read	530	0.060437
RAMDISK_II_Read	540	0.060437
RAMDISK_II_Read	550	0.060437
RAMDISK_II_Read	560	0.089794
RAMDISK_II_Read	570	0.089794
RAMDISK_II_Read	580	0.089794
RAMDISK_II_Read	590	0.089794
RAMDISK_II_Read	600	0.089794
RAMDISK_II_Read	610	0.089794
RAMDISK_II_Read	620	0.089794
RAMDISK_II_Read	630	0.089794
RAMDISK_II_Read	640	0.089794
RAMDISK_II_Read	650	0.089794
RAMDISK_II_Read	660	0.089794
RAMDISK_II_Read	670	0.089794
RAMDISK_II_Read	680	0.089794
RAMDISK_II_Read	690	0.089794
RAMDISK_II_Read	700	0.089794
RAMDISK_II_Read	710	0.089794
RAMDISK_II_Read	720	0.089794
RAMDISK_II_Read	730	0.089794
RAMDISK_II_Read	740	0.089794
RAMDISK_II_Read	750	0.089794
RAMDISK_II_Read	760	0.089794
RAMDISK_II_Read	770	0.089794
RAMDISK_II_Read	780	0.089794
RAMDISK_II_Read	790	0.089794
RAMDISK_II_Read	800	0.089794
RAMDISK_II_Read	810	0.089794
RAMDISK_II_Read	820	0.131733
RAMDISK_II_Read	830	0.131733
RAMDISK_II_Read	840	0.131733
RAMDISK_II_Read	850	0.131733
