Device	Inserts (in millions)	Cost (in hours)
RAMDISK_II_Scan	30	0.003453
RAMDISK_II_Scan	40	0.003453
RAMDISK_II_Scan	50	0.003453
RAMDISK_II_Scan	60	0.008386
RAMDISK_II_Scan	70	0.008386
RAMDISK_II_Scan	80	0.008386
RAMDISK_II_Scan	90	0.008386
RAMDISK_II_Scan	100	0.015434
RAMDISK_II_Scan	110	0.015434
RAMDISK_II_Scan	120	0.015434
RAMDISK_II_Scan	130	0.015434
RAMDISK_II_Scan	140	0.015434
RAMDISK_II_Scan	150	0.015434
RAMDISK_II_Scan	160	0.025502
RAMDISK_II_Scan	170	0.025502
RAMDISK_II_Scan	180	0.025502
RAMDISK_II_Scan	190	0.025502
RAMDISK_II_Scan	200	0.025502
RAMDISK_II_Scan	210	0.025502
RAMDISK_II_Scan	220	0.025502
RAMDISK_II_Scan	230	0.025502
RAMDISK_II_Scan	240	0.025502
RAMDISK_II_Scan	250	0.039887
RAMDISK_II_Scan	260	0.039887
RAMDISK_II_Scan	270	0.039887
RAMDISK_II_Scan	280	0.039887
RAMDISK_II_Scan	290	0.039887
RAMDISK_II_Scan	300	0.039887
RAMDISK_II_Scan	310	0.039887
RAMDISK_II_Scan	320	0.039887
RAMDISK_II_Scan	330	0.039887
RAMDISK_II_Scan	340	0.039887
RAMDISK_II_Scan	350	0.039887
RAMDISK_II_Scan	360	0.039887
RAMDISK_II_Scan	370	0.039887
RAMDISK_II_Scan	380	0.060436
RAMDISK_II_Scan	390	0.060436
RAMDISK_II_Scan	400	0.060436
RAMDISK_II_Scan	410	0.060436
RAMDISK_II_Scan	420	0.060436
RAMDISK_II_Scan	430	0.060436
RAMDISK_II_Scan	440	0.060436
RAMDISK_II_Scan	450	0.060436
RAMDISK_II_Scan	460	0.060436
RAMDISK_II_Scan	470	0.060436
RAMDISK_II_Scan	480	0.060436
RAMDISK_II_Scan	490	0.060436
RAMDISK_II_Scan	500	0.060436
RAMDISK_II_Scan	510	0.060480
RAMDISK_II_Scan	520	0.060480
RAMDISK_II_Scan	530	0.060480
RAMDISK_II_Scan	540	0.060480
RAMDISK_II_Scan	550	0.060480
RAMDISK_II_Scan	560	0.089837
RAMDISK_II_Scan	570	0.089837
RAMDISK_II_Scan	580	0.089837
RAMDISK_II_Scan	590	0.089837
RAMDISK_II_Scan	600	0.089837
RAMDISK_II_Scan	610	0.089837
RAMDISK_II_Scan	620	0.089837
RAMDISK_II_Scan	630	0.089837
RAMDISK_II_Scan	640	0.089837
RAMDISK_II_Scan	650	0.089837
RAMDISK_II_Scan	660	0.089837
RAMDISK_II_Scan	670	0.089837
RAMDISK_II_Scan	680	0.089837
RAMDISK_II_Scan	690	0.089898
RAMDISK_II_Scan	700	0.089898
RAMDISK_II_Scan	710	0.089898
RAMDISK_II_Scan	720	0.089898
RAMDISK_II_Scan	730	0.089898
RAMDISK_II_Scan	740	0.089898
RAMDISK_II_Scan	750	0.089898
RAMDISK_II_Scan	760	0.089898
RAMDISK_II_Scan	770	0.089898
RAMDISK_II_Scan	780	0.089898
RAMDISK_II_Scan	790	0.089898
RAMDISK_II_Scan	800	0.089898
RAMDISK_II_Scan	810	0.089898
RAMDISK_II_Scan	820	0.131903
RAMDISK_II_Scan	830	0.131903
RAMDISK_II_Scan	840	0.131903
RAMDISK_II_Scan	850	0.131903
RAMDISK_II_Scan	860	0.131903
RAMDISK_II_Scan	870	0.131903
RAMDISK_II_Scan	880	0.131903
RAMDISK_II_Scan	890	0.131903
RAMDISK_II_Scan	900	0.131903
RAMDISK_II_Scan	910	0.131903
RAMDISK_II_Scan	920	0.131903
RAMDISK_II_Scan	930	0.131903
RAMDISK_II_Scan	940	0.131903
RAMDISK_II_Scan	950	0.131988
RAMDISK_II_Scan	960	0.131988
RAMDISK_II_Scan	970	0.131988
RAMDISK_II_Scan	980	0.131988
RAMDISK_II_Scan	990	0.131988
RAMDISK_II_Scan	1000	0.131988
RAMDISK_II_Scan	1010	0.131988
RAMDISK_II_Scan	1020	0.131988
RAMDISK_II_Scan	1030	0.131988
RAMDISK_II_Scan	1040	0.131988
RAMDISK_II_Scan	1050	0.131988
RAMDISK_II_Scan	1060	0.131988
RAMDISK_II_Scan	1070	0.131988
RAMDISK_II_Scan	1080	0.132078
RAMDISK_II_Scan	1090	0.132078
RAMDISK_II_Scan	1100	0.132078
RAMDISK_II_Scan	1110	0.132078
RAMDISK_II_Scan	1120	0.132078
RAMDISK_II_Scan	1130	0.132078
RAMDISK_II_Scan	1140	0.132078
RAMDISK_II_Scan	1150	0.132078
RAMDISK_II_Scan	1160	0.132078
RAMDISK_II_Scan	1170	0.132078
RAMDISK_II_Scan	1180	0.132078
RAMDISK_II_Scan	1190	0.191991
RAMDISK_II_Scan	1200	0.191991
RAMDISK_II_Scan	1210	0.191991
RAMDISK_II_Scan	1220	0.191991
RAMDISK_II_Scan	1230	0.191991
RAMDISK_II_Scan	1240	0.191991
RAMDISK_II_Scan	1250	0.191991
RAMDISK_II_Scan	1260	0.191991
RAMDISK_II_Scan	1270	0.191991
RAMDISK_II_Scan	1280	0.191991
RAMDISK_II_Scan	1290	0.191991
RAMDISK_II_Scan	1300	0.191991
RAMDISK_II_Scan	1310	0.191991
RAMDISK_II_Scan	1320	0.192110
RAMDISK_II_Scan	1330	0.192110
RAMDISK_II_Scan	1340	0.192110
RAMDISK_II_Scan	1350	0.192110
RAMDISK_II_Scan	1360	0.192110
RAMDISK_II_Scan	1370	0.192110
RAMDISK_II_Scan	1380	0.192110
RAMDISK_II_Scan	1390	0.192110
RAMDISK_II_Scan	1400	0.192110
RAMDISK_II_Scan	1410	0.192110
RAMDISK_II_Scan	1420	0.192110
RAMDISK_II_Scan	1430	0.192110
RAMDISK_II_Scan	1440	0.192110
RAMDISK_II_Scan	1450	0.192331
RAMDISK_II_Scan	1460	0.192331
RAMDISK_II_Scan	1470	0.192331
RAMDISK_II_Scan	1480	0.192331
RAMDISK_II_Scan	1490	0.192331
RAMDISK_II_Scan	1500	0.192453
