Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ReproPfiles_FlushRead	20	0.000023
RAMDISK_ReproPfiles_FlushRead	30	0.002016
RAMDISK_ReproPfiles_FlushRead	40	0.002016
RAMDISK_ReproPfiles_FlushRead	50	0.002048
RAMDISK_ReproPfiles_FlushRead	60	0.010011
RAMDISK_ReproPfiles_FlushRead	70	0.010045
RAMDISK_ReproPfiles_FlushRead	80	0.010045
RAMDISK_ReproPfiles_FlushRead	90	0.010045
RAMDISK_ReproPfiles_FlushRead	100	0.010192
RAMDISK_ReproPfiles_FlushRead	110	0.012087
RAMDISK_ReproPfiles_FlushRead	120	0.014510
RAMDISK_ReproPfiles_FlushRead	130	0.014547
RAMDISK_ReproPfiles_FlushRead	140	0.014547
RAMDISK_ReproPfiles_FlushRead	150	0.014547
RAMDISK_ReproPfiles_FlushRead	160	0.014552
RAMDISK_ReproPfiles_FlushRead	170	0.014910
RAMDISK_ReproPfiles_FlushRead	180	0.016100
RAMDISK_ReproPfiles_FlushRead	190	0.018382
RAMDISK_ReproPfiles_FlushRead	200	0.021022
RAMDISK_ReproPfiles_FlushRead	210	0.021250
RAMDISK_ReproPfiles_FlushRead	220	0.021250
RAMDISK_ReproPfiles_FlushRead	230	0.021250
RAMDISK_ReproPfiles_FlushRead	240	0.021250
RAMDISK_ReproPfiles_FlushRead	250	0.021251
RAMDISK_ReproPfiles_FlushRead	260	0.021335
RAMDISK_ReproPfiles_FlushRead	270	0.022106
RAMDISK_ReproPfiles_FlushRead	280	0.025301
RAMDISK_ReproPfiles_FlushRead	290	0.029546
RAMDISK_ReproPfiles_FlushRead	300	0.034999
RAMDISK_ReproPfiles_FlushRead	310	0.041728
RAMDISK_ReproPfiles_FlushRead	320	0.047032
RAMDISK_ReproPfiles_FlushRead	330	0.047871
RAMDISK_ReproPfiles_FlushRead	340	0.047923
RAMDISK_ReproPfiles_FlushRead	350	0.047923
RAMDISK_ReproPfiles_FlushRead	360	0.047923
RAMDISK_ReproPfiles_FlushRead	370	0.047923
RAMDISK_ReproPfiles_FlushRead	380	0.047923
RAMDISK_ReproPfiles_FlushRead	390	0.047925
RAMDISK_ReproPfiles_FlushRead	400	0.047931
RAMDISK_ReproPfiles_FlushRead	410	0.047962
RAMDISK_ReproPfiles_FlushRead	420	0.048039
RAMDISK_ReproPfiles_FlushRead	430	0.048161
RAMDISK_ReproPfiles_FlushRead	440	0.048342
RAMDISK_ReproPfiles_FlushRead	450	0.048781
RAMDISK_ReproPfiles_FlushRead	460	0.049868
RAMDISK_ReproPfiles_FlushRead	470	0.051915
RAMDISK_ReproPfiles_FlushRead	480	0.054027
RAMDISK_ReproPfiles_FlushRead	490	0.056524
RAMDISK_ReproPfiles_FlushRead	500	0.059428
RAMDISK_ReproPfiles_FlushRead	510	0.061319
RAMDISK_ReproPfiles_FlushRead	520	0.062362
RAMDISK_ReproPfiles_FlushRead	530	0.062909
RAMDISK_ReproPfiles_FlushRead	540	0.063057
RAMDISK_ReproPfiles_FlushRead	550	0.063083
RAMDISK_ReproPfiles_FlushRead	560	0.063086
RAMDISK_ReproPfiles_FlushRead	570	0.063086
RAMDISK_ReproPfiles_FlushRead	580	0.063086
RAMDISK_ReproPfiles_FlushRead	590	0.063087
RAMDISK_ReproPfiles_FlushRead	600	0.063088
RAMDISK_ReproPfiles_FlushRead	610	0.063091
RAMDISK_ReproPfiles_FlushRead	620	0.063099
RAMDISK_ReproPfiles_FlushRead	630	0.063122
RAMDISK_ReproPfiles_FlushRead	640	0.063170
RAMDISK_ReproPfiles_FlushRead	650	0.063261
RAMDISK_ReproPfiles_FlushRead	660	0.063395
RAMDISK_ReproPfiles_FlushRead	670	0.063627
RAMDISK_ReproPfiles_FlushRead	680	0.064009
RAMDISK_ReproPfiles_FlushRead	690	0.064713
RAMDISK_ReproPfiles_FlushRead	700	0.065947
RAMDISK_ReproPfiles_FlushRead	710	0.067274
RAMDISK_ReproPfiles_FlushRead	720	0.068588
RAMDISK_ReproPfiles_FlushRead	730	0.070284
RAMDISK_ReproPfiles_FlushRead	740	0.072375
RAMDISK_ReproPfiles_FlushRead	750	0.074771
RAMDISK_ReproPfiles_FlushRead	760	0.077525
RAMDISK_ReproPfiles_FlushRead	770	0.080478
RAMDISK_ReproPfiles_FlushRead	780	0.082658
RAMDISK_ReproPfiles_FlushRead	790	0.083795
RAMDISK_ReproPfiles_FlushRead	800	0.084371
RAMDISK_ReproPfiles_FlushRead	810	0.084765
RAMDISK_ReproPfiles_FlushRead	820	0.085090
RAMDISK_ReproPfiles_FlushRead	830	0.085328
RAMDISK_ReproPfiles_FlushRead	840	0.085497
RAMDISK_ReproPfiles_FlushRead	850	0.085561
RAMDISK_ReproPfiles_FlushRead	860	0.085583
RAMDISK_ReproPfiles_FlushRead	870	0.085589
RAMDISK_ReproPfiles_FlushRead	880	0.085591
RAMDISK_ReproPfiles_FlushRead	890	0.085592
RAMDISK_ReproPfiles_FlushRead	900	0.085592
RAMDISK_ReproPfiles_FlushRead	910	0.085596
RAMDISK_ReproPfiles_FlushRead	920	0.085600
RAMDISK_ReproPfiles_FlushRead	930	0.085609
RAMDISK_ReproPfiles_FlushRead	940	0.085633
RAMDISK_ReproPfiles_FlushRead	950	0.085666
RAMDISK_ReproPfiles_FlushRead	960	0.085719
RAMDISK_ReproPfiles_FlushRead	970	0.085813
RAMDISK_ReproPfiles_FlushRead	980	0.085960
RAMDISK_ReproPfiles_FlushRead	990	0.086143
RAMDISK_ReproPfiles_FlushRead	1000	0.086400
RAMDISK_ReproPfiles_FlushRead	1010	0.086765
RAMDISK_ReproPfiles_FlushRead	1020	0.087360
RAMDISK_ReproPfiles_FlushRead	1030	0.088140
RAMDISK_ReproPfiles_FlushRead	1040	0.089097
RAMDISK_ReproPfiles_FlushRead	1050	0.090208
RAMDISK_ReproPfiles_FlushRead	1060	0.091726
RAMDISK_ReproPfiles_FlushRead	1070	0.093740
RAMDISK_ReproPfiles_FlushRead	1080	0.096155
RAMDISK_ReproPfiles_FlushRead	1090	0.098894
RAMDISK_ReproPfiles_FlushRead	1100	0.102040
RAMDISK_ReproPfiles_FlushRead	1110	0.105894
RAMDISK_ReproPfiles_FlushRead	1120	0.110789
RAMDISK_ReproPfiles_FlushRead	1130	0.116359
RAMDISK_ReproPfiles_FlushRead	1140	0.121374
RAMDISK_ReproPfiles_FlushRead	1150	0.125805
RAMDISK_ReproPfiles_FlushRead	1160	0.129856
RAMDISK_ReproPfiles_FlushRead	1170	0.133837
RAMDISK_ReproPfiles_FlushRead	1180	0.137367
RAMDISK_ReproPfiles_FlushRead	1190	0.140038
RAMDISK_ReproPfiles_FlushRead	1200	0.142073
RAMDISK_ReproPfiles_FlushRead	1210	0.143609
RAMDISK_ReproPfiles_FlushRead	1220	0.144724
RAMDISK_ReproPfiles_FlushRead	1230	0.145578
RAMDISK_ReproPfiles_FlushRead	1240	0.146336
RAMDISK_ReproPfiles_FlushRead	1250	0.146920
RAMDISK_ReproPfiles_FlushRead	1260	0.147337
RAMDISK_ReproPfiles_FlushRead	1270	0.147577
RAMDISK_ReproPfiles_FlushRead	1280	0.147717
RAMDISK_ReproPfiles_FlushRead	1290	0.147801
RAMDISK_ReproPfiles_FlushRead	1300	0.147845
RAMDISK_ReproPfiles_FlushRead	1310	0.147868
RAMDISK_ReproPfiles_FlushRead	1320	0.147881
RAMDISK_ReproPfiles_FlushRead	1330	0.147888
RAMDISK_ReproPfiles_FlushRead	1340	0.147893
RAMDISK_ReproPfiles_FlushRead	1350	0.147906
RAMDISK_ReproPfiles_FlushRead	1360	0.147915
RAMDISK_ReproPfiles_FlushRead	1370	0.147941
RAMDISK_ReproPfiles_FlushRead	1380	0.147986
RAMDISK_ReproPfiles_FlushRead	1390	0.148038
RAMDISK_ReproPfiles_FlushRead	1400	0.148103
RAMDISK_ReproPfiles_FlushRead	1410	0.148203
RAMDISK_ReproPfiles_FlushRead	1420	0.148360
RAMDISK_ReproPfiles_FlushRead	1430	0.148609
RAMDISK_ReproPfiles_FlushRead	1440	0.148919
RAMDISK_ReproPfiles_FlushRead	1450	0.149318
RAMDISK_ReproPfiles_FlushRead	1460	0.149731
RAMDISK_ReproPfiles_FlushRead	1470	0.150245
RAMDISK_ReproPfiles_FlushRead	1480	0.150926
RAMDISK_ReproPfiles_FlushRead	1490	0.151730
RAMDISK_ReproPfiles_FlushRead	1500	0.152707
