Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ReproPfiles_FlushScan	20	0.000019
RAMDISK_ReproPfiles_FlushScan	30	0.002017
RAMDISK_ReproPfiles_FlushScan	40	0.002017
RAMDISK_ReproPfiles_FlushScan	50	0.002069
RAMDISK_ReproPfiles_FlushScan	60	0.010013
RAMDISK_ReproPfiles_FlushScan	70	0.010047
RAMDISK_ReproPfiles_FlushScan	80	0.010047
RAMDISK_ReproPfiles_FlushScan	90	0.010047
RAMDISK_ReproPfiles_FlushScan	100	0.010199
RAMDISK_ReproPfiles_FlushScan	110	0.012100
RAMDISK_ReproPfiles_FlushScan	120	0.014510
RAMDISK_ReproPfiles_FlushScan	130	0.014547
RAMDISK_ReproPfiles_FlushScan	140	0.014547
RAMDISK_ReproPfiles_FlushScan	150	0.014547
RAMDISK_ReproPfiles_FlushScan	160	0.014550
RAMDISK_ReproPfiles_FlushScan	170	0.014901
RAMDISK_ReproPfiles_FlushScan	180	0.016142
RAMDISK_ReproPfiles_FlushScan	190	0.018405
RAMDISK_ReproPfiles_FlushScan	200	0.021040
RAMDISK_ReproPfiles_FlushScan	210	0.021249
RAMDISK_ReproPfiles_FlushScan	220	0.021249
RAMDISK_ReproPfiles_FlushScan	230	0.021249
RAMDISK_ReproPfiles_FlushScan	240	0.021249
RAMDISK_ReproPfiles_FlushScan	250	0.021253
RAMDISK_ReproPfiles_FlushScan	260	0.021343
RAMDISK_ReproPfiles_FlushScan	270	0.022113
RAMDISK_ReproPfiles_FlushScan	280	0.025401
RAMDISK_ReproPfiles_FlushScan	290	0.029607
RAMDISK_ReproPfiles_FlushScan	300	0.035101
RAMDISK_ReproPfiles_FlushScan	310	0.041882
RAMDISK_ReproPfiles_FlushScan	320	0.047007
RAMDISK_ReproPfiles_FlushScan	330	0.047869
RAMDISK_ReproPfiles_FlushScan	340	0.047914
RAMDISK_ReproPfiles_FlushScan	350	0.047915
RAMDISK_ReproPfiles_FlushScan	360	0.047915
RAMDISK_ReproPfiles_FlushScan	370	0.047915
RAMDISK_ReproPfiles_FlushScan	380	0.047915
RAMDISK_ReproPfiles_FlushScan	390	0.047916
RAMDISK_ReproPfiles_FlushScan	400	0.047923
RAMDISK_ReproPfiles_FlushScan	410	0.047951
RAMDISK_ReproPfiles_FlushScan	420	0.048029
RAMDISK_ReproPfiles_FlushScan	430	0.048160
RAMDISK_ReproPfiles_FlushScan	440	0.048336
RAMDISK_ReproPfiles_FlushScan	450	0.048774
RAMDISK_ReproPfiles_FlushScan	460	0.049848
RAMDISK_ReproPfiles_FlushScan	470	0.051922
RAMDISK_ReproPfiles_FlushScan	480	0.054054
RAMDISK_ReproPfiles_FlushScan	490	0.056556
RAMDISK_ReproPfiles_FlushScan	500	0.059461
RAMDISK_ReproPfiles_FlushScan	510	0.061341
RAMDISK_ReproPfiles_FlushScan	520	0.062340
RAMDISK_ReproPfiles_FlushScan	530	0.062907
RAMDISK_ReproPfiles_FlushScan	540	0.063043
RAMDISK_ReproPfiles_FlushScan	550	0.063067
RAMDISK_ReproPfiles_FlushScan	560	0.063071
RAMDISK_ReproPfiles_FlushScan	570	0.063071
RAMDISK_ReproPfiles_FlushScan	580	0.063071
RAMDISK_ReproPfiles_FlushScan	590	0.063071
RAMDISK_ReproPfiles_FlushScan	600	0.063072
RAMDISK_ReproPfiles_FlushScan	610	0.063076
RAMDISK_ReproPfiles_FlushScan	620	0.063085
RAMDISK_ReproPfiles_FlushScan	630	0.063103
RAMDISK_ReproPfiles_FlushScan	640	0.063143
RAMDISK_ReproPfiles_FlushScan	650	0.063233
RAMDISK_ReproPfiles_FlushScan	660	0.063390
RAMDISK_ReproPfiles_FlushScan	670	0.063625
RAMDISK_ReproPfiles_FlushScan	680	0.063981
RAMDISK_ReproPfiles_FlushScan	690	0.064676
RAMDISK_ReproPfiles_FlushScan	700	0.065903
RAMDISK_ReproPfiles_FlushScan	710	0.067290
RAMDISK_ReproPfiles_FlushScan	720	0.068602
RAMDISK_ReproPfiles_FlushScan	730	0.070237
RAMDISK_ReproPfiles_FlushScan	740	0.072335
RAMDISK_ReproPfiles_FlushScan	750	0.074753
RAMDISK_ReproPfiles_FlushScan	760	0.077533
RAMDISK_ReproPfiles_FlushScan	770	0.080512
RAMDISK_ReproPfiles_FlushScan	780	0.082697
RAMDISK_ReproPfiles_FlushScan	790	0.083805
RAMDISK_ReproPfiles_FlushScan	800	0.084390
RAMDISK_ReproPfiles_FlushScan	810	0.084782
RAMDISK_ReproPfiles_FlushScan	820	0.085081
RAMDISK_ReproPfiles_FlushScan	830	0.085311
