Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ReproRead_FlushRead	20	0.000093
RAMDISK_ReproRead_FlushRead	30	0.010023
RAMDISK_ReproRead_FlushRead	40	0.010023
RAMDISK_ReproRead_FlushRead	50	0.010043
RAMDISK_ReproRead_FlushRead	60	0.024611
RAMDISK_ReproRead_FlushRead	70	0.024772
RAMDISK_ReproRead_FlushRead	80	0.024772
RAMDISK_ReproRead_FlushRead	90	0.024772
RAMDISK_ReproRead_FlushRead	100	0.025506
RAMDISK_ReproRead_FlushRead	110	0.034983
RAMDISK_ReproRead_FlushRead	120	0.046820
RAMDISK_ReproRead_FlushRead	130	0.047022
RAMDISK_ReproRead_FlushRead	140	0.047022
RAMDISK_ReproRead_FlushRead	150	0.047022
RAMDISK_ReproRead_FlushRead	160	0.047033
RAMDISK_ReproRead_FlushRead	170	0.048704
RAMDISK_ReproRead_FlushRead	180	0.054756
RAMDISK_ReproRead_FlushRead	190	0.065967
RAMDISK_ReproRead_FlushRead	200	0.078970
RAMDISK_ReproRead_FlushRead	210	0.079957
RAMDISK_ReproRead_FlushRead	220	0.079959
RAMDISK_ReproRead_FlushRead	230	0.079959
RAMDISK_ReproRead_FlushRead	240	0.079959
RAMDISK_ReproRead_FlushRead	250	0.079960
RAMDISK_ReproRead_FlushRead	260	0.080018
RAMDISK_ReproRead_FlushRead	270	0.080808
RAMDISK_ReproRead_FlushRead	280	0.085173
RAMDISK_ReproRead_FlushRead	290	0.092584
RAMDISK_ReproRead_FlushRead	300	0.102211
RAMDISK_ReproRead_FlushRead	310	0.113120
RAMDISK_ReproRead_FlushRead	320	0.125441
RAMDISK_ReproRead_FlushRead	330	0.128654
RAMDISK_ReproRead_FlushRead	340	0.128846
RAMDISK_ReproRead_FlushRead	350	0.128847
RAMDISK_ReproRead_FlushRead	360	0.128847
RAMDISK_ReproRead_FlushRead	370	0.128847
RAMDISK_ReproRead_FlushRead	380	0.128847
RAMDISK_ReproRead_FlushRead	390	0.128849
RAMDISK_ReproRead_FlushRead	400	0.128863
RAMDISK_ReproRead_FlushRead	410	0.128973
RAMDISK_ReproRead_FlushRead	420	0.129361
RAMDISK_ReproRead_FlushRead	430	0.129976
RAMDISK_ReproRead_FlushRead	440	0.130807
RAMDISK_ReproRead_FlushRead	450	0.132836
RAMDISK_ReproRead_FlushRead	460	0.138201
RAMDISK_ReproRead_FlushRead	470	0.148516
RAMDISK_ReproRead_FlushRead	480	0.158989
RAMDISK_ReproRead_FlushRead	490	0.171186
RAMDISK_ReproRead_FlushRead	500	0.185473
RAMDISK_ReproRead_FlushRead	510	0.194824
RAMDISK_ReproRead_FlushRead	520	0.199891
RAMDISK_ReproRead_FlushRead	530	0.202577
RAMDISK_ReproRead_FlushRead	540	0.203295
RAMDISK_ReproRead_FlushRead	550	0.203424
RAMDISK_ReproRead_FlushRead	560	0.203440
RAMDISK_ReproRead_FlushRead	570	0.203440
RAMDISK_ReproRead_FlushRead	580	0.203440
RAMDISK_ReproRead_FlushRead	590	0.203440
RAMDISK_ReproRead_FlushRead	600	0.203442
RAMDISK_ReproRead_FlushRead	610	0.203453
RAMDISK_ReproRead_FlushRead	620	0.203482
RAMDISK_ReproRead_FlushRead	630	0.203567
RAMDISK_ReproRead_FlushRead	640	0.203785
RAMDISK_ReproRead_FlushRead	650	0.204292
RAMDISK_ReproRead_FlushRead	660	0.205030
RAMDISK_ReproRead_FlushRead	670	0.206047
RAMDISK_ReproRead_FlushRead	680	0.207785
RAMDISK_ReproRead_FlushRead	690	0.211304
RAMDISK_ReproRead_FlushRead	700	0.217285
RAMDISK_ReproRead_FlushRead	710	0.224099
RAMDISK_ReproRead_FlushRead	720	0.230547
RAMDISK_ReproRead_FlushRead	730	0.238569
RAMDISK_ReproRead_FlushRead	740	0.248890
RAMDISK_ReproRead_FlushRead	750	0.261042
RAMDISK_ReproRead_FlushRead	760	0.274645
RAMDISK_ReproRead_FlushRead	770	0.289258
RAMDISK_ReproRead_FlushRead	780	0.299838
RAMDISK_ReproRead_FlushRead	790	0.305414
RAMDISK_ReproRead_FlushRead	800	0.308321
RAMDISK_ReproRead_FlushRead	810	0.310276
RAMDISK_ReproRead_FlushRead	820	0.311799
RAMDISK_ReproRead_FlushRead	830	0.313006
RAMDISK_ReproRead_FlushRead	840	0.313825
RAMDISK_ReproRead_FlushRead	850	0.314147
RAMDISK_ReproRead_FlushRead	860	0.314235
RAMDISK_ReproRead_FlushRead	870	0.314280
RAMDISK_ReproRead_FlushRead	880	0.314290
RAMDISK_ReproRead_FlushRead	890	0.314295
RAMDISK_ReproRead_FlushRead	900	0.314298
RAMDISK_ReproRead_FlushRead	910	0.314302
RAMDISK_ReproRead_FlushRead	920	0.314323
RAMDISK_ReproRead_FlushRead	930	0.314358
RAMDISK_ReproRead_FlushRead	940	0.314449
RAMDISK_ReproRead_FlushRead	950	0.314602
RAMDISK_ReproRead_FlushRead	960	0.314877
RAMDISK_ReproRead_FlushRead	970	0.315304
