Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ReproRead_FlushScan	20	0.000110
RAMDISK_ReproRead_FlushScan	30	0.010022
RAMDISK_ReproRead_FlushScan	40	0.010022
RAMDISK_ReproRead_FlushScan	50	0.010051
RAMDISK_ReproRead_FlushScan	60	0.024605
RAMDISK_ReproRead_FlushScan	70	0.024769
RAMDISK_ReproRead_FlushScan	80	0.024769
RAMDISK_ReproRead_FlushScan	90	0.024769
RAMDISK_ReproRead_FlushScan	100	0.025567
RAMDISK_ReproRead_FlushScan	110	0.034870
RAMDISK_ReproRead_FlushScan	120	0.046837
RAMDISK_ReproRead_FlushScan	130	0.047021
RAMDISK_ReproRead_FlushScan	140	0.047021
RAMDISK_ReproRead_FlushScan	150	0.047021
RAMDISK_ReproRead_FlushScan	160	0.047036
RAMDISK_ReproRead_FlushScan	170	0.048813
RAMDISK_ReproRead_FlushScan	180	0.054694
RAMDISK_ReproRead_FlushScan	190	0.065743
RAMDISK_ReproRead_FlushScan	200	0.078973
RAMDISK_ReproRead_FlushScan	210	0.079962
RAMDISK_ReproRead_FlushScan	220	0.079962
RAMDISK_ReproRead_FlushScan	230	0.079962
RAMDISK_ReproRead_FlushScan	240	0.079962
RAMDISK_ReproRead_FlushScan	250	0.079964
RAMDISK_ReproRead_FlushScan	260	0.080048
RAMDISK_ReproRead_FlushScan	270	0.080900
RAMDISK_ReproRead_FlushScan	280	0.085193
RAMDISK_ReproRead_FlushScan	290	0.092462
RAMDISK_ReproRead_FlushScan	300	0.102017
RAMDISK_ReproRead_FlushScan	310	0.113012
RAMDISK_ReproRead_FlushScan	320	0.125518
RAMDISK_ReproRead_FlushScan	330	0.128655
RAMDISK_ReproRead_FlushScan	340	0.128857
RAMDISK_ReproRead_FlushScan	350	0.128859
RAMDISK_ReproRead_FlushScan	360	0.128859
RAMDISK_ReproRead_FlushScan	370	0.128859
RAMDISK_ReproRead_FlushScan	380	0.128859
RAMDISK_ReproRead_FlushScan	390	0.128868
RAMDISK_ReproRead_FlushScan	400	0.128891
RAMDISK_ReproRead_FlushScan	410	0.129007
RAMDISK_ReproRead_FlushScan	420	0.129375
RAMDISK_ReproRead_FlushScan	430	0.129952
RAMDISK_ReproRead_FlushScan	440	0.130822
RAMDISK_ReproRead_FlushScan	450	0.132907
RAMDISK_ReproRead_FlushScan	460	0.138345
RAMDISK_ReproRead_FlushScan	470	0.148400
RAMDISK_ReproRead_FlushScan	480	0.158844
RAMDISK_ReproRead_FlushScan	490	0.171067
RAMDISK_ReproRead_FlushScan	500	0.185618
RAMDISK_ReproRead_FlushScan	510	0.194904
RAMDISK_ReproRead_FlushScan	520	0.199959
RAMDISK_ReproRead_FlushScan	530	0.202591
RAMDISK_ReproRead_FlushScan	540	0.203304
RAMDISK_ReproRead_FlushScan	550	0.203436
RAMDISK_ReproRead_FlushScan	560	0.203452
RAMDISK_ReproRead_FlushScan	570	0.203452
RAMDISK_ReproRead_FlushScan	580	0.203452
RAMDISK_ReproRead_FlushScan	590	0.203456
RAMDISK_ReproRead_FlushScan	600	0.203460
RAMDISK_ReproRead_FlushScan	610	0.203480
RAMDISK_ReproRead_FlushScan	620	0.203529
RAMDISK_ReproRead_FlushScan	630	0.203626
RAMDISK_ReproRead_FlushScan	640	0.203851
RAMDISK_ReproRead_FlushScan	650	0.204274
RAMDISK_ReproRead_FlushScan	660	0.204969
RAMDISK_ReproRead_FlushScan	670	0.206054
RAMDISK_ReproRead_FlushScan	680	0.207891
RAMDISK_ReproRead_FlushScan	690	0.211433
RAMDISK_ReproRead_FlushScan	700	0.217376
RAMDISK_ReproRead_FlushScan	710	0.224009
RAMDISK_ReproRead_FlushScan	720	0.230388
RAMDISK_ReproRead_FlushScan	730	0.238588
RAMDISK_ReproRead_FlushScan	740	0.248847
RAMDISK_ReproRead_FlushScan	750	0.260684
RAMDISK_ReproRead_FlushScan	760	0.274614
RAMDISK_ReproRead_FlushScan	770	0.289409
RAMDISK_ReproRead_FlushScan	780	0.300209
RAMDISK_ReproRead_FlushScan	790	0.305629
RAMDISK_ReproRead_FlushScan	800	0.308437
RAMDISK_ReproRead_FlushScan	810	0.310352
RAMDISK_ReproRead_FlushScan	820	0.311906
RAMDISK_ReproRead_FlushScan	830	0.313020
RAMDISK_ReproRead_FlushScan	840	0.313825
RAMDISK_ReproRead_FlushScan	850	0.314148
RAMDISK_ReproRead_FlushScan	860	0.314240
RAMDISK_ReproRead_FlushScan	870	0.314286
RAMDISK_ReproRead_FlushScan	880	0.314300
RAMDISK_ReproRead_FlushScan	890	0.314305
RAMDISK_ReproRead_FlushScan	900	0.314312
RAMDISK_ReproRead_FlushScan	910	0.314325
RAMDISK_ReproRead_FlushScan	920	0.314353
RAMDISK_ReproRead_FlushScan	930	0.314410
RAMDISK_ReproRead_FlushScan	940	0.314509
RAMDISK_ReproRead_FlushScan	950	0.314658
RAMDISK_ReproRead_FlushScan	960	0.314907
RAMDISK_ReproRead_FlushScan	970	0.315328
RAMDISK_ReproRead_FlushScan	980	0.316027
RAMDISK_ReproRead_FlushScan	990	0.316862
RAMDISK_ReproRead_FlushScan	1000	0.317897
RAMDISK_ReproRead_FlushScan	1010	0.319497
RAMDISK_ReproRead_FlushScan	1020	0.322038
RAMDISK_ReproRead_FlushScan	1030	0.325365
RAMDISK_ReproRead_FlushScan	1040	0.328797
RAMDISK_ReproRead_FlushScan	1050	0.332530
RAMDISK_ReproRead_FlushScan	1060	0.337704
RAMDISK_ReproRead_FlushScan	1070	0.344399
RAMDISK_ReproRead_FlushScan	1080	0.351557
RAMDISK_ReproRead_FlushScan	1090	0.358190
RAMDISK_ReproRead_FlushScan	1100	0.365645
RAMDISK_ReproRead_FlushScan	1110	0.374503
RAMDISK_ReproRead_FlushScan	1120	0.384431
RAMDISK_ReproRead_FlushScan	1130	0.395767
RAMDISK_ReproRead_FlushScan	1140	0.408160
RAMDISK_ReproRead_FlushScan	1150	0.420921
RAMDISK_ReproRead_FlushScan	1160	0.431995
RAMDISK_ReproRead_FlushScan	1170	0.441023
RAMDISK_ReproRead_FlushScan	1180	0.449108
RAMDISK_ReproRead_FlushScan	1190	0.456817
RAMDISK_ReproRead_FlushScan	1200	0.463269
RAMDISK_ReproRead_FlushScan	1210	0.467637
RAMDISK_ReproRead_FlushScan	1220	0.470317
RAMDISK_ReproRead_FlushScan	1230	0.472354
RAMDISK_ReproRead_FlushScan	1240	0.473930
RAMDISK_ReproRead_FlushScan	1250	0.475276
RAMDISK_ReproRead_FlushScan	1260	0.476334
RAMDISK_ReproRead_FlushScan	1270	0.477137
RAMDISK_ReproRead_FlushScan	1280	0.477673
RAMDISK_ReproRead_FlushScan	1290	0.477969
RAMDISK_ReproRead_FlushScan	1300	0.478122
RAMDISK_ReproRead_FlushScan	1310	0.478193
RAMDISK_ReproRead_FlushScan	1320	0.478234
RAMDISK_ReproRead_FlushScan	1330	0.478253
RAMDISK_ReproRead_FlushScan	1340	0.478261
RAMDISK_ReproRead_FlushScan	1350	0.478273
RAMDISK_ReproRead_FlushScan	1360	0.478291
RAMDISK_ReproRead_FlushScan	1370	0.478324
RAMDISK_ReproRead_FlushScan	1380	0.478356
RAMDISK_ReproRead_FlushScan	1390	0.478418
RAMDISK_ReproRead_FlushScan	1400	0.478492
RAMDISK_ReproRead_FlushScan	1410	0.478614
RAMDISK_ReproRead_FlushScan	1420	0.478796
RAMDISK_ReproRead_FlushScan	1430	0.479056
RAMDISK_ReproRead_FlushScan	1440	0.479406
RAMDISK_ReproRead_FlushScan	1450	0.479897
RAMDISK_ReproRead_FlushScan	1460	0.480483
RAMDISK_ReproRead_FlushScan	1470	0.481248
RAMDISK_ReproRead_FlushScan	1480	0.482119
RAMDISK_ReproRead_FlushScan	1490	0.483214
RAMDISK_ReproRead_FlushScan	1500	0.484651
