Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ReproScan_FlushRead	20	0.094598
RAMDISK_ReproScan_FlushRead	30	9.150436
RAMDISK_ReproScan_FlushRead	40	9.150436
RAMDISK_ReproScan_FlushRead	50	9.222023
RAMDISK_ReproScan_FlushRead	60	62.309752
RAMDISK_ReproScan_FlushRead	70	62.965988
RAMDISK_ReproScan_FlushRead	80	62.965988
RAMDISK_ReproScan_FlushRead	90	62.965988
RAMDISK_ReproScan_FlushRead	100	65.545258
RAMDISK_ReproScan_FlushRead	110	100.812368
RAMDISK_ReproScan_FlushRead	120	143.401587
RAMDISK_ReproScan_FlushRead	130	144.088838
RAMDISK_ReproScan_FlushRead	140	144.088838
RAMDISK_ReproScan_FlushRead	150	144.088838
RAMDISK_ReproScan_FlushRead	160	144.140965
RAMDISK_ReproScan_FlushRead	170	150.310249
RAMDISK_ReproScan_FlushRead	180	172.488667
RAMDISK_ReproScan_FlushRead	190	214.262934
RAMDISK_ReproScan_FlushRead	200	260.693957
RAMDISK_ReproScan_FlushRead	210	264.159316
RAMDISK_ReproScan_FlushRead	220	264.159316
RAMDISK_ReproScan_FlushRead	230	264.159316
RAMDISK_ReproScan_FlushRead	240	264.159316
RAMDISK_ReproScan_FlushRead	250	264.184029
RAMDISK_ReproScan_FlushRead	260	265.009777
RAMDISK_ReproScan_FlushRead	270	276.593612
RAMDISK_ReproScan_FlushRead	280	338.589968
RAMDISK_ReproScan_FlushRead	290	447.032545
RAMDISK_ReproScan_FlushRead	300	589.695008
RAMDISK_ReproScan_FlushRead	310	751.421100
RAMDISK_ReproScan_FlushRead	320	928.496405
RAMDISK_ReproScan_FlushRead	330	972.466172
RAMDISK_ReproScan_FlushRead	340	975.199576
RAMDISK_ReproScan_FlushRead	350	975.221262
RAMDISK_ReproScan_FlushRead	360	975.221262
RAMDISK_ReproScan_FlushRead	370	975.221262
RAMDISK_ReproScan_FlushRead	380	975.221262
RAMDISK_ReproScan_FlushRead	390	975.293769
RAMDISK_ReproScan_FlushRead	400	975.702121
RAMDISK_ReproScan_FlushRead	410	977.382322
RAMDISK_ReproScan_FlushRead	420	982.312226
RAMDISK_ReproScan_FlushRead	430	990.996663
RAMDISK_ReproScan_FlushRead	440	1003.381059
RAMDISK_ReproScan_FlushRead	450	1034.679432
RAMDISK_ReproScan_FlushRead	460	1112.673574
RAMDISK_ReproScan_FlushRead	470	1264.823434
RAMDISK_ReproScan_FlushRead	480	1416.974587
RAMDISK_ReproScan_FlushRead	490	1589.173047
RAMDISK_ReproScan_FlushRead	500	1794.776245
RAMDISK_ReproScan_FlushRead	510	1929.748761
RAMDISK_ReproScan_FlushRead	520	2006.367582
RAMDISK_ReproScan_FlushRead	530	2047.563449
RAMDISK_ReproScan_FlushRead	540	2058.572976
RAMDISK_ReproScan_FlushRead	550	2060.151770
RAMDISK_ReproScan_FlushRead	560	2060.452022
RAMDISK_ReproScan_FlushRead	570	2060.468943
RAMDISK_ReproScan_FlushRead	580	2060.468943
RAMDISK_ReproScan_FlushRead	590	2060.486513
RAMDISK_ReproScan_FlushRead	600	2060.558398
RAMDISK_ReproScan_FlushRead	610	2060.794766
RAMDISK_ReproScan_FlushRead	620	2061.513934
RAMDISK_ReproScan_FlushRead	630	2063.030183
RAMDISK_ReproScan_FlushRead	640	2066.181882
RAMDISK_ReproScan_FlushRead	650	2072.194183
RAMDISK_ReproScan_FlushRead	660	2081.904109
RAMDISK_ReproScan_FlushRead	670	2097.218517
RAMDISK_ReproScan_FlushRead	680	2125.571380
RAMDISK_ReproScan_FlushRead	690	2175.793358
RAMDISK_ReproScan_FlushRead	700	2262.158523
RAMDISK_ReproScan_FlushRead	710	2360.671079
RAMDISK_ReproScan_FlushRead	720	2450.899568
RAMDISK_ReproScan_FlushRead	730	2568.236425
RAMDISK_ReproScan_FlushRead	740	2718.613357
RAMDISK_ReproScan_FlushRead	750	2892.085336
RAMDISK_ReproScan_FlushRead	760	3091.592739
RAMDISK_ReproScan_FlushRead	770	3304.348220
RAMDISK_ReproScan_FlushRead	780	3458.405289
RAMDISK_ReproScan_FlushRead	790	3540.439730
RAMDISK_ReproScan_FlushRead	800	3583.838439
RAMDISK_ReproScan_FlushRead	810	3613.543524
RAMDISK_ReproScan_FlushRead	820	3636.852672
RAMDISK_ReproScan_FlushRead	830	3654.391441
RAMDISK_ReproScan_FlushRead	840	3666.439665
RAMDISK_ReproScan_FlushRead	850	3671.317071
RAMDISK_ReproScan_FlushRead	860	3672.970060
RAMDISK_ReproScan_FlushRead	870	3673.298774
RAMDISK_ReproScan_FlushRead	880	3673.401042
RAMDISK_ReproScan_FlushRead	890	3673.478634
RAMDISK_ReproScan_FlushRead	900	3673.583442
RAMDISK_ReproScan_FlushRead	910	3673.768746
RAMDISK_ReproScan_FlushRead	920	3674.196753
RAMDISK_ReproScan_FlushRead	930	3674.790774
RAMDISK_ReproScan_FlushRead	940	3676.046795
RAMDISK_ReproScan_FlushRead	950	3678.611205
RAMDISK_ReproScan_FlushRead	960	3682.091161
RAMDISK_ReproScan_FlushRead	970	3688.363436
RAMDISK_ReproScan_FlushRead	980	3698.644736
RAMDISK_ReproScan_FlushRead	990	3711.801766
RAMDISK_ReproScan_FlushRead	1000	3727.693658
RAMDISK_ReproScan_FlushRead	1010	3752.656994
RAMDISK_ReproScan_FlushRead	1020	3792.753060
RAMDISK_ReproScan_FlushRead	1030	3847.506878
RAMDISK_ReproScan_FlushRead	1040	3911.364952
RAMDISK_ReproScan_FlushRead	1050	3985.139928
RAMDISK_ReproScan_FlushRead	1060	4091.178619
RAMDISK_ReproScan_FlushRead	1070	4235.073461
RAMDISK_ReproScan_FlushRead	1080	4401.875423
RAMDISK_ReproScan_FlushRead	1090	4588.370778
RAMDISK_ReproScan_FlushRead	1100	4821.914289
RAMDISK_ReproScan_FlushRead	1110	5119.711925
