Device	Inserts (in millions)	Cost (in hours)
RAMDISK_ReproScan_FlushScan	20	0.111854
RAMDISK_ReproScan_FlushScan	30	9.146710
RAMDISK_ReproScan_FlushScan	40	9.146710
RAMDISK_ReproScan_FlushScan	50	9.276092
RAMDISK_ReproScan_FlushScan	60	62.252848
RAMDISK_ReproScan_FlushScan	70	62.940027
RAMDISK_ReproScan_FlushScan	80	62.940027
RAMDISK_ReproScan_FlushScan	90	62.940027
RAMDISK_ReproScan_FlushScan	100	65.662155
RAMDISK_ReproScan_FlushScan	110	101.273084
RAMDISK_ReproScan_FlushScan	120	143.399176
RAMDISK_ReproScan_FlushScan	130	144.025344
RAMDISK_ReproScan_FlushScan	140	144.025344
RAMDISK_ReproScan_FlushScan	150	144.025344
RAMDISK_ReproScan_FlushScan	160	144.088907
RAMDISK_ReproScan_FlushScan	170	150.542422
RAMDISK_ReproScan_FlushScan	180	172.939511
RAMDISK_ReproScan_FlushScan	190	214.664765
RAMDISK_ReproScan_FlushScan	200	260.236874
RAMDISK_ReproScan_FlushScan	210	264.024391
RAMDISK_ReproScan_FlushScan	220	264.024391
RAMDISK_ReproScan_FlushScan	230	264.024391
RAMDISK_ReproScan_FlushScan	240	264.024391
RAMDISK_ReproScan_FlushScan	250	264.073826
RAMDISK_ReproScan_FlushScan	260	265.137506
RAMDISK_ReproScan_FlushScan	270	277.205447
RAMDISK_ReproScan_FlushScan	280	340.579266
RAMDISK_ReproScan_FlushScan	290	451.029803
RAMDISK_ReproScan_FlushScan	300	590.895517
RAMDISK_ReproScan_FlushScan	310	753.170640
RAMDISK_ReproScan_FlushScan	320	927.351391
RAMDISK_ReproScan_FlushScan	330	971.932533
RAMDISK_ReproScan_FlushScan	340	974.825973
RAMDISK_ReproScan_FlushScan	350	974.869369
RAMDISK_ReproScan_FlushScan	360	974.869369
RAMDISK_ReproScan_FlushScan	370	974.869369
RAMDISK_ReproScan_FlushScan	380	974.881109
RAMDISK_ReproScan_FlushScan	390	974.917477
RAMDISK_ReproScan_FlushScan	400	975.324787
RAMDISK_ReproScan_FlushScan	410	976.892109
RAMDISK_ReproScan_FlushScan	420	982.118083
RAMDISK_ReproScan_FlushScan	430	991.208005
RAMDISK_ReproScan_FlushScan	440	1004.145226
RAMDISK_ReproScan_FlushScan	450	1037.099682
RAMDISK_ReproScan_FlushScan	460	1117.194028
RAMDISK_ReproScan_FlushScan	470	1266.615301
RAMDISK_ReproScan_FlushScan	480	1419.904994
RAMDISK_ReproScan_FlushScan	490	1593.522439
RAMDISK_ReproScan_FlushScan	500	1795.974399
RAMDISK_ReproScan_FlushScan	510	1929.340387
RAMDISK_ReproScan_FlushScan	520	2005.652006
RAMDISK_ReproScan_FlushScan	530	2046.459711
RAMDISK_ReproScan_FlushScan	540	2057.352537
RAMDISK_ReproScan_FlushScan	550	2059.376098
RAMDISK_ReproScan_FlushScan	560	2059.643654
RAMDISK_ReproScan_FlushScan	570	2059.660564
RAMDISK_ReproScan_FlushScan	580	2059.660564
RAMDISK_ReproScan_FlushScan	590	2059.695698
RAMDISK_ReproScan_FlushScan	600	2059.713687
RAMDISK_ReproScan_FlushScan	610	2059.986139
RAMDISK_ReproScan_FlushScan	620	2060.631095
RAMDISK_ReproScan_FlushScan	630	2061.811084
RAMDISK_ReproScan_FlushScan	640	2065.020829
RAMDISK_ReproScan_FlushScan	650	2072.091948
RAMDISK_ReproScan_FlushScan	660	2082.113696
RAMDISK_ReproScan_FlushScan	670	2098.061394
RAMDISK_ReproScan_FlushScan	680	2126.189225
RAMDISK_ReproScan_FlushScan	690	2179.239152
RAMDISK_ReproScan_FlushScan	700	2268.294306
RAMDISK_ReproScan_FlushScan	710	2366.393915
RAMDISK_ReproScan_FlushScan	720	2460.648753
RAMDISK_ReproScan_FlushScan	730	2579.798886
RAMDISK_ReproScan_FlushScan	740	2727.734680
RAMDISK_ReproScan_FlushScan	750	2897.332639
RAMDISK_ReproScan_FlushScan	760	3093.047803
RAMDISK_ReproScan_FlushScan	770	3304.466028
RAMDISK_ReproScan_FlushScan	780	3456.420129
RAMDISK_ReproScan_FlushScan	790	3537.845527
RAMDISK_ReproScan_FlushScan	800	3581.090676
RAMDISK_ReproScan_FlushScan	810	3610.664345
RAMDISK_ReproScan_FlushScan	820	3634.397996
RAMDISK_ReproScan_FlushScan	830	3651.915311
RAMDISK_ReproScan_FlushScan	840	3664.510107
RAMDISK_ReproScan_FlushScan	850	3669.612113
RAMDISK_ReproScan_FlushScan	860	3670.912983
RAMDISK_ReproScan_FlushScan	870	3671.596666
RAMDISK_ReproScan_FlushScan	880	3671.853004
RAMDISK_ReproScan_FlushScan	890	3671.878923
RAMDISK_ReproScan_FlushScan	900	3671.957397
RAMDISK_ReproScan_FlushScan	910	3672.169174
RAMDISK_ReproScan_FlushScan	920	3672.463378
RAMDISK_ReproScan_FlushScan	930	3673.139181
RAMDISK_ReproScan_FlushScan	940	3674.693597
RAMDISK_ReproScan_FlushScan	950	3677.507500
RAMDISK_ReproScan_FlushScan	960	3681.378091
RAMDISK_ReproScan_FlushScan	970	3687.369059
RAMDISK_ReproScan_FlushScan	980	3696.626932
RAMDISK_ReproScan_FlushScan	990	3710.534015
RAMDISK_ReproScan_FlushScan	1000	3726.136772
RAMDISK_ReproScan_FlushScan	1010	3752.591946
RAMDISK_ReproScan_FlushScan	1020	3795.106512
